##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,"Steffen,Grace",*,32,4-9,1-4,6-8,5-9,14,4,0,0,1,0,15,Moravian,Moravian_Wilkes_1-17-2024
24,"Lustig,Lizzie",*,34,4-7,3-3,2-2,0-2,2,2,2,0,0,1,13,Moravian,Moravian_Wilkes_1-17-2024
01,"Osorio,Sam",*,35,3-12,0-0,6-8,5-6,11,4,0,4,1,3,12,Moravian,Moravian_Wilkes_1-17-2024
10,"Guarente,Brielle",*,35,6-19,0-1,0-0,3-2,5,3,3,7,0,5,12,Moravian,Moravian_Wilkes_1-17-2024
14,"Flannery,Reganne",*,22,0-1,0-1,0-0,0-0,0,4,1,1,0,1,0,Moravian,Moravian_Wilkes_1-17-2024
04,"Cartagena,Jayda",,18,2-9,1-6,3-5,1-1,2,5,4,1,0,1,8,Moravian,Moravian_Wilkes_1-17-2024
12,"Anderson,Mikayla",,14,0-3,0-2,0-0,1-0,1,1,0,0,0,0,0,Moravian,Moravian_Wilkes_1-17-2024
00,"Altmire,Emma",,5,0-1,0-0,0-0,0-1,1,0,0,0,0,0,0,Moravian,Moravian_Wilkes_1-17-2024
22,"Vassallo,Juliana",,5,0-3,0-2,0-0,0-0,0,1,0,1,0,0,0,Moravian,Moravian_Wilkes_1-17-2024
11,"Matos,Yamirelis",*,37,6-11,3-6,3-5,0-5,5,2,0,6,0,2,18,Wilkes,Moravian_Wilkes_1-17-2024
21,"Shober,Erin",*,27,5-8,0-0,3-4,0-7,7,3,2,1,2,0,13,Wilkes,Moravian_Wilkes_1-17-2024
05,"Babcock,Brenna",*,32,4-8,0-0,4-5,3-4,7,4,3,5,0,2,12,Wilkes,Moravian_Wilkes_1-17-2024
02,"Marino,Julia",*,37,2-4,0-1,5-8,0-4,4,2,2,2,0,2,9,Wilkes,Moravian_Wilkes_1-17-2024
10,"Evanosky,Nadia",*,20,0-6,0-4,6-6,4-3,7,4,2,2,0,3,6,Wilkes,Moravian_Wilkes_1-17-2024
12,"Simpson,Taylor",,17,1-5,1-5,1-2,0-1,1,1,1,1,0,0,4,Wilkes,Moravian_Wilkes_1-17-2024
22,"Stout,Emma",,7,1-2,0-1,0-0,0-1,1,0,0,1,0,0,2,Wilkes,Moravian_Wilkes_1-17-2024
13,"Holden,Reagan",,6,1-2,0-1,0-0,0-0,0,0,0,1,0,0,2,Wilkes,Moravian_Wilkes_1-17-2024
04,"Robel,Madison",,13,0-2,0-0,0-0,1-2,3,2,0,1,2,0,0,Wilkes,Moravian_Wilkes_1-17-2024
00,"Askins,Julianna",,4,0-1,0-1,0-0,0-0,0,1,0,1,0,0,0,Wilkes,Moravian_Wilkes_1-17-2024
