##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,"Guglielmo,Brianna",*,28,3-10,1-4,2-2,3-1,4,1,2,5,0,2,9,Mt. St. Mary (NY),Mt. St. Mary (NY)_Catholic_12-16-2024
05,"Love,Casey",*,31,3-7,0-2,2-2,1-4,5,4,3,2,0,1,8,Mt. St. Mary (NY),Mt. St. Mary (NY)_Catholic_12-16-2024
10,"Petrie,Lauren",*,21,1-7,1-5,0-0,3-2,5,2,3,1,0,2,3,Mt. St. Mary (NY),Mt. St. Mary (NY)_Catholic_12-16-2024
44,"Lofaro,Erin",*,11,1-5,1-4,0-0,1-2,3,2,2,4,0,1,3,Mt. St. Mary (NY),Mt. St. Mary (NY)_Catholic_12-16-2024
03,"Trinkaus,Margaret",*,30,0-7,0-2,0-0,0-1,1,2,3,5,1,2,0,Mt. St. Mary (NY),Mt. St. Mary (NY)_Catholic_12-16-2024
15,"Lofaro,Elizabeth",,23,6-14,5-9,0-0,0-5,5,4,1,3,0,2,17,Mt. St. Mary (NY),Mt. St. Mary (NY)_Catholic_12-16-2024
12,"Cashin,Sara",,11,2-4,0-0,2-2,0-2,2,5,0,1,0,1,6,Mt. St. Mary (NY),Mt. St. Mary (NY)_Catholic_12-16-2024
20,"Hughes,Kate",,21,2-6,0-0,0-0,3-4,7,0,0,2,0,0,4,Mt. St. Mary (NY),Mt. St. Mary (NY)_Catholic_12-16-2024
22,"Donato,Angelina",,9,1-1,1-1,0-0,0-2,2,2,0,1,0,0,3,Mt. St. Mary (NY),Mt. St. Mary (NY)_Catholic_12-16-2024
33,"Quinn,Ciarra",,10,0-3,0-2,0-0,1-2,3,1,0,1,0,0,0,Mt. St. Mary (NY),Mt. St. Mary (NY)_Catholic_12-16-2024
14,"Phelan,Shannon",,5,0-2,0-1,0-0,0-1,1,0,1,0,0,0,0,Mt. St. Mary (NY),Mt. St. Mary (NY)_Catholic_12-16-2024
13,"Scoblick,Anna",*,29,7-12,0-0,4-6,2-3,5,4,2,4,0,2,18,Catholic,Mt. St. Mary (NY)_Catholic_12-16-2024
33,"Douglas,Keegan",*,35,5-11,1-6,5-6,1-3,4,1,5,2,0,3,16,Catholic,Mt. St. Mary (NY)_Catholic_12-16-2024
24,"Kenah,Alexa",*,27,5-11,1-5,2-3,6-2,8,2,1,3,2,2,13,Catholic,Mt. St. Mary (NY)_Catholic_12-16-2024
10,"Flaherty,Kerry",*,28,1-7,0-6,2-3,0-3,3,2,0,2,0,2,4,Catholic,Mt. St. Mary (NY)_Catholic_12-16-2024
22,"Mulvaney,Carly",*,33,1-6,1-4,0-0,6-10,16,2,1,5,0,2,3,Catholic,Mt. St. Mary (NY)_Catholic_12-16-2024
03,"Travieso,Sofia",,9,2-4,2-3,0-0,1-1,2,0,0,0,1,0,6,Catholic,Mt. St. Mary (NY)_Catholic_12-16-2024
11,"Kennedy,Amelia",,15,0-3,0-1,4-6,0-5,5,2,2,4,0,1,4,Catholic,Mt. St. Mary (NY)_Catholic_12-16-2024
41,"Blumenthal,Sam",,11,0-3,0-0,2-4,2-1,3,0,0,1,0,1,2,Catholic,Mt. St. Mary (NY)_Catholic_12-16-2024
25,"Kraft,Lauren",,7,0-5,0-3,0-0,1-1,2,0,1,2,0,1,0,Catholic,Mt. St. Mary (NY)_Catholic_12-16-2024
34,"Hughes,Maggie",,6,0-2,0-2,0-0,0-0,0,0,0,0,0,0,0,Catholic,Mt. St. Mary (NY)_Catholic_12-16-2024
