##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
30,Emily Unger,*,24,3-6,2-3,0-0,1-1,2,1,0,0,0,0,8,Muhlenberg College,Muhlenberg College_Moravian University_12-7-2022
13,Ava Connolly,*,22,2-9,1-3,0-0,0-2,2,0,1,2,0,0,5,Muhlenberg College,Muhlenberg College_Moravian University_12-7-2022
2,Rachel Saxton,*,18,2-6,0-2,1-2,1-1,2,2,0,0,0,0,5,Muhlenberg College,Muhlenberg College_Moravian University_12-7-2022
33,Margaux Eripret,*,19,2-4,0-1,0-0,1-5,6,2,1,2,2,0,4,Muhlenberg College,Muhlenberg College_Moravian University_12-7-2022
23,Caroline Horst,*,21,1-11,0-0,0-0,1-3,4,4,0,1,0,2,2,Muhlenberg College,Muhlenberg College_Moravian University_12-7-2022
5,Riley Cassidy,,15,3-6,1-1,1-2,2-0,2,0,1,0,0,0,8,Muhlenberg College,Muhlenberg College_Moravian University_12-7-2022
3,Megan Winters,,12,3-4,0-0,0-2,1-0,1,2,1,0,0,0,6,Muhlenberg College,Muhlenberg College_Moravian University_12-7-2022
4,Katie McGrath,,15,2-7,0-5,0-0,0-2,2,1,1,2,0,1,4,Muhlenberg College,Muhlenberg College_Moravian University_12-7-2022
20,Emily Vaughan,,13,2-3,0-0,0-0,0-2,2,0,3,1,0,1,4,Muhlenberg College,Muhlenberg College_Moravian University_12-7-2022
00,Avery McNulty,,12,1-3,0-2,0-0,0-1,1,2,0,1,1,0,2,Muhlenberg College,Muhlenberg College_Moravian University_12-7-2022
21,Abigail Scheidel,,9,0-4,0-2,2-2,1-0,1,0,2,1,0,1,2,Muhlenberg College,Muhlenberg College_Moravian University_12-7-2022
31,Emily Ellis,,5,1-2,0-1,0-0,0-0,0,0,0,0,0,0,2,Muhlenberg College,Muhlenberg College_Moravian University_12-7-2022
15,Jenna Stockfeder,,15,0-4,0-0,0-0,1-3,4,2,1,1,1,0,0,Muhlenberg College,Muhlenberg College_Moravian University_12-7-2022
1,Sam Osorio,*,23,11-18,0-0,1-2,3-10,13,2,0,0,2,0,23,Moravian University,Muhlenberg College_Moravian University_12-7-2022
20,Tessa Zamolyi,*,23,7-10,0-0,8-9,5-9,14,2,2,1,0,1,22,Moravian University,Muhlenberg College_Moravian University_12-7-2022
2,Kayla Yoegel,*,27,7-18,2-4,1-2,2-4,6,2,3,3,0,1,17,Moravian University,Muhlenberg College_Moravian University_12-7-2022
5,Emily Markowski,*,22,1-2,1-1,0-2,4-0,4,2,3,1,1,1,3,Moravian University,Muhlenberg College_Moravian University_12-7-2022
24,Morgan Amy,*,22,0-5,0-2,0-0,1-1,2,0,5,2,0,1,0,Moravian University,Muhlenberg College_Moravian University_12-7-2022
10,Brielle Guarente,,25,4-6,0-0,0-0,0-2,2,2,6,2,0,0,8,Moravian University,Muhlenberg College_Moravian University_12-7-2022
14,Reganne Flannery,,15,1-2,1-1,0-0,0-1,1,0,2,1,0,0,3,Moravian University,Muhlenberg College_Moravian University_12-7-2022
25,Ashley Robinson,,15,1-5,0-0,0-0,0-3,3,0,2,0,1,0,2,Moravian University,Muhlenberg College_Moravian University_12-7-2022
12,Mikayla Anderson,,11,1-1,0-0,0-0,1-1,2,1,0,1,0,0,2,Moravian University,Muhlenberg College_Moravian University_12-7-2022
4,Jayda Cartagena,,8,0-0,0-0,0-0,0-1,1,0,0,2,0,0,0,Moravian University,Muhlenberg College_Moravian University_12-7-2022
15,Sarah Miniter,,5,0-1,0-0,0-0,1-0,1,0,0,1,0,0,0,Moravian University,Muhlenberg College_Moravian University_12-7-2022
13,Nicole Rendina,,4,0-1,0-0,0-0,0-1,1,0,0,0,1,0,0,Moravian University,Muhlenberg College_Moravian University_12-7-2022
