##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
14,Claudia Harrington,*,21,5-10,1-3,0-0,0-1,1,2,3,2,0,0,11,Muskingum,Muskingum_Elizabethtown_12-30-2022
42,Anna Lippiatt,*,30,3-6,2-2,0-0,0-1,1,0,1,2,0,1,8,Muskingum,Muskingum_Elizabethtown_12-30-2022
21,Lizzy Allen,*,30,3-7,1-2,0-0,0-6,6,5,3,0,0,0,7,Muskingum,Muskingum_Elizabethtown_12-30-2022
22,Taylor DeMassimo,*,33,2-10,1-7,0-0,0-3,3,2,1,1,0,3,5,Muskingum,Muskingum_Elizabethtown_12-30-2022
01,Halle Morehead,*,25,1-3,1-2,2-2,2-2,4,3,1,4,0,0,5,Muskingum,Muskingum_Elizabethtown_12-30-2022
12,Tori Jones,,22,3-5,1-3,0-0,0-0,0,3,1,3,0,1,7,Muskingum,Muskingum_Elizabethtown_12-30-2022
35,Kasi Tully,,8,1-1,1-1,0-0,0-0,0,0,0,0,0,1,3,Muskingum,Muskingum_Elizabethtown_12-30-2022
33,Abby Boeing,,15,1-3,0-0,0-0,0-5,5,1,0,1,1,1,2,Muskingum,Muskingum_Elizabethtown_12-30-2022
02,Courtney Hivick,,8,0-0,0-0,2-2,0-0,0,2,0,5,0,0,2,Muskingum,Muskingum_Elizabethtown_12-30-2022
03,Kenzie Bicking,,4,0-0,0-0,0-0,0-1,1,1,0,0,0,0,0,Muskingum,Muskingum_Elizabethtown_12-30-2022
10,Liz Key,,4,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Muskingum,Muskingum_Elizabethtown_12-30-2022
25,Summer McNulty,*,30,12-16,2-5,3-3,0-3,3,2,2,4,0,1,29,Elizabethtown,Muskingum_Elizabethtown_12-30-2022
03,Lindsay Boyd,*,26,5-11,2-4,0-2,3-0,3,2,1,3,0,2,12,Elizabethtown,Muskingum_Elizabethtown_12-30-2022
30,Jessica King,*,29,2-6,0-0,0-2,4-7,11,1,2,2,1,0,4,Elizabethtown,Muskingum_Elizabethtown_12-30-2022
34,DaniRae Renno,*,27,1-6,0-0,2-4,1-2,3,0,1,2,0,0,4,Elizabethtown,Muskingum_Elizabethtown_12-30-2022
04,Cyleigh Wilson,*,24,0-3,0-3,0-0,0-5,5,1,1,0,0,0,0,Elizabethtown,Muskingum_Elizabethtown_12-30-2022
14,Kaeli Romanowski,,20,1-2,0-0,4-4,5-4,9,1,1,2,0,3,6,Elizabethtown,Muskingum_Elizabethtown_12-30-2022
13,Taylor Huyck,,13,1-4,0-2,2-2,0-0,0,3,0,1,0,0,4,Elizabethtown,Muskingum_Elizabethtown_12-30-2022
35,Cass Peris,,16,1-3,0-0,1-2,0-3,3,1,0,1,0,0,3,Elizabethtown,Muskingum_Elizabethtown_12-30-2022
02,Makenna Mummert,,12,1-3,0-0,0-2,2-0,2,0,2,1,0,0,2,Elizabethtown,Muskingum_Elizabethtown_12-30-2022
33,Clare Marchese,,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Muskingum_Elizabethtown_12-30-2022
