##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
14,"Benetti,Molly",*,26,13-18,0-0,0-0,2-7,9,1,0,1,1,0,26,Nazareth,Nazareth_Lycoming_12-16-2023
03,"Dobrovosky,Olivia",*,35,5-11,0-2,0-1,1-6,7,1,7,5,0,4,10,Nazareth,Nazareth_Lycoming_12-16-2023
04,"MacLachlan,Katie",*,32,2-7,0-3,2-2,0-2,2,3,2,1,1,4,6,Nazareth,Nazareth_Lycoming_12-16-2023
02,"Anglin,Kiara",*,32,1-5,1-1,1-2,2-3,5,0,2,2,0,0,4,Nazareth,Nazareth_Lycoming_12-16-2023
23,"Johnson,Madilann",*,21,0-6,0-2,0-0,1-0,1,0,1,0,0,0,0,Nazareth,Nazareth_Lycoming_12-16-2023
12,"McDowell,Sarina",,16,6-9,0-0,3-4,2-1,3,3,0,3,0,0,15,Nazareth,Nazareth_Lycoming_12-16-2023
13,"Kelly,Madalyn",,12,1-3,1-3,1-2,1-1,2,2,0,2,0,0,4,Nazareth,Nazareth_Lycoming_12-16-2023
11,"Fusilli,Leah",,18,1-4,0-1,0-1,3-3,6,2,2,2,1,0,2,Nazareth,Nazareth_Lycoming_12-16-2023
01,"Caraballo,Morgan",,6,0-0,0-0,0-0,0-2,2,0,0,1,0,0,0,Nazareth,Nazareth_Lycoming_12-16-2023
10,"Dobson,Alyssa",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Nazareth,Nazareth_Lycoming_12-16-2023
12,"Dufner,Meghan",*,35,4-12,1-4,2-3,0-1,1,1,7,6,0,1,11,Lycoming,Nazareth_Lycoming_12-16-2023
22,"Lockard,Emily",*,28,5-11,0-0,1-1,2-3,5,2,0,4,0,2,11,Lycoming,Nazareth_Lycoming_12-16-2023
25,"Goldenziel,Alicia",*,31,3-4,0-1,0-0,0-2,2,3,1,1,2,1,6,Lycoming,Nazareth_Lycoming_12-16-2023
21,"Yoh,Ashley",*,23,3-7,0-0,0-0,0-4,4,4,2,1,0,0,6,Lycoming,Nazareth_Lycoming_12-16-2023
10,"Wetzel,Mya",*,22,1-6,1-6,0-0,0-2,2,1,3,1,0,0,3,Lycoming,Nazareth_Lycoming_12-16-2023
02,"Abdo,Kami",,20,1-6,1-3,2-2,0-1,1,1,1,2,0,3,5,Lycoming,Nazareth_Lycoming_12-16-2023
15,"Hartman,Makenna",,15,1-2,0-0,2-4,1-0,1,2,1,0,0,2,4,Lycoming,Nazareth_Lycoming_12-16-2023
34,"Star,Lisa",,10,1-3,0-0,2-2,4-4,8,4,0,0,3,0,4,Lycoming,Nazareth_Lycoming_12-16-2023
14,"McMurtrie,Ann-Marie",,6,1-3,0-1,0-0,0-0,0,0,1,1,0,0,2,Lycoming,Nazareth_Lycoming_12-16-2023
04,"Orich,Maddie",,7,0-1,0-1,0-0,0-1,1,0,0,0,0,0,0,Lycoming,Nazareth_Lycoming_12-16-2023
20,"Pumputis,Jillian",,3,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Lycoming,Nazareth_Lycoming_12-16-2023
