##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,"Keebler,Chelsea",*,20,2-11,2-10,0-0,1-2,3,2,0,0,0,0,6,Neumann,Neumann_Drew_11-12-2021
25,"Hunt,Terea",*,26,2-10,0-4,1-2,1-3,4,1,2,4,0,4,5,Neumann,Neumann_Drew_11-12-2021
24,"Collins,Dymond",*,18,2-8,0-1,1-2,3-3,6,3,0,3,0,0,5,Neumann,Neumann_Drew_11-12-2021
30,"Harris,Tierra",*,27,2-7,0-0,0-0,2-2,4,1,1,0,0,3,4,Neumann,Neumann_Drew_11-12-2021
13,"Wills,Allyson",*,21,0-4,0-1,0-0,1-3,4,2,1,4,0,0,0,Neumann,Neumann_Drew_11-12-2021
05,"Stewart,Madison",,24,5-8,0-1,3-4,3-2,5,2,1,2,0,1,13,Neumann,Neumann_Drew_11-12-2021
21,"Klieber,Lauren",,22,4-11,1-6,0-0,3-4,7,1,2,4,1,0,9,Neumann,Neumann_Drew_11-12-2021
10,"Ciszkowski,Keeley",,4,0-0,0-0,4-4,0-0,0,0,1,0,0,0,4,Neumann,Neumann_Drew_11-12-2021
32,"Wardrop,Jacqueline",,17,1-2,0-0,0-0,1-1,2,4,0,1,0,0,2,Neumann,Neumann_Drew_11-12-2021
02,"Glanz,Kate",,4,0-1,0-1,2-2,0-0,0,0,0,1,0,0,2,Neumann,Neumann_Drew_11-12-2021
03,"Breisblatt,Aubrie",,13,0-3,0-1,0-0,1-1,2,0,1,3,0,2,0,Neumann,Neumann_Drew_11-12-2021
44,"Asaka,Hannah",,4,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Neumann,Neumann_Drew_11-12-2021
23,"Meyers,Joey",*,34,6-12,1-5,1-2,2-9,11,1,8,2,0,5,14,Drew,Neumann_Drew_11-12-2021
20,"Frederick,Erin",*,33,4-13,0-0,0-0,0-5,5,2,2,2,1,3,8,Drew,Neumann_Drew_11-12-2021
25,"Struble,Jamie",*,25,3-6,0-0,0-1,2-2,4,3,1,6,0,1,6,Drew,Neumann_Drew_11-12-2021
04,"Wojtowicz,Katrina",*,19,1-4,1-2,2-2,0-4,4,0,0,1,0,0,5,Drew,Neumann_Drew_11-12-2021
02,"Alberici,Gwen",*,26,1-5,0-1,2-2,2-3,5,0,3,7,0,4,4,Drew,Neumann_Drew_11-12-2021
33,"Campbell,Sekya",,12,7-8,0-0,1-2,1-2,3,3,0,1,0,0,15,Drew,Neumann_Drew_11-12-2021
22,"Timinski,Brooke",,14,3-6,1-4,2-2,1-3,4,2,3,2,0,1,9,Drew,Neumann_Drew_11-12-2021
11,"Cruse,Lauren",,9,2-2,0-0,0-0,0-0,0,0,0,0,0,1,4,Drew,Neumann_Drew_11-12-2021
05,"Genua,Micela",,16,1-2,0-0,0-0,0-3,3,2,0,3,0,0,2,Drew,Neumann_Drew_11-12-2021
13,"Mann,Kyra",,5,0-1,0-0,0-0,1-0,1,1,1,0,0,0,0,Drew,Neumann_Drew_11-12-2021
50,"Antin,Sam",,3,0-1,0-0,0-0,0-0,0,0,1,0,0,0,0,Drew,Neumann_Drew_11-12-2021
03,"Lalo,Izzy",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Neumann_Drew_11-12-2021
10,"Graff,Carlye",,2,0-1,0-1,0-0,0-0,0,1,0,0,0,0,0,Drew,Neumann_Drew_11-12-2021
