##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,"Klieber,Lauren",*,36,8-20,2-11,3-4,1-10,11,5,2,2,0,2,21,Neumann,Neumann_Goucher_11-11-2022
44,"Asaka,Hannah",*,34,5-8,0-0,1-3,8-3,11,5,0,3,1,0,11,Neumann,Neumann_Goucher_11-11-2022
03,"Breisblatt,Aubrie",*,33,3-6,0-2,0-0,2-1,3,4,1,1,1,0,6,Neumann,Neumann_Goucher_11-11-2022
23,"Keebler,Chelsea",*,22,2-7,1-5,0-0,0-1,1,1,1,3,0,2,5,Neumann,Neumann_Goucher_11-11-2022
32,"Wardrop,Jacqueline",*,33,2-5,0-0,0-4,1-3,4,2,2,5,0,4,4,Neumann,Neumann_Goucher_11-11-2022
04,"Blume,Mia",,25,4-8,3-7,0-0,1-1,2,1,0,1,0,0,11,Neumann,Neumann_Goucher_11-11-2022
02,"Holden,Lindsay",,6,1-3,0-1,0-0,0-0,0,0,0,2,0,0,2,Neumann,Neumann_Goucher_11-11-2022
00,"Pagliuso,Olivia",,11,0-1,0-0,0-0,1-0,1,1,0,1,0,0,0,Neumann,Neumann_Goucher_11-11-2022
05,"Smith,Kyla",*,38,8-18,2-7,10-17,1-4,5,3,3,4,0,2,28,Goucher,Neumann_Goucher_11-11-2022
23,"Quarles,Kyani",*,31,6-9,0-0,3-5,8-6,14,4,0,4,1,0,15,Goucher,Neumann_Goucher_11-11-2022
04,"Cavoli,Julia",*,36,2-9,1-3,0-0,0-1,1,4,0,1,0,0,5,Goucher,Neumann_Goucher_11-11-2022
12,"Haggins,Briyah",*,38,2-10,0-4,0-0,1-4,5,3,3,4,0,2,4,Goucher,Neumann_Goucher_11-11-2022
22,"Nwuli,Sydney",*,23,1-2,0-0,0-0,0-3,3,3,0,0,0,1,2,Goucher,Neumann_Goucher_11-11-2022
21,"Flynn,Claire",,22,3-8,1-5,0-0,1-1,2,3,0,1,0,0,7,Goucher,Neumann_Goucher_11-11-2022
34,"Sherman,Darby",,3,1-1,0-0,0-0,0-1,1,0,1,1,0,0,2,Goucher,Neumann_Goucher_11-11-2022
30,"Cox,Ava",,9,0-0,0-0,0-0,0-2,2,2,0,2,0,0,0,Goucher,Neumann_Goucher_11-11-2022
