##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,"Klieber,Lauren",*,40,5-16,2-10,0-0,1-7,8,3,2,4,1,1,12,Neumann,Neumann_Moravian_12-29-2023
14,"DuPont,Emily",*,29,3-11,0-1,1-3,2-5,7,0,1,1,0,3,7,Neumann,Neumann_Moravian_12-29-2023
02,"Holden,Lindsay",*,31,2-5,2-4,0-0,0-0,0,2,1,2,0,0,6,Neumann,Neumann_Moravian_12-29-2023
25,"Hunt,Terea",*,31,2-8,0-1,1-2,1-5,6,3,1,5,1,1,5,Neumann,Neumann_Moravian_12-29-2023
34,"Breisblatt,Aubrie",*,19,0-1,0-0,0-0,0-0,0,2,1,1,0,0,0,Neumann,Neumann_Moravian_12-29-2023
32,"Wardrop,Jacqueline",,30,3-8,0-2,1-2,1-0,1,2,1,2,0,2,7,Neumann,Neumann_Moravian_12-29-2023
04,"Gautier,Bri",,14,1-4,0-2,4-4,2-3,5,1,0,1,0,0,6,Neumann,Neumann_Moravian_12-29-2023
44,"Asaka,Hannah",,6,0-1,0-0,0-0,0-1,1,0,0,0,0,0,0,Neumann,Neumann_Moravian_12-29-2023
10,"Guarente,Brielle",*,34,6-13,0-0,0-0,1-3,4,3,1,5,2,1,12,Moravian,Neumann_Moravian_12-29-2023
24,"Lustig,Lizzie",*,38,5-10,1-3,0-0,2-3,5,1,1,0,1,0,11,Moravian,Neumann_Moravian_12-29-2023
01,"Osorio,Sam",*,23,3-9,0-0,5-8,1-7,8,3,1,0,0,1,11,Moravian,Neumann_Moravian_12-29-2023
14,"Flannery,Reganne",*,36,3-5,1-1,1-2,1-7,8,2,4,5,0,1,8,Moravian,Neumann_Moravian_12-29-2023
04,"Cartagena,Jayda",*,25,3-8,0-2,0-0,0-3,3,2,0,4,0,0,6,Moravian,Neumann_Moravian_12-29-2023
21,"Steffen,Grace",,26,1-4,0-0,2-2,1-6,7,2,1,0,2,0,4,Moravian,Neumann_Moravian_12-29-2023
12,"Anderson,Mikayla",,11,0-1,0-0,0-0,1-1,2,1,1,1,0,1,0,Moravian,Neumann_Moravian_12-29-2023
22,"Vassallo,Juliana",,7,0-1,0-1,0-0,0-0,0,1,0,0,0,1,0,Moravian,Neumann_Moravian_12-29-2023
