##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
23,"Rodriguez,Damaris",*,40,11-25,2-9,0-0,2-4,6,1,6,4,1,0,24,New Jersey City,New Jersey City_Scranton_3-4-2022
15,"Fox,Laney",*,40,2-12,1-6,0-0,0-2,2,3,3,3,0,0,5,New Jersey City,New Jersey City_Scranton_3-4-2022
14,"Camacho,Jada",*,34,2-10,1-4,0-2,3-3,6,0,0,1,1,1,5,New Jersey City,New Jersey City_Scranton_3-4-2022
31,"Johnson,Jimmirah",*,17,2-3,0-0,0-0,1-5,6,3,1,2,0,0,4,New Jersey City,New Jersey City_Scranton_3-4-2022
04,"Kelley,Tahirah",*,36,0-2,0-2,0-2,1-8,9,4,1,1,0,3,0,New Jersey City,New Jersey City_Scranton_3-4-2022
10,"Allen,Liyah",,18,3-7,0-0,0-0,1-4,5,2,0,1,0,0,6,New Jersey City,New Jersey City_Scranton_3-4-2022
11,"Newsome,Janari",,3,1-1,0-0,1-2,0-0,0,0,0,0,0,0,3,New Jersey City,New Jersey City_Scranton_3-4-2022
12,"Wooten,Olivia",,11,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,New Jersey City,New Jersey City_Scranton_3-4-2022
00,"Thomas,Renee",,1,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,New Jersey City,New Jersey City_Scranton_3-4-2022
01,"Anderson,Abby",*,32,7-12,4-5,4-4,0-10,10,0,3,0,0,1,22,Scranton,New Jersey City_Scranton_3-4-2022
24,"Monaghan,Bridget",*,33,6-19,2-3,0-0,1-0,1,0,3,0,0,0,14,Scranton,New Jersey City_Scranton_3-4-2022
33,"Quigley,Kyra",*,25,6-10,0-0,0-1,4-3,7,4,3,1,4,0,12,Scranton,New Jersey City_Scranton_3-4-2022
20,"Shurina,Emily",*,29,2-9,1-5,1-2,1-10,11,1,0,1,1,0,6,Scranton,New Jersey City_Scranton_3-4-2022
00,"Angelini,Hannah",*,28,1-2,0-1,3-4,0-1,1,2,5,2,0,1,5,Scranton,New Jersey City_Scranton_3-4-2022
40,"McCurdy,Danielle",,19,3-5,0-0,0-0,2-1,3,2,1,0,1,1,6,Scranton,New Jersey City_Scranton_3-4-2022
13,"Hartnett,Maddie",,17,1-2,0-1,0-0,0-1,1,1,1,1,0,1,2,Scranton,New Jersey City_Scranton_3-4-2022
25,"Duerr,Emma",,9,1-3,0-1,0-0,0-1,1,0,1,0,0,0,2,Scranton,New Jersey City_Scranton_3-4-2022
05,"Heineman,Carly",,6,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Scranton,New Jersey City_Scranton_3-4-2022
10,"Lynch,Allie",,2,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,Scranton,New Jersey City_Scranton_3-4-2022
