##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
34,Bryana Woodard,*,17,9-14,0-0,3-4,7-7,14,2,0,1,4,0,21,Oberlin,Oberlin_Juniata_12-30-2022
24,Gina Lombard,*,31,4-10,4-8,2-2,0-2,2,1,4,3,0,0,14,Oberlin,Oberlin_Juniata_12-30-2022
10,Alyson Jefferson,*,13,5-10,2-3,1-2,0-1,1,3,0,2,1,3,13,Oberlin,Oberlin_Juniata_12-30-2022
32,Camille Zinaich,*,20,1-5,0-0,1-2,2-5,7,1,4,1,1,1,3,Oberlin,Oberlin_Juniata_12-30-2022
03,Jaedyn O'Reilly,*,18,1-6,0-2,0-0,1-2,3,0,3,0,0,1,2,Oberlin,Oberlin_Juniata_12-30-2022
04,Angela Kumler,,17,2-5,1-3,0-0,2-1,3,3,2,1,2,2,5,Oberlin,Oberlin_Juniata_12-30-2022
15,Anora Lee,,22,1-5,0-1,2-2,0-1,1,1,3,2,1,1,4,Oberlin,Oberlin_Juniata_12-30-2022
31,Kendal McCall,,17,2-3,0-0,0-0,1-5,6,0,1,1,0,0,4,Oberlin,Oberlin_Juniata_12-30-2022
01,Ellie Pollock-Ballar,,2,1-2,1-1,0-0,0-0,0,0,0,0,0,0,3,Oberlin,Oberlin_Juniata_12-30-2022
13,Lily Najmulski,,18,1-4,0-3,0-0,1-1,2,1,1,0,0,1,2,Oberlin,Oberlin_Juniata_12-30-2022
11,Marley Cox,,7,0-0,0-0,0-0,0-0,0,3,0,3,0,0,0,Oberlin,Oberlin_Juniata_12-30-2022
21,Maggie Balderstone,,7,0-1,0-0,0-0,0-2,2,2,1,0,0,0,0,Oberlin,Oberlin_Juniata_12-30-2022
20,Jasmine Roberts,,4,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0,Oberlin,Oberlin_Juniata_12-30-2022
40,Katherine Csiszar,,3,0-1,0-0,0-0,1-1,2,0,0,1,0,0,0,Oberlin,Oberlin_Juniata_12-30-2022
14,Grace Burns,,2,0-0,0-0,0-0,0-0,0,0,0,2,0,0,0,Oberlin,Oberlin_Juniata_12-30-2022
33,Taylor Sanchez,,2,0-0,0-0,0-0,1-2,3,1,1,0,0,0,0,Oberlin,Oberlin_Juniata_12-30-2022
21,"Bodtorf, Bri",*,27,4-12,1-4,0-0,3-1,4,1,2,1,0,0,9,Juniata,Oberlin_Juniata_12-30-2022
05,"Emert, Steph",*,29,2-9,0-1,2-3,1-6,7,2,1,3,0,1,6,Juniata,Oberlin_Juniata_12-30-2022
35,"Betts, Sarah",*,18,2-6,1-3,1-2,0-2,2,1,1,3,0,2,6,Juniata,Oberlin_Juniata_12-30-2022
13,"Sherman, Haily",*,26,2-12,1-5,0-0,2-2,4,1,1,2,0,2,5,Juniata,Oberlin_Juniata_12-30-2022
03,"Miller, Kynnedy",*,19,2-7,1-4,0-0,2-2,4,1,0,1,0,0,5,Juniata,Oberlin_Juniata_12-30-2022
11,"Berg, Olivia",,18,4-13,1-5,2-2,0-1,1,5,2,2,0,0,11,Juniata,Oberlin_Juniata_12-30-2022
24,"Coolidge, Emma",,19,2-4,0-0,3-4,2-3,5,2,1,2,0,0,7,Juniata,Oberlin_Juniata_12-30-2022
44,"McCann, Emily",,23,0-4,0-2,4-6,1-2,3,1,2,0,0,3,4,Juniata,Oberlin_Juniata_12-30-2022
40,"Nonemaker, Emelie",,18,1-2,0-0,0-0,2-2,4,0,0,0,0,1,2,Juniata,Oberlin_Juniata_12-30-2022
22,"Eisenberg, Aleya",,3,0-0,0-0,0-0,0-0,0,1,1,0,0,0,0,Juniata,Oberlin_Juniata_12-30-2022
