##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
03,"Serbin,Brynn",*,32,4-18,3-11,1-2,1-3,4,2,3,1,0,3,12,Ohio Northern,Ohio Northern_Scranton_3-2-2024
32,"Luersman,Kristen",*,28,2-9,1-4,1-2,2-4,6,3,0,3,1,1,6,Ohio Northern,Ohio Northern_Scranton_3-2-2024
13,"Akamine,Abi",*,18,2-3,0-0,0-0,0-0,0,1,1,0,0,0,4,Ohio Northern,Ohio Northern_Scranton_3-2-2024
20,"Ruane,Noelle",*,20,0-0,0-0,1-2,2-1,3,1,1,1,0,0,1,Ohio Northern,Ohio Northern_Scranton_3-2-2024
12,"Dials,Layla",*,11,0-3,0-2,0-0,0-1,1,0,0,2,0,0,0,Ohio Northern,Ohio Northern_Scranton_3-2-2024
34,"Glenn,Chloee",,27,7-10,0-0,3-4,1-4,5,2,1,0,0,0,17,Ohio Northern,Ohio Northern_Scranton_3-2-2024
11,"Dickson,Abby",,26,3-5,1-2,2-2,1-0,1,4,1,1,0,2,9,Ohio Northern,Ohio Northern_Scranton_3-2-2024
14,"Suprano,Mackenzie",,29,2-5,1-2,0-0,1-4,5,2,1,1,0,0,5,Ohio Northern,Ohio Northern_Scranton_3-2-2024
04,"Benjamin,Jada",,4,0-0,0-0,0-0,0-0,0,0,1,1,0,0,0,Ohio Northern,Ohio Northern_Scranton_3-2-2024
25,"Dean,Grace",,3,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Ohio Northern,Ohio Northern_Scranton_3-2-2024
31,"Croft,Gabi",,2,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0,Ohio Northern,Ohio Northern_Scranton_3-2-2024
11,"Kranson,Kaci",*,33,6-15,1-4,4-4,3-3,6,3,3,1,0,0,17,Scranton,Ohio Northern_Scranton_3-2-2024
13,"Hartnett,Maddie",*,37,4-7,1-3,3-4,0-6,6,3,1,2,0,0,12,Scranton,Ohio Northern_Scranton_3-2-2024
01,"Romanowski,Kaeli",*,34,3-7,2-2,4-4,0-4,4,2,2,1,2,1,12,Scranton,Ohio Northern_Scranton_3-2-2024
00,"Angelini,Hannah",*,37,3-6,2-3,0-0,1-5,6,0,2,1,0,0,8,Scranton,Ohio Northern_Scranton_3-2-2024
21,"Ryan,Maddy",*,28,2-9,0-1,3-4,4-3,7,2,1,2,0,0,7,Scranton,Ohio Northern_Scranton_3-2-2024
33,"Quigley,Kyra",,12,1-3,0-0,0-0,0-1,1,2,0,3,2,1,2,Scranton,Ohio Northern_Scranton_3-2-2024
20,"Lamanna,Meghan",,3,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Scranton,Ohio Northern_Scranton_3-2-2024
12,"Sloan,Jenna",,9,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Scranton,Ohio Northern_Scranton_3-2-2024
05,"Gorski,Katie",,7,0-3,0-3,0-0,0-2,2,0,0,0,1,0,0,Scranton,Ohio Northern_Scranton_3-2-2024
