##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,Kendis Butler,*,36,5-13,4-10,2-4,1-3,4,0,1,4,0,3,16,PSHW,PSHW_Juniata_11-23-2021
04,Jayla Galbreath,*,32,3-7,1-5,2-4,0-3,3,1,1,7,0,2,9,PSHW,PSHW_Juniata_11-23-2021
10,Jenna Montana,*,35,2-10,1-6,1-4,1-5,6,3,1,2,0,2,6,PSHW,PSHW_Juniata_11-23-2021
45,Anna Mahan,*,26,2-6,0-1,0-0,4-7,11,3,3,5,0,0,4,PSHW,PSHW_Juniata_11-23-2021
13,Paige Kubalak,*,27,1-3,0-1,0-0,0-1,1,5,0,1,0,1,2,PSHW,PSHW_Juniata_11-23-2021
21,Sydney Hemler,,11,2-2,0-0,4-6,1-5,6,3,1,2,0,0,8,PSHW,PSHW_Juniata_11-23-2021
12,Toni Amato,,16,1-5,1-3,4-6,0-2,2,2,1,3,0,0,7,PSHW,PSHW_Juniata_11-23-2021
43,Alli Walton,,10,0-0,0-0,0-0,0-1,1,4,1,5,0,0,0,PSHW,PSHW_Juniata_11-23-2021
23,Macy Carroll,,4,0-2,0-0,0-0,0-0,0,1,0,0,0,1,0,PSHW,PSHW_Juniata_11-23-2021
41,Kayla Cade,,3,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,PSHW,PSHW_Juniata_11-23-2021
13,Haily Sherman,*,31,7-20,1-6,4-5,5-8,13,2,1,3,2,1,19,Juniata,PSHW_Juniata_11-23-2021
23,Cassie Mock,*,34,5-8,4-6,2-4,1-5,6,2,2,0,0,7,16,Juniata,PSHW_Juniata_11-23-2021
11,Grace Long,*,31,4-12,1-6,0-0,8-7,15,3,3,1,0,1,9,Juniata,PSHW_Juniata_11-23-2021
03,Kynnedy Miller,*,24,2-10,2-8,3-6,1-1,2,5,3,2,0,1,9,Juniata,PSHW_Juniata_11-23-2021
30,Averie Hess,*,18,1-3,0-1,1-2,1-0,1,4,1,1,0,0,3,Juniata,PSHW_Juniata_11-23-2021
42,Taylor Vrabel,,10,2-5,0-0,0-0,2-2,4,1,1,1,0,0,4,Juniata,PSHW_Juniata_11-23-2021
34,Dani Scipioni,,11,1-3,1-1,0-0,0-0,0,3,1,3,0,2,3,Juniata,PSHW_Juniata_11-23-2021
21,Jamie Mahigel,,6,1-2,1-1,0-0,1-0,1,0,0,2,0,0,3,Juniata,PSHW_Juniata_11-23-2021
22,Aleya Eisenberg,,12,0-4,0-4,1-2,3-2,5,2,2,1,0,1,1,Juniata,PSHW_Juniata_11-23-2021
40,Emelie Nonemaker,,11,0-2,0-1,0-0,0-0,0,0,0,4,0,2,0,Juniata,PSHW_Juniata_11-23-2021
24,Marta Celebic,,6,0-3,0-0,0-0,0-1,1,1,2,2,0,0,0,Juniata,PSHW_Juniata_11-23-2021
35,Sarah Betts,,4,0-1,0-1,0-0,0-0,0,1,0,1,0,0,0,Juniata,PSHW_Juniata_11-23-2021
33,Halle Rittenhouse,,2,0-0,0-0,0-0,0-0,0,1,0,1,0,1,0,Juniata,PSHW_Juniata_11-23-2021
