##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
25,"Teats,Rachel",*,37,3-12,1-3,1-2,2-4,6,0,0,5,1,1,8,Penn College,Penn College_Susquehanna_11-18-2023
23,"Troup,Lexi",*,33,2-4,1-3,2-2,1-9,10,3,0,6,0,0,7,Penn College,Penn College_Susquehanna_11-18-2023
05,"Pardee,Emily",*,30,3-8,0-0,0-2,0-0,0,1,3,1,0,1,6,Penn College,Penn College_Susquehanna_11-18-2023
33,"Baker,Keeley",*,19,1-3,0-0,1-2,2-1,3,1,0,1,1,0,3,Penn College,Penn College_Susquehanna_11-18-2023
10,"Galbreath,Kenni",*,20,0-1,0-0,0-0,1-2,3,1,1,3,0,0,0,Penn College,Penn College_Susquehanna_11-18-2023
24,"Patterson,Mia",,20,2-6,0-0,0-0,1-4,5,0,0,3,0,2,4,Penn College,Penn College_Susquehanna_11-18-2023
20,"Pyatt,Shelby",,7,1-3,1-1,0-0,0-0,0,0,0,0,0,0,3,Penn College,Penn College_Susquehanna_11-18-2023
32,"Adams,Maddie",,2,0-0,0-0,2-2,0-0,0,0,0,0,0,0,2,Penn College,Penn College_Susquehanna_11-18-2023
15,"Woolson,Emily",,1,1-1,0-0,0-0,1-0,1,0,0,0,0,0,2,Penn College,Penn College_Susquehanna_11-18-2023
21,"Troup,Allie",,19,0-1,0-0,0-2,0-2,2,3,2,5,0,1,0,Penn College,Penn College_Susquehanna_11-18-2023
40,"Newcomer,Eliza",,6,0-0,0-0,0-0,0-0,0,1,0,0,0,1,0,Penn College,Penn College_Susquehanna_11-18-2023
04,"Miller,Kayleigh",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Penn College,Penn College_Susquehanna_11-18-2023
42,"Hitesman,Bell",,3,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Penn College,Penn College_Susquehanna_11-18-2023
21,"Roth,Julia",*,27,5-8,0-0,2-2,6-2,8,2,4,2,0,6,12,Susquehanna,Penn College_Susquehanna_11-18-2023
30,"Lynch,Kaitlyn",*,25,5-13,1-4,0-0,3-0,3,2,2,2,0,0,11,Susquehanna,Penn College_Susquehanna_11-18-2023
00,"Pinckert,Julia",*,31,3-11,2-8,2-2,1-2,3,0,4,3,0,0,10,Susquehanna,Penn College_Susquehanna_11-18-2023
05,"Klein,Lauren",*,20,2-9,0-2,1-1,3-2,5,3,2,2,1,2,5,Susquehanna,Penn College_Susquehanna_11-18-2023
24,"Maffei,Zoie",*,16,0-4,0-1,0-0,0-3,3,2,2,0,0,3,0,Susquehanna,Penn College_Susquehanna_11-18-2023
12,"George,Carly",,21,4-6,0-0,0-0,5-3,8,2,0,2,1,0,8,Susquehanna,Penn College_Susquehanna_11-18-2023
01,"Weyant,Sydney",,16,1-4,1-2,0-0,0-1,1,1,0,0,0,0,3,Susquehanna,Penn College_Susquehanna_11-18-2023
20,"Staver,Elke",,4,1-1,1-1,0-0,0-0,0,0,0,1,0,3,3,Susquehanna,Penn College_Susquehanna_11-18-2023
03,"Selvaggi,Kenzie",,18,1-5,0-3,0-1,0-1,1,2,1,0,0,0,2,Susquehanna,Penn College_Susquehanna_11-18-2023
31,"Meehan,Grace",,10,0-2,0-2,0-0,0-2,2,0,0,1,0,0,0,Susquehanna,Penn College_Susquehanna_11-18-2023
15,"Greek,Annie",,4,0-2,0-2,0-0,0-0,0,1,0,1,0,1,0,Susquehanna,Penn College_Susquehanna_11-18-2023
04,"Bono,Allison",,3,0-1,0-1,0-0,0-0,0,0,0,0,0,1,0,Susquehanna,Penn College_Susquehanna_11-18-2023
10,"Shipton,Kiersten",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna,Penn College_Susquehanna_11-18-2023
33,"Dorsey,Bri",,2,0-0,0-0,0-0,0-0,0,0,0,0,1,0,0,Susquehanna,Penn College_Susquehanna_11-18-2023
32,"Yuhas,Mackenzie",,1,0-0,0-0,0-0,0-0,0,2,0,1,0,0,0,Susquehanna,Penn College_Susquehanna_11-18-2023
