##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
20,"Bisignani,Jordan",*,39,6-9,6-9,1-2,0-4,4,1,6,3,0,1,19,Penn St.-Altoona,Penn St.-Altoona_Lycoming_11-13-2024
33,"Sayles,Avana",*,25,6-16,0-0,2-2,2-3,5,4,1,2,1,2,14,Penn St.-Altoona,Penn St.-Altoona_Lycoming_11-13-2024
02,"Green,Raniyah",*,10,1-3,0-0,0-0,2-4,6,2,0,2,1,0,2,Penn St.-Altoona,Penn St.-Altoona_Lycoming_11-13-2024
11,"McCracken,Jaidyn",*,34,0-8,0-6,0-0,1-5,6,0,2,2,0,0,0,Penn St.-Altoona,Penn St.-Altoona_Lycoming_11-13-2024
04,"Burns,Jess",*,26,0-10,0-7,0-0,0-1,1,4,3,1,0,1,0,Penn St.-Altoona,Penn St.-Altoona_Lycoming_11-13-2024
03,"Rusnica,Madison",,23,6-8,1-2,4-6,0-2,2,3,3,0,0,1,17,Penn St.-Altoona,Penn St.-Altoona_Lycoming_11-13-2024
21,"Hicks,Haley",,13,1-4,0-0,2-2,4-2,6,2,1,2,1,1,4,Penn St.-Altoona,Penn St.-Altoona_Lycoming_11-13-2024
44,"Kuzminski,Halle",,21,1-5,0-0,0-0,5-3,8,3,1,2,0,3,2,Penn St.-Altoona,Penn St.-Altoona_Lycoming_11-13-2024
41,"Schirato,Addi",,9,1-3,0-0,0-0,2-1,3,1,0,1,4,0,2,Penn St.-Altoona,Penn St.-Altoona_Lycoming_11-13-2024
21,"Yoh,Ashley",*,36,5-11,0-0,6-8,3-4,7,3,1,5,1,1,16,Lycoming,Penn St.-Altoona_Lycoming_11-13-2024
12,"Dufner,Meghan",*,38,5-9,1-2,2-2,4-6,10,1,3,4,0,2,13,Lycoming,Penn St.-Altoona_Lycoming_11-13-2024
14,"Fisher,Allison",*,38,2-12,1-6,2-4,0-5,5,1,3,3,0,0,7,Lycoming,Penn St.-Altoona_Lycoming_11-13-2024
10,"Wetzel,Mya",*,29,2-7,2-6,0-0,1-6,7,4,2,5,1,3,6,Lycoming,Penn St.-Altoona_Lycoming_11-13-2024
02,"Abdo,Kami",*,36,1-12,1-8,2-2,0-3,3,1,0,2,0,0,5,Lycoming,Penn St.-Altoona_Lycoming_11-13-2024
15,"Hartman,Makenna",,13,1-1,0-0,0-0,1-0,1,2,0,3,0,1,2,Lycoming,Penn St.-Altoona_Lycoming_11-13-2024
04,"McMurtrie,Ann-Marie",,4,0-2,0-0,0-0,0-2,2,2,0,0,0,1,0,Lycoming,Penn St.-Altoona_Lycoming_11-13-2024
32,"Stone,Sydnie",,4,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Penn St.-Altoona_Lycoming_11-13-2024
05,"McCracken,Jocelyn",,2,0-0,0-0,0-0,0-1,1,0,0,1,0,1,0,Lycoming,Penn St.-Altoona_Lycoming_11-13-2024
