##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,Jaidyn McCracken,*,31,6-13,4-11,1-2,0-2,2,4,2,1,2,0,17,Penn State-Altoona,Penn State-Altoona_Juniata_11-11-2024
33,Avana Sayles,*,25,7-21,0-0,3-4,3-11,14,5,0,1,1,0,17,Penn State-Altoona,Penn State-Altoona_Juniata_11-11-2024
2,Raniyah Green,*,34,4-11,0-0,1-4,2-6,8,5,0,1,2,5,9,Penn State-Altoona,Penn State-Altoona_Juniata_11-11-2024
20,Jordan Bisignani,*,42,2-4,1-3,2-4,1-5,6,3,4,5,0,1,7,Penn State-Altoona,Penn State-Altoona_Juniata_11-11-2024
4,Jess Burns,*,33,2-10,1-8,0-0,0-1,1,3,2,0,0,0,5,Penn State-Altoona,Penn State-Altoona_Juniata_11-11-2024
3,Madison Rusnica,,29,4-10,1-6,6-8,3-3,6,2,3,3,0,3,15,Penn State-Altoona,Penn State-Altoona_Juniata_11-11-2024
24,Rakaya Cooper,,19,4-7,0-0,1-2,4-2,6,5,0,0,0,3,9,Penn State-Altoona,Penn State-Altoona_Juniata_11-11-2024
44,Halle Kuzminski,,8,1-2,0-0,1-3,0-1,1,2,0,0,0,0,3,Penn State-Altoona,Penn State-Altoona_Juniata_11-11-2024
41,Addi Schirato,,4,0-1,0-0,0-0,0-0,0,1,0,0,0,1,0,Penn State-Altoona,Penn State-Altoona_Juniata_11-11-2024
TM,TMTeam,,0,0-0,0-0,0-0,2-4,6,0,0,0,0,0,0,Penn State-Altoona,Penn State-Altoona_Juniata_11-11-2024
21,Bri Bodtorf,*,39,8-14,0-2,9-9,2-5,7,4,5,2,0,4,25,Juniata,Penn State-Altoona_Juniata_11-11-2024
13,Haily Sherman,*,38,7-16,1-6,5-10,0-11,11,5,0,1,2,2,20,Juniata,Penn State-Altoona_Juniata_11-11-2024
4,Steph Emert,*,27,3-11,2-6,9-11,2-5,7,5,3,1,0,0,17,Juniata,Penn State-Altoona_Juniata_11-11-2024
31,Laney Gerdich,*,31,4-9,0-0,0-3,4-5,9,2,1,1,0,1,8,Juniata,Penn State-Altoona_Juniata_11-11-2024
11,Olivia Berg,*,37,1-6,1-6,0-2,1-2,3,1,5,4,0,0,3,Juniata,Penn State-Altoona_Juniata_11-11-2024
24,Emma Coolidge,,17,2-7,0-2,0-0,4-1,5,3,0,4,0,1,4,Juniata,Penn State-Altoona_Juniata_11-11-2024
23,Deja Gillo,,16,1-3,0-2,2-2,0-2,2,2,1,2,0,0,4,Juniata,Penn State-Altoona_Juniata_11-11-2024
43,Emily McCann,,12,1-3,0-2,1-2,0-2,2,3,0,1,0,0,3,Juniata,Penn State-Altoona_Juniata_11-11-2024
40,Emelie Nonemaker,,5,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Juniata,Penn State-Altoona_Juniata_11-11-2024
3,Michaela Owens,,3,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Juniata,Penn State-Altoona_Juniata_11-11-2024
TM,TMTeam,,0,0-0,0-0,0-0,1-5,6,0,0,1,0,0,0,Juniata,Penn State-Altoona_Juniata_11-11-2024
