##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Henderson,Caroline",*,28,4-14,2-7,2-2,0-1,1,0,0,2,0,0,12,RIT,RIT_Catholic_11-16-2024
23,"Ramsgard,Madeline",*,24,3-8,1-1,0-0,0-4,4,2,2,4,0,1,7,RIT,RIT_Catholic_11-16-2024
10,"Bockelman,Kaitlyn",*,19,2-7,1-4,2-2,0-2,2,2,2,0,0,1,7,RIT,RIT_Catholic_11-16-2024
25,"Kaplinski,Faye",*,24,1-7,0-0,3-4,1-4,5,4,0,0,0,0,5,RIT,RIT_Catholic_11-16-2024
00,"Kayser-Cochran,Ben",*,22,2-12,1-5,0-0,1-6,7,1,1,1,1,0,5,RIT,RIT_Catholic_11-16-2024
20,"Durand,Hannah",,11,1-2,1-1,0-0,0-1,1,3,0,2,0,0,3,RIT,RIT_Catholic_11-16-2024
03,"DiPaola,Erin",,27,1-2,0-1,0-2,0-3,3,0,3,0,0,0,2,RIT,RIT_Catholic_11-16-2024
15,"Spizuoco,Sophia",,9,0-1,0-1,1-2,0-2,2,1,0,0,0,1,1,RIT,RIT_Catholic_11-16-2024
33,"Dodds,Sydney",,4,0-2,0-1,1-2,1-1,2,0,0,1,0,1,1,RIT,RIT_Catholic_11-16-2024
31,"Wilson,Ella",,14,0-3,0-2,0-0,0-1,1,1,1,1,0,0,0,RIT,RIT_Catholic_11-16-2024
35,"Shivok,Sonya",,14,0-0,0-0,0-0,0-1,1,2,1,2,0,0,0,RIT,RIT_Catholic_11-16-2024
34,"Rose,Emma",,4,0-1,0-1,0-0,0-0,0,0,0,1,0,0,0,RIT,RIT_Catholic_11-16-2024
10,"Flaherty,Kerry",*,21,7-14,4-11,0-0,1-1,2,1,1,0,0,0,18,Catholic,RIT_Catholic_11-16-2024
13,"Scoblick,Anna",*,21,5-9,0-0,5-5,2-5,7,1,2,0,2,1,15,Catholic,RIT_Catholic_11-16-2024
33,"Douglas,Keegan",*,21,3-11,0-5,0-1,1-3,4,0,4,1,1,1,6,Catholic,RIT_Catholic_11-16-2024
24,"Kenah,Alexa",*,19,2-2,1-1,0-0,0-4,4,1,2,0,0,0,5,Catholic,RIT_Catholic_11-16-2024
22,"Mulvaney,Carly",*,25,1-6,0-3,2-2,4-5,9,1,2,1,0,0,4,Catholic,RIT_Catholic_11-16-2024
11,"Kennedy,Amelia",,14,4-5,1-1,2-2,1-9,10,2,2,0,0,1,11,Catholic,RIT_Catholic_11-16-2024
34,"Hughes,Maggie",,15,2-6,2-3,1-2,2-1,3,1,0,0,0,2,7,Catholic,RIT_Catholic_11-16-2024
25,"Kraft,Lauren",,10,1-3,1-2,0-0,0-0,0,0,0,0,0,1,3,Catholic,RIT_Catholic_11-16-2024
15,"Iacone,Ella",,9,1-3,1-2,0-0,0-0,0,2,0,1,0,0,3,Catholic,RIT_Catholic_11-16-2024
50,"Dragone,Angelina",,8,1-1,0-0,1-2,0-1,1,1,0,1,0,0,3,Catholic,RIT_Catholic_11-16-2024
05,"Boccella,Olivia",,6,1-3,1-2,0-0,0-1,1,0,0,0,0,1,3,Catholic,RIT_Catholic_11-16-2024
20,"Villa,Lia",,11,1-5,0-3,0-0,0-2,2,3,4,0,0,1,2,Catholic,RIT_Catholic_11-16-2024
41,"Blumenthal,Sam",,8,1-2,0-0,0-0,0-1,1,2,0,2,0,0,2,Catholic,RIT_Catholic_11-16-2024
02,"Guidetti,Raquel",,7,1-3,0-1,0-0,1-0,1,2,0,0,0,0,2,Catholic,RIT_Catholic_11-16-2024
40,"Kreinbrook,Anna",,5,0-0,0-0,0-0,0-3,3,0,0,2,0,0,0,Catholic,RIT_Catholic_11-16-2024
