##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
04,"Wise,Danaijah",*,30,3-13,0-2,2-6,0-3,3,2,1,9,0,1,8,Rosemont,Rosemont_Goucher_12-18-2024
13,"McDaniel,Aniya",*,23,3-14,0-1,2-6,1-5,6,3,0,8,0,0,8,Rosemont,Rosemont_Goucher_12-18-2024
06,"Wilson,Symone",*,20,1-2,0-0,0-0,1-8,9,3,0,9,0,0,2,Rosemont,Rosemont_Goucher_12-18-2024
10,"Knox-Wagner,TeKira",*,23,0-4,0-0,0-0,1-4,5,3,0,5,1,1,0,Rosemont,Rosemont_Goucher_12-18-2024
24,"Hamme,Olivia",*,20,0-4,0-1,0-0,1-6,7,2,0,5,0,0,0,Rosemont,Rosemont_Goucher_12-18-2024
11,"Holloway,Lakay",,25,1-7,0-0,3-10,1-4,5,2,0,12,0,0,5,Rosemont,Rosemont_Goucher_12-18-2024
21,"Edwards,Yanae",,12,2-3,0-0,0-1,4-3,7,0,0,0,0,0,4,Rosemont,Rosemont_Goucher_12-18-2024
09,"Rossino,Emily",,15,1-4,0-0,1-2,0-2,2,0,1,3,0,0,3,Rosemont,Rosemont_Goucher_12-18-2024
33,"Dickenson,Emilee",,23,1-4,0-0,0-0,3-2,5,1,0,5,0,0,2,Rosemont,Rosemont_Goucher_12-18-2024
12,"Goodrich,Bella",,9,0-1,0-0,0-4,0-0,0,2,1,3,0,2,0,Rosemont,Rosemont_Goucher_12-18-2024
20,"Whitaker,Amira",*,19,8-15,2-6,2-2,3-6,9,2,2,4,1,4,20,Goucher,Rosemont_Goucher_12-18-2024
15,"George,Nia",*,14,3-8,1-4,0-0,3-1,4,2,0,1,1,4,7,Goucher,Rosemont_Goucher_12-18-2024
31,"Edens,Nia",*,14,2-5,2-4,1-2,0-0,0,2,0,0,0,2,7,Goucher,Rosemont_Goucher_12-18-2024
04,"Igwe,Chi",*,13,3-8,1-1,0-0,3-4,7,1,2,0,0,4,7,Goucher,Rosemont_Goucher_12-18-2024
12,"Haggins,Briyah",*,11,2-5,0-3,0-0,0-3,3,1,6,0,0,2,4,Goucher,Rosemont_Goucher_12-18-2024
02,"Boykin,Meona",,18,7-20,1-7,6-7,6-2,8,2,1,2,0,4,21,Goucher,Rosemont_Goucher_12-18-2024
03,"Villanueva,Maiya",,12,3-9,2-5,2-2,3-3,6,1,3,1,0,2,10,Goucher,Rosemont_Goucher_12-18-2024
23,"Towns,Lauryn",,9,3-7,0-0,2-3,2-3,5,3,0,1,1,6,8,Goucher,Rosemont_Goucher_12-18-2024
10,"Townsend,Leila",,7,2-5,0-2,3-3,3-3,6,1,1,1,0,1,7,Goucher,Rosemont_Goucher_12-18-2024
21,"Holmes,Savannah",,14,2-5,2-3,0-0,2-2,4,1,2,2,0,3,6,Goucher,Rosemont_Goucher_12-18-2024
22,"Turner,Merci",,14,2-8,1-6,0-0,0-0,0,1,2,0,0,4,5,Goucher,Rosemont_Goucher_12-18-2024
34,"Sherman,Darby",,11,2-5,1-4,0-0,1-1,2,0,1,0,0,1,5,Goucher,Rosemont_Goucher_12-18-2024
25,"Knox,Sanai",,9,2-4,0-0,1-2,3-0,3,1,1,1,0,3,5,Goucher,Rosemont_Goucher_12-18-2024
30,"Cox,Ava",,7,2-5,1-2,0-0,1-1,2,1,0,0,0,0,5,Goucher,Rosemont_Goucher_12-18-2024
01,"Pace,Zion",,6,1-6,1-3,0-0,1-2,3,3,0,2,0,0,3,Goucher,Rosemont_Goucher_12-18-2024
44,"McCoy,Zion",,9,1-3,0-1,0-0,0-2,2,2,1,0,0,0,2,Goucher,Rosemont_Goucher_12-18-2024
08,"Washington,Kayley",,7,0-6,0-5,0-0,3-1,4,2,0,0,0,0,0,Goucher,Rosemont_Goucher_12-18-2024
06,"Vaselaros,Kiara",,6,0-4,0-2,0-0,3-0,3,0,1,0,0,2,0,Goucher,Rosemont_Goucher_12-18-2024
