##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
02,"Blocker,Rahzirah",*,40,5-15,0-0,5-9,2-2,4,1,0,6,0,2,15,Rutgers-Camden,Rutgers-Camden_Drew_11-8-2023
04,"Pitts,Jania",*,40,3-10,2-8,1-4,0-8,8,0,1,3,2,1,9,Rutgers-Camden,Rutgers-Camden_Drew_11-8-2023
23,"Brown,Taja",*,19,3-6,0-0,0-0,3-1,4,3,0,5,0,0,6,Rutgers-Camden,Rutgers-Camden_Drew_11-8-2023
05,"Morton,A'yanna",*,34,1-5,0-1,1-2,4-6,10,1,4,3,0,1,3,Rutgers-Camden,Rutgers-Camden_Drew_11-8-2023
22,"Simon,Maniya",*,34,0-10,0-3,3-4,0-3,3,2,2,8,0,2,3,Rutgers-Camden,Rutgers-Camden_Drew_11-8-2023
01,"Travis,Zhoei",,13,1-2,0-0,2-6,1-2,3,0,0,2,0,0,4,Rutgers-Camden,Rutgers-Camden_Drew_11-8-2023
24,"Balter,Gabrielle",,18,0-0,0-0,0-0,0-1,1,0,1,0,0,0,0,Rutgers-Camden,Rutgers-Camden_Drew_11-8-2023
15,"Sellers,Bonnie",,2,0-0,0-0,0-0,0-1,1,0,0,1,0,0,0,Rutgers-Camden,Rutgers-Camden_Drew_11-8-2023
12,"Morgan,Maddy",*,23,5-11,3-8,0-0,0-1,1,3,3,1,0,3,13,Drew,Rutgers-Camden_Drew_11-8-2023
05,"Smout,Sarah",*,21,4-10,1-2,0-0,0-2,2,3,2,1,0,4,9,Drew,Rutgers-Camden_Drew_11-8-2023
25,"Struble,Jamie",*,23,4-12,0-0,0-0,2-6,8,3,0,1,0,5,8,Drew,Rutgers-Camden_Drew_11-8-2023
22,"Hezel,Gracie",*,20,3-5,0-0,2-2,3-2,5,3,0,2,0,1,8,Drew,Rutgers-Camden_Drew_11-8-2023
04,"Rachilla,Amy",*,24,2-9,1-4,0-0,2-0,2,2,7,2,0,2,5,Drew,Rutgers-Camden_Drew_11-8-2023
01,"Wood,Ryane",,9,2-5,2-5,0-0,0-2,2,1,2,1,0,0,6,Drew,Rutgers-Camden_Drew_11-8-2023
03,"Lalo,Izzy",,8,2-5,2-5,0-0,0-0,0,0,0,0,0,0,6,Drew,Rutgers-Camden_Drew_11-8-2023
20,"Hezel,Brenna",,11,2-2,0-0,1-2,1-2,3,1,1,0,2,0,5,Drew,Rutgers-Camden_Drew_11-8-2023
11,"Dobrich,Beth",,13,2-7,0-0,0-0,1-3,4,1,0,0,0,0,4,Drew,Rutgers-Camden_Drew_11-8-2023
14,"Pica,Gianna",,13,2-3,0-0,0-0,1-5,6,2,1,2,0,1,4,Drew,Rutgers-Camden_Drew_11-8-2023
02,"Beyer,Maddie",,16,1-5,1-4,0-0,3-0,3,1,6,1,0,0,3,Drew,Rutgers-Camden_Drew_11-8-2023
30,"Diaz,Miabella",,15,1-3,1-3,0-0,2-6,8,3,2,1,0,3,3,Drew,Rutgers-Camden_Drew_11-8-2023
10,"Bass,Emily",,2,0-1,0-1,0-0,0-0,0,0,1,0,0,0,0,Drew,Rutgers-Camden_Drew_11-8-2023
15,"Debenedittis,Darcy",,2,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Drew,Rutgers-Camden_Drew_11-8-2023
