##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
15,Kaileigh Hunt,*,30,3-10,0-2,3-4,4-2,6,0,4,0,1,1,9,SUNY Brockport,SUNY Brockport_Elizabethtown_3-7-2025
01,Stephanie Jean-Bapti,*,27,4-11,0-2,1-2,1-2,3,1,3,2,0,3,9,SUNY Brockport,SUNY Brockport_Elizabethtown_3-7-2025
05,Peyton Maneri,*,21,4-7,0-0,0-0,1-0,1,2,0,2,0,1,8,SUNY Brockport,SUNY Brockport_Elizabethtown_3-7-2025
11,Shannon Blankenship,*,19,3-3,1-1,0-0,0-1,1,3,0,2,0,1,7,SUNY Brockport,SUNY Brockport_Elizabethtown_3-7-2025
33,Cam Tooley,*,26,2-10,0-2,0-0,3-1,4,4,2,0,0,0,4,SUNY Brockport,SUNY Brockport_Elizabethtown_3-7-2025
30,Harmony Philo,,15,4-5,3-4,4-5,0-2,2,3,0,3,0,1,15,SUNY Brockport,SUNY Brockport_Elizabethtown_3-7-2025
03,Mandy Brink,,17,3-9,0-1,5-7,0-4,4,4,1,2,0,0,11,SUNY Brockport,SUNY Brockport_Elizabethtown_3-7-2025
04,Jackie Kozakiewicz,,11,0-2,0-1,2-2,1-0,1,0,1,3,0,2,2,SUNY Brockport,SUNY Brockport_Elizabethtown_3-7-2025
23,Leah Thompson,,8,1-1,0-0,0-0,0-0,0,0,0,0,1,0,2,SUNY Brockport,SUNY Brockport_Elizabethtown_3-7-2025
24,Anna Lee,,12,0-1,0-0,0-0,1-0,1,0,2,0,0,0,0,SUNY Brockport,SUNY Brockport_Elizabethtown_3-7-2025
14,Claire Turner,,5,0-3,0-0,0-0,0-1,1,0,0,1,0,0,0,SUNY Brockport,SUNY Brockport_Elizabethtown_3-7-2025
12,Madison Misser,,3,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,SUNY Brockport,SUNY Brockport_Elizabethtown_3-7-2025
13,Mallory Turner,,3,0-0,0-0,0-0,0-0,0,0,0,2,0,0,0,SUNY Brockport,SUNY Brockport_Elizabethtown_3-7-2025
20,Madeline Hoak,,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,SUNY Brockport,SUNY Brockport_Elizabethtown_3-7-2025
25,Summer McNulty,*,29,9-13,2-4,2-2,0-8,8,2,1,5,0,1,22,Elizabethtown,SUNY Brockport_Elizabethtown_3-7-2025
34,DaniRae Renno,*,31,10-15,0-0,1-1,7-7,14,3,2,3,1,0,21,Elizabethtown,SUNY Brockport_Elizabethtown_3-7-2025
02,Makenna Mummert,*,25,4-8,0-2,0-0,1-1,2,1,8,0,0,0,8,Elizabethtown,SUNY Brockport_Elizabethtown_3-7-2025
30,Jess King,*,14,2-4,0-0,4-4,1-3,4,3,1,0,1,1,8,Elizabethtown,SUNY Brockport_Elizabethtown_3-7-2025
05,Ella Gordon,*,23,1-3,1-3,0-0,0-0,0,3,4,1,0,3,3,Elizabethtown,SUNY Brockport_Elizabethtown_3-7-2025
04,Cyleigh Wilson,,20,4-8,4-8,2-2,0-2,2,1,0,1,1,0,14,Elizabethtown,SUNY Brockport_Elizabethtown_3-7-2025
40,Grace O'Connor,,22,4-6,0-0,2-4,1-3,4,2,3,3,0,1,10,Elizabethtown,SUNY Brockport_Elizabethtown_3-7-2025
03,Lindsay Boyd,,16,3-4,2-3,0-0,2-2,4,2,4,2,0,1,8,Elizabethtown,SUNY Brockport_Elizabethtown_3-7-2025
31,Allyia Kennedy,,9,1-1,0-0,0-0,1-3,4,3,2,2,1,0,2,Elizabethtown,SUNY Brockport_Elizabethtown_3-7-2025
15,Kiley Wilhelm,,2,1-1,0-0,0-0,0-0,0,0,0,0,0,1,2,Elizabethtown,SUNY Brockport_Elizabethtown_3-7-2025
11,Kamryn Mengel,,4,0-1,0-0,0-0,1-0,1,0,0,0,0,0,0,Elizabethtown,SUNY Brockport_Elizabethtown_3-7-2025
24,Ellie Fasick,,3,0-0,0-0,0-0,0-0,0,0,1,0,0,1,0,Elizabethtown,SUNY Brockport_Elizabethtown_3-7-2025
10,Cadence Anderson,,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,SUNY Brockport_Elizabethtown_3-7-2025
14,Ava Chapman,,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,SUNY Brockport_Elizabethtown_3-7-2025
35,Peyton Houlihan,,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,SUNY Brockport_Elizabethtown_3-7-2025
