##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
03,"Snow,Kiley",*,36,6-10,3-6,2-2,0-3,3,3,1,4,2,1,17,SUNY Geneseo,SUNY Geneseo_Catholic_3-7-2025
21,"Reigle,Mackenzie",*,34,6-11,2-2,2-2,0-3,3,4,10,16,1,2,16,SUNY Geneseo,SUNY Geneseo_Catholic_3-7-2025
23,"Suydam,Kristin",*,24,4-8,0-0,4-6,4-16,20,3,1,3,2,0,12,SUNY Geneseo,SUNY Geneseo_Catholic_3-7-2025
14,"Galgano,Grace",*,34,3-6,1-3,1-1,1-10,11,2,2,0,1,0,8,SUNY Geneseo,SUNY Geneseo_Catholic_3-7-2025
10,"Elliot,Eva",*,26,2-2,0-0,0-0,1-2,3,0,1,1,0,1,4,SUNY Geneseo,SUNY Geneseo_Catholic_3-7-2025
24,"Hintz,Audrey",,16,5-10,0-0,1-1,1-4,5,2,1,0,2,0,11,SUNY Geneseo,SUNY Geneseo_Catholic_3-7-2025
01,"McGrane,Maggie",,24,1-4,0-2,4-6,1-2,3,0,0,2,0,1,6,SUNY Geneseo,SUNY Geneseo_Catholic_3-7-2025
11,"Beebe,Brianna",,5,0-2,0-1,0-0,1-0,1,1,0,0,0,0,0,SUNY Geneseo,SUNY Geneseo_Catholic_3-7-2025
22,"Connolly,Zephyr",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,SUNY Geneseo,SUNY Geneseo_Catholic_3-7-2025
13,"Scoblick,Anna",*,32,6-15,0-0,5-5,5-1,6,4,1,1,1,3,17,Catholic,SUNY Geneseo_Catholic_3-7-2025
33,"Douglas,Keegan",*,32,6-19,1-5,4-4,5-2,7,4,3,1,0,2,17,Catholic,SUNY Geneseo_Catholic_3-7-2025
22,"Mulvaney,Carly",*,39,4-14,1-7,0-0,2-2,4,3,0,1,0,4,9,Catholic,SUNY Geneseo_Catholic_3-7-2025
10,"Flaherty,Kerry",*,33,1-12,1-9,0-0,0-4,4,2,2,0,0,3,3,Catholic,SUNY Geneseo_Catholic_3-7-2025
24,"Kenah,Alexa",*,20,1-11,1-5,0-0,5-2,7,1,1,0,1,0,3,Catholic,SUNY Geneseo_Catholic_3-7-2025
25,"Kraft,Lauren",,8,1-8,0-5,4-5,1-1,2,0,0,0,0,2,6,Catholic,SUNY Geneseo_Catholic_3-7-2025
03,"Travieso,Sofia",,4,1-2,1-2,0-0,0-0,0,0,0,0,0,0,3,Catholic,SUNY Geneseo_Catholic_3-7-2025
05,"Boccella,Olivia",,3,1-2,1-2,0-0,0-0,0,1,0,0,0,0,3,Catholic,SUNY Geneseo_Catholic_3-7-2025
41,"Blumenthal,Sam",,11,0-3,0-0,2-2,1-2,3,1,1,0,1,0,2,Catholic,SUNY Geneseo_Catholic_3-7-2025
11,"Kennedy,Amelia",,11,0-7,0-2,0-0,0-3,3,2,1,2,0,1,0,Catholic,SUNY Geneseo_Catholic_3-7-2025
15,"Iacone,Ella",,4,0-0,0-0,0-0,0-0,0,1,0,0,0,1,0,Catholic,SUNY Geneseo_Catholic_3-7-2025
45,"Cusack,Delaney",,2,0-0,0-0,0-0,0-0,0,0,0,2,0,0,0,Catholic,SUNY Geneseo_Catholic_3-7-2025
02,"Guidetti,Raquel",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Catholic,SUNY Geneseo_Catholic_3-7-2025
