##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
01,"Battle,Destiny",*,34,9-16,0-2,3-5,4-1,5,3,2,9,0,4,21,Saint Elizabeth,Saint Elizabeth_Drew_11-15-2022
30,"Lynch,Kolby",*,27,4-8,0-0,2-2,2-4,6,3,1,3,0,3,10,Saint Elizabeth,Saint Elizabeth_Drew_11-15-2022
23,"Jones,Alani",*,20,1-11,1-6,0-0,0-1,1,1,1,1,0,3,3,Saint Elizabeth,Saint Elizabeth_Drew_11-15-2022
10,"Exume,Herbina",*,17,0-3,0-0,0-0,1-1,2,3,0,0,0,0,0,Saint Elizabeth,Saint Elizabeth_Drew_11-15-2022
02,"Sherman,Joelle",*,15,0-1,0-0,0-2,0-1,1,2,1,3,0,0,0,Saint Elizabeth,Saint Elizabeth_Drew_11-15-2022
04,"Coote,Amera",,9,2-6,0-2,0-0,0-0,0,1,0,0,0,0,4,Saint Elizabeth,Saint Elizabeth_Drew_11-15-2022
33,"Cobb,Ahjionae",,8,1-1,0-0,1-2,0-0,0,2,0,0,0,0,3,Saint Elizabeth,Saint Elizabeth_Drew_11-15-2022
40,"Kendle,Laila",,7,0-0,0-0,2-2,1-2,3,1,0,0,1,0,2,Saint Elizabeth,Saint Elizabeth_Drew_11-15-2022
20,"Shepard,Zyane",,4,1-1,0-0,0-0,1-1,2,0,0,0,0,0,2,Saint Elizabeth,Saint Elizabeth_Drew_11-15-2022
22,"Baytops,Aryanna",,12,0-2,0-0,1-4,1-2,3,1,0,3,0,1,1,Saint Elizabeth,Saint Elizabeth_Drew_11-15-2022
03,"Liriano,Taylor",,15,0-5,0-4,0-0,0-1,1,1,0,0,0,0,0,Saint Elizabeth,Saint Elizabeth_Drew_11-15-2022
32,"Medder,Chloe",,14,0-1,0-0,0-0,1-1,2,3,1,0,0,0,0,Saint Elizabeth,Saint Elizabeth_Drew_11-15-2022
00,"Jacobs,Sinag'ha",,7,0-1,0-0,0-0,1-1,2,1,0,0,0,2,0,Saint Elizabeth,Saint Elizabeth_Drew_11-15-2022
15,"Taunisma,Mikayla",,6,0-0,0-0,0-0,0-0,0,0,0,0,0,1,0,Saint Elizabeth,Saint Elizabeth_Drew_11-15-2022
11,"Joseph,Nacheca",,5,0-2,0-1,0-0,0-0,0,0,1,1,0,0,0,Saint Elizabeth,Saint Elizabeth_Drew_11-15-2022
23,"Meyers,Joey",*,29,8-16,1-6,2-2,3-12,15,2,5,2,0,2,19,Drew,Saint Elizabeth_Drew_11-15-2022
12,"Morgan,Madelyn",*,26,4-10,2-7,4-4,6-2,8,2,2,2,0,1,14,Drew,Saint Elizabeth_Drew_11-15-2022
22,"Hezel,Gracie",*,21,6-7,0-0,0-0,1-3,4,2,3,0,1,2,12,Drew,Saint Elizabeth_Drew_11-15-2022
25,"Struble,Jamie",*,25,3-6,0-0,4-6,2-5,7,2,3,4,1,1,10,Drew,Saint Elizabeth_Drew_11-15-2022
02,"Alberici,Gwen",*,27,2-6,0-2,1-4,1-0,1,2,7,3,0,2,5,Drew,Saint Elizabeth_Drew_11-15-2022
04,"Wojtowicz,Katrina",,15,1-4,0-2,2-2,1-1,2,2,0,2,0,1,4,Drew,Saint Elizabeth_Drew_11-15-2022
20,"Hezel,Brenna",,8,1-1,0-0,1-2,1-1,2,1,0,1,1,1,3,Drew,Saint Elizabeth_Drew_11-15-2022
13,"Mann,Kyra",,7,1-1,1-1,0-0,1-0,1,1,0,3,0,1,3,Drew,Saint Elizabeth_Drew_11-15-2022
42,"Pica,Gianna",,11,0-0,0-0,2-2,1-0,1,2,1,1,0,1,2,Drew,Saint Elizabeth_Drew_11-15-2022
11,"Dobrich,Beth",,7,1-3,0-1,0-2,0-4,4,0,0,1,0,1,2,Drew,Saint Elizabeth_Drew_11-15-2022
33,"Beyer,Maddie",,11,0-1,0-1,0-0,0-1,1,0,0,1,0,0,0,Drew,Saint Elizabeth_Drew_11-15-2022
03,"Lalo,Izzy",,7,0-2,0-2,0-0,0-1,1,2,1,0,0,0,0,Drew,Saint Elizabeth_Drew_11-15-2022
10,"Graff,Carlye",,4,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Saint Elizabeth_Drew_11-15-2022
05,"Wood,Ryane",,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Saint Elizabeth_Drew_11-15-2022
