##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
30,"Phillip,Ashley",*,36,5-16,2-6,3-4,1-5,6,3,2,3,0,0,15,Saint Elizabeth,Saint Elizabeth_Moravian_12-29-2024
03,"Davis,Mya",*,32,5-11,4-9,1-2,0-5,5,3,1,1,0,2,15,Saint Elizabeth,Saint Elizabeth_Moravian_12-29-2024
00,"White,Yasminah",*,40,4-16,1-5,3-5,0-8,8,1,6,8,0,0,12,Saint Elizabeth,Saint Elizabeth_Moravian_12-29-2024
23,"Neal,Paige",*,25,0-8,0-0,2-2,2-3,5,2,0,6,2,3,2,Saint Elizabeth,Saint Elizabeth_Moravian_12-29-2024
40,"Kendle,Laila",*,23,1-2,0-0,0-0,2-5,7,4,1,0,2,3,2,Saint Elizabeth,Saint Elizabeth_Moravian_12-29-2024
15,"Cobb,Ahjionae",,14,2-5,0-0,0-0,2-0,2,3,1,1,0,0,4,Saint Elizabeth,Saint Elizabeth_Moravian_12-29-2024
21,"Carruthers,Amaya",,13,2-4,0-0,0-0,0-2,2,1,0,0,1,1,4,Saint Elizabeth,Saint Elizabeth_Moravian_12-29-2024
33,"Folarin,Aliyah",,11,1-2,0-0,0-0,1-1,2,0,2,1,0,2,2,Saint Elizabeth,Saint Elizabeth_Moravian_12-29-2024
11,"Joseph,Nacheca",,6,0-0,0-0,0-0,0-1,1,2,0,0,0,0,0,Saint Elizabeth,Saint Elizabeth_Moravian_12-29-2024
01,"Osorio,Sam",*,24,5-11,0-0,2-4,6-5,11,1,1,1,0,2,12,Moravian,Saint Elizabeth_Moravian_12-29-2024
24,"Lustig,Lizzie",*,23,2-7,0-1,2-2,0-2,2,2,0,2,0,1,6,Moravian,Saint Elizabeth_Moravian_12-29-2024
22,"Vassallo,Juliana",*,22,2-13,1-4,0-0,1-7,8,4,0,4,1,2,5,Moravian,Saint Elizabeth_Moravian_12-29-2024
10,"Guarente,Brielle",*,28,1-6,0-0,2-2,1-3,4,3,4,4,0,1,4,Moravian,Saint Elizabeth_Moravian_12-29-2024
12,"Anderson,Mikayla",*,18,0-1,0-0,0-0,3-3,6,0,4,1,0,1,0,Moravian,Saint Elizabeth_Moravian_12-29-2024
05,"Wallbillich,Ellie",,20,4-9,1-4,2-2,0-5,5,2,0,1,0,3,11,Moravian,Saint Elizabeth_Moravian_12-29-2024
20,"Herbert,Lanie",,17,3-9,0-0,2-5,4-5,9,1,1,1,0,0,8,Moravian,Saint Elizabeth_Moravian_12-29-2024
00,"Altmire,Emma",,16,2-6,2-6,2-2,0-2,2,0,2,2,0,0,8,Moravian,Saint Elizabeth_Moravian_12-29-2024
11,"Squizziato,Sofia",,12,1-3,0-0,4-5,0-1,1,0,0,1,0,0,6,Moravian,Saint Elizabeth_Moravian_12-29-2024
04,"Cartagena,Jayda",,20,2-5,0-1,1-2,1-2,3,0,2,2,0,0,5,Moravian,Saint Elizabeth_Moravian_12-29-2024
