##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
24,"Brown,Kolby",*,30,4-10,1-3,2-2,0-1,1,1,0,3,1,1,11,Salisbury,Salisbury_Catholic_11-16-2022
11,"Bullock,Nadia",*,27,3-10,2-5,0-0,2-0,2,2,1,4,0,0,8,Salisbury,Salisbury_Catholic_11-16-2022
01,"Raybold,Ainsley",*,36,3-8,1-3,0-0,1-4,5,1,3,9,0,1,7,Salisbury,Salisbury_Catholic_11-16-2022
30,"Burrows,Ashlynn",*,24,2-6,0-0,1-1,2-1,3,1,1,3,0,0,5,Salisbury,Salisbury_Catholic_11-16-2022
33,"Dilger,Emily",*,20,0-4,0-0,0-0,2-5,7,1,2,3,3,0,0,Salisbury,Salisbury_Catholic_11-16-2022
35,"Bull,Alex",,10,3-4,1-1,0-0,1-3,4,0,0,1,0,1,7,Salisbury,Salisbury_Catholic_11-16-2022
32,"Deloatch,Sym",,11,2-2,0-0,2-3,1-2,3,3,0,3,0,0,6,Salisbury,Salisbury_Catholic_11-16-2022
40,"Ader,Hailey",,19,0-2,0-0,2-2,1-2,3,1,0,2,0,0,2,Salisbury,Salisbury_Catholic_11-16-2022
21,"Wivell,Emma",,17,0-1,0-0,0-0,0-1,1,3,0,1,1,0,0,Salisbury,Salisbury_Catholic_11-16-2022
23,"Nieberlein,Kayla",,6,0-1,0-0,0-0,0-1,1,1,2,1,0,0,0,Salisbury,Salisbury_Catholic_11-16-2022
25,"Doherty,Erin",*,19,6-10,3-4,0-0,0-2,2,3,1,3,0,2,15,Catholic,Salisbury_Catholic_11-16-2022
01,"Bussanich,Rachel",*,27,5-13,0-0,2-2,2-4,6,4,0,5,0,3,12,Catholic,Salisbury_Catholic_11-16-2022
22,"Mulvaney,Carly",*,29,3-4,3-3,0-0,0-4,4,2,2,3,1,3,9,Catholic,Salisbury_Catholic_11-16-2022
33,"Douglas,Keegan",*,25,1-5,1-1,0-0,0-0,0,1,1,0,1,1,3,Catholic,Salisbury_Catholic_11-16-2022
04,"Thompson,Erin",*,14,0-1,0-0,0-0,0-0,0,2,1,0,0,4,0,Catholic,Salisbury_Catholic_11-16-2022
05,"White,Sarah",,17,3-7,3-5,2-2,1-2,3,1,4,0,0,3,11,Catholic,Salisbury_Catholic_11-16-2022
13,"Scoblick,Anna",,19,2-5,0-0,2-4,1-1,2,0,2,1,0,4,6,Catholic,Salisbury_Catholic_11-16-2022
12,"McCarter,Sammie",,17,2-4,2-4,0-0,0-1,1,1,1,1,0,0,6,Catholic,Salisbury_Catholic_11-16-2022
10,"Baldo,Amelia",,18,1-5,0-0,1-2,0-0,0,1,3,1,0,2,3,Catholic,Salisbury_Catholic_11-16-2022
15,"Aromando,Molly",,4,0-1,0-1,2-2,0-0,0,1,0,0,0,0,2,Catholic,Salisbury_Catholic_11-16-2022
20,"Beirne,Kaleigh",,4,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Catholic,Salisbury_Catholic_11-16-2022
24,"Kenah,Alexa",,2,1-1,0-0,0-0,0-0,0,1,0,0,0,0,2,Catholic,Salisbury_Catholic_11-16-2022
11,"Kennedy,Amelia",,2,0-0,0-0,0-0,0-2,2,1,1,1,0,0,0,Catholic,Salisbury_Catholic_11-16-2022
35,"Hughes,Maggie",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Catholic,Salisbury_Catholic_11-16-2022
30,"Fernandez,Tori",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Catholic,Salisbury_Catholic_11-16-2022
