##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
40,Hailey Ader,*,29,5-14,0-0,0-0,6-2,8,3,2,4,1,1,10,Salisbury,Salisbury_Elizabethtown_11-30-2022
03,Abby Wilkinson,*,24,3-6,0-1,2-2,1-3,4,3,2,5,0,0,8,Salisbury,Salisbury_Elizabethtown_11-30-2022
30,Ashlynn Burrows,*,31,3-13,0-0,1-1,3-2,5,0,0,0,2,1,7,Salisbury,Salisbury_Elizabethtown_11-30-2022
24,Kolby Brown,*,22,2-7,0-1,0-0,1-0,1,1,0,0,0,0,4,Salisbury,Salisbury_Elizabethtown_11-30-2022
21,Emma Wivell,*,28,0-4,0-0,0-4,0-3,3,3,1,2,1,0,0,Salisbury,Salisbury_Elizabethtown_11-30-2022
35,Alex Bull,,24,2-6,1-4,1-2,0-2,2,2,2,1,0,1,6,Salisbury,Salisbury_Elizabethtown_11-30-2022
23,Kayla Nieberlein,,6,1-3,0-0,0-0,0-1,1,1,0,0,0,0,2,Salisbury,Salisbury_Elizabethtown_11-30-2022
33,Emily Dilger,,6,1-3,0-0,0-0,0-2,2,3,0,1,0,0,2,Salisbury,Salisbury_Elizabethtown_11-30-2022
32,Sym Deloatch,,7,0-2,0-0,1-2,0-3,3,0,0,0,0,0,1,Salisbury,Salisbury_Elizabethtown_11-30-2022
12,Tori Rumbaugh,,17,0-2,0-2,0-0,1-3,4,2,2,2,0,0,0,Salisbury,Salisbury_Elizabethtown_11-30-2022
01,Ainsley Raybold,,6,0-1,0-0,0-0,0-0,0,0,0,2,0,0,0,Salisbury,Salisbury_Elizabethtown_11-30-2022
34,DaniRae Renno,*,25,8-16,0-0,3-3,5-4,9,3,0,2,0,1,19,Elizabethtown,Salisbury_Elizabethtown_11-30-2022
25,Summer McNulty,*,27,6-14,1-1,1-2,1-2,3,1,2,1,0,0,14,Elizabethtown,Salisbury_Elizabethtown_11-30-2022
04,Cyleigh Wilson,*,22,3-6,2-5,1-1,0-2,2,2,2,2,0,1,9,Elizabethtown,Salisbury_Elizabethtown_11-30-2022
30,Jessica King,*,24,3-8,0-0,2-4,3-3,6,2,5,1,1,2,8,Elizabethtown,Salisbury_Elizabethtown_11-30-2022
03,Lindsay Boyd,*,17,0-3,0-0,1-2,1-2,3,2,1,2,0,4,1,Elizabethtown,Salisbury_Elizabethtown_11-30-2022
35,Cass Peris,,21,1-1,0-0,4-6,4-9,13,1,1,1,1,2,6,Elizabethtown,Salisbury_Elizabethtown_11-30-2022
02,Makenna Mummert,,11,1-6,0-1,4-4,1-1,2,0,0,2,1,0,6,Elizabethtown,Salisbury_Elizabethtown_11-30-2022
13,Taylor Huyck,,16,1-2,0-1,2-2,1-1,2,2,1,0,0,1,4,Elizabethtown,Salisbury_Elizabethtown_11-30-2022
31,Allyia Kennedy,,5,1-1,0-0,0-0,0-2,2,1,1,1,0,0,2,Elizabethtown,Salisbury_Elizabethtown_11-30-2022
05,Megan Desmet,,3,1-2,0-0,0-0,1-2,3,0,0,0,0,1,2,Elizabethtown,Salisbury_Elizabethtown_11-30-2022
14,Kaeli Romanowski,,14,0-1,0-0,1-2,1-1,2,1,1,1,0,1,1,Elizabethtown,Salisbury_Elizabethtown_11-30-2022
33,Clare Marchese,,7,0-2,0-1,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Salisbury_Elizabethtown_11-30-2022
24,Ellie Fasick,,5,0-2,0-0,0-0,0-0,0,0,0,0,1,0,0,Elizabethtown,Salisbury_Elizabethtown_11-30-2022
12,Georgia Panopoulos,,3,0-1,0-0,0-0,0-0,0,1,0,1,0,0,0,Elizabethtown,Salisbury_Elizabethtown_11-30-2022
