##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
30,"Burrows,Ashlynn",*,34,6-11,0-0,0-0,1-2,3,2,0,1,0,0,12,Salisbury,Salisbury_Goucher_12-7-2022
03,"Wilkinson,Abby",*,28,2-10,0-1,6-6,3-3,6,4,1,2,0,3,10,Salisbury,Salisbury_Goucher_12-7-2022
40,"Ader,Hailey",*,15,2-4,0-0,6-7,1-2,3,0,2,1,2,0,10,Salisbury,Salisbury_Goucher_12-7-2022
12,"Rumbaugh,Tori",*,33,3-8,2-5,0-0,1-1,2,1,3,4,0,3,8,Salisbury,Salisbury_Goucher_12-7-2022
24,"Brown,Kolby",*,17,1-3,0-1,0-0,0-1,1,3,2,1,0,3,2,Salisbury,Salisbury_Goucher_12-7-2022
33,"Dilger,Emily",,23,6-10,0-0,3-3,2-4,6,1,1,5,1,2,15,Salisbury,Salisbury_Goucher_12-7-2022
21,"Wivell,Emma",,22,2-8,0-2,1-4,3-2,5,1,2,0,0,2,5,Salisbury,Salisbury_Goucher_12-7-2022
35,"Bull,Alex",,15,1-5,0-2,0-1,0-2,2,2,2,1,0,0,2,Salisbury,Salisbury_Goucher_12-7-2022
32,"Deloatch,Sym",,5,1-1,0-0,0-2,0-0,0,1,0,2,0,1,2,Salisbury,Salisbury_Goucher_12-7-2022
01,"Raybold,Ainsley",,6,0-1,0-1,0-0,0-1,1,0,0,1,0,0,0,Salisbury,Salisbury_Goucher_12-7-2022
23,"Nieberlein,Kayla",,2,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0,Salisbury,Salisbury_Goucher_12-7-2022
05,"Smith,Kyla",*,39,7-28,3-11,1-4,0-5,5,4,0,5,1,3,18,Goucher,Salisbury_Goucher_12-7-2022
23,"Quarles,Kyani",*,36,5-13,0-0,0-0,12-3,15,4,1,3,0,0,10,Goucher,Salisbury_Goucher_12-7-2022
15,"Lawrence,Kendra",*,36,3-13,0-0,2-2,4-6,10,4,4,4,1,2,8,Goucher,Salisbury_Goucher_12-7-2022
22,"Nwuli,Sydney",*,36,3-5,0-0,1-2,3-4,7,3,3,3,1,0,7,Goucher,Salisbury_Goucher_12-7-2022
03,"Pace,GVahn",*,25,0-2,0-1,1-2,0-1,1,4,1,6,0,1,1,Goucher,Salisbury_Goucher_12-7-2022
30,"Cox,Ava",,8,1-1,0-0,2-2,0-0,0,1,0,2,0,0,4,Goucher,Salisbury_Goucher_12-7-2022
04,"Cavoli,Julia",,18,1-2,1-2,0-0,1-1,2,2,0,2,0,0,3,Goucher,Salisbury_Goucher_12-7-2022
00,"Taylor,Kya",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Goucher,Salisbury_Goucher_12-7-2022
25,"Bailey,Lydia",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Goucher,Salisbury_Goucher_12-7-2022
