##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,"Otlowski,Kaylee",*,32,8-18,0-0,1-2,6-8,14,3,3,1,0,0,17,Salisbury,Salisbury_Scranton_1-18-2022
01,"Fortescue,Lauren",*,38,4-14,1-2,3-5,2-3,5,2,4,0,0,2,12,Salisbury,Salisbury_Scranton_1-18-2022
22,"Webb,Kylie",*,19,2-5,1-3,2-4,0-2,2,0,2,0,0,0,7,Salisbury,Salisbury_Scranton_1-18-2022
40,"Ader,Hailey",*,22,3-5,0-0,0-0,2-2,4,1,0,2,0,2,6,Salisbury,Salisbury_Scranton_1-18-2022
11,"Welbon,Jada",*,36,2-8,0-2,0-2,0-3,3,3,6,1,0,0,4,Salisbury,Salisbury_Scranton_1-18-2022
03,"Wilkinson,Abby",,17,2-6,1-2,0-0,1-3,4,2,1,2,0,0,5,Salisbury,Salisbury_Scranton_1-18-2022
33,"Dilger,Emily",,18,1-4,0-0,0-0,0-3,3,2,0,0,0,0,2,Salisbury,Salisbury_Scranton_1-18-2022
30,"Burrows,Ashlynn",,8,1-4,0-0,0-0,0-1,1,1,0,0,0,0,2,Salisbury,Salisbury_Scranton_1-18-2022
12,"Rumbaugh,Tori",,5,0-0,0-0,0-0,0-0,0,1,1,0,0,0,0,Salisbury,Salisbury_Scranton_1-18-2022
35,"Bull,Alex",,5,0-1,0-0,0-0,1-1,2,0,0,0,0,0,0,Salisbury,Salisbury_Scranton_1-18-2022
10,"Cuthbert,Madison",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Salisbury,Salisbury_Scranton_1-18-2022
01,"Anderson,Abby",*,35,5-18,1-2,5-8,0-17,17,2,2,1,0,1,16,Scranton,Salisbury_Scranton_1-18-2022
20,"Shurina,Emily",*,37,6-17,1-8,1-2,2-3,5,0,2,1,0,0,14,Scranton,Salisbury_Scranton_1-18-2022
24,"Monaghan,Bridget",*,36,3-7,1-2,2-2,1-1,2,1,3,1,0,1,9,Scranton,Salisbury_Scranton_1-18-2022
00,"Angelini,Hannah",*,30,3-4,0-0,2-3,0-0,0,0,4,2,0,1,8,Scranton,Salisbury_Scranton_1-18-2022
32,"Walsh,Sara",*,14,0-0,0-0,0-0,1-2,3,1,0,2,1,0,0,Scranton,Salisbury_Scranton_1-18-2022
21,"Ryan,Maddy",,26,5-6,0-0,0-0,4-3,7,4,1,1,1,0,10,Scranton,Salisbury_Scranton_1-18-2022
13,"Hartnett,Maddie",,17,2-4,2-3,0-0,0-2,2,1,0,0,1,1,6,Scranton,Salisbury_Scranton_1-18-2022
25,"Duerr,Emma",,5,0-2,0-1,0-0,1-2,3,0,0,1,0,0,0,Scranton,Salisbury_Scranton_1-18-2022
