##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
01,"Romanowski,Kaeli",*,36,13-20,0-2,12-17,5-2,7,2,1,6,0,2,38,Scranton,Scranton_Catholic_1-12-2024
11,"Kranson,Kaci",*,38,9-20,1-5,2-5,3-9,12,3,1,6,1,1,21,Scranton,Scranton_Catholic_1-12-2024
21,"Ryan,Maddy",*,27,5-8,0-0,3-5,7-1,8,5,0,3,0,0,13,Scranton,Scranton_Catholic_1-12-2024
13,"Hartnett,Maddie",*,38,2-5,1-3,1-2,0-9,9,5,4,0,2,1,6,Scranton,Scranton_Catholic_1-12-2024
10,"Lynch,Allie",*,14,0-3,0-2,1-2,0-1,1,3,0,0,0,1,1,Scranton,Scranton_Catholic_1-12-2024
20,"Lamanna,Meghan",,33,3-9,1-4,0-0,1-3,4,2,2,0,0,1,7,Scranton,Scranton_Catholic_1-12-2024
33,"Quigley,Kyra",,17,0-3,0-0,0-0,1-3,4,4,0,0,0,0,0,Scranton,Scranton_Catholic_1-12-2024
12,"Sloan,Jenna",,14,0-1,0-0,0-0,3-0,3,2,1,2,0,3,0,Scranton,Scranton_Catholic_1-12-2024
05,"Gorski,Katie",,8,0-5,0-4,0-2,2-2,4,1,0,2,0,1,0,Scranton,Scranton_Catholic_1-12-2024
33,"Douglas,Keegan",*,42,7-19,4-7,11-13,2-2,4,4,3,4,0,1,29,Catholic,Scranton_Catholic_1-12-2024
22,"Mulvaney,Carly",*,39,3-9,2-4,8-10,1-4,5,3,1,2,2,2,16,Catholic,Scranton_Catholic_1-12-2024
05,"White,Sarah",*,41,7-15,1-6,0-0,1-3,4,4,1,3,0,1,15,Catholic,Scranton_Catholic_1-12-2024
10,"Flaherty,Kerry",*,33,3-9,3-6,4-6,0-6,6,1,1,3,0,1,13,Catholic,Scranton_Catholic_1-12-2024
13,"Scoblick,Anna",*,28,5-9,0-0,2-3,2-2,4,5,1,0,1,1,12,Catholic,Scranton_Catholic_1-12-2024
20,"Beirne,Kaleigh",,13,1-2,1-2,0-0,1-3,4,2,0,2,0,1,3,Catholic,Scranton_Catholic_1-12-2024
30,"Fernandez,Tori",,21,0-3,0-2,1-2,1-4,5,2,2,0,1,1,1,Catholic,Scranton_Catholic_1-12-2024
11,"Kennedy,Amelia",,5,0-1,0-0,0-0,0-0,0,1,1,0,0,0,0,Catholic,Scranton_Catholic_1-12-2024
50,"Dragone,Angelina",,3,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Catholic,Scranton_Catholic_1-12-2024
