##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Kranson,Kaci",*,22,2-9,0-1,6-6,2-4,6,0,0,0,0,2,10,Scranton,Scranton_Colby_12-30-2024
01,"Romanowski,Kaeli",*,23,2-2,0-0,4-4,1-4,5,1,3,1,1,4,8,Scranton,Scranton_Colby_12-30-2024
20,"Lamanna,Meghan",*,23,3-6,2-5,0-0,0-1,1,1,1,0,0,3,8,Scranton,Scranton_Colby_12-30-2024
13,"Hartnett,Maddie",*,19,2-7,1-4,0-0,0-2,2,4,0,0,0,0,5,Scranton,Scranton_Colby_12-30-2024
33,"Quigley,Kyra",*,10,2-3,0-0,0-0,2-2,4,1,2,1,1,1,4,Scranton,Scranton_Colby_12-30-2024
15,"Bennett,Elizabeth",,18,8-13,0-2,1-2,1-2,3,0,2,1,0,0,17,Scranton,Scranton_Colby_12-30-2024
14,"Stoupakis,Natalie",,10,2-3,2-3,0-0,0-0,0,2,0,0,0,0,6,Scranton,Scranton_Colby_12-30-2024
05,"Gorski,Katie",,17,2-4,0-0,1-2,0-3,3,1,1,0,0,1,5,Scranton,Scranton_Colby_12-30-2024
21,"Ryan,Maddy",,7,2-2,0-0,1-2,3-4,7,1,2,1,0,0,5,Scranton,Scranton_Colby_12-30-2024
03,"Brewer,Morgan",,4,1-2,1-2,0-0,1-0,1,0,0,0,0,0,3,Scranton,Scranton_Colby_12-30-2024
12,"Sloan,Jenna",,15,0-0,0-0,2-2,1-3,4,2,2,1,0,4,2,Scranton,Scranton_Colby_12-30-2024
10,"Lynch,Allie",,9,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Scranton,Scranton_Colby_12-30-2024
22,"Halligan,Lizzie",,7,0-0,0-0,2-2,0-1,1,2,0,1,0,0,2,Scranton,Scranton_Colby_12-30-2024
24,"Francione,Marisa",,4,0-3,0-1,0-0,0-0,0,0,0,1,0,0,0,Scranton,Scranton_Colby_12-30-2024
00,"Cieszko,Selena",,3,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0,Scranton,Scranton_Colby_12-30-2024
02,"Bender,Ashlyn",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,1,0,Scranton,Scranton_Colby_12-30-2024
23,"Montgomery,Elyse",,3,0-1,0-0,0-0,0-1,1,0,0,0,0,0,0,Scranton,Scranton_Colby_12-30-2024
30,"Kraker,Sabrina",,3,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0,Scranton,Scranton_Colby_12-30-2024
TM,TMTeam,,0,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Scranton,Scranton_Colby_12-30-2024
13,Kate Olenik,*,40,4-16,3-6,5-6,1-2,3,2,3,2,0,1,16,Colby,Scranton_Colby_12-30-2024
21,Lydia Mordarski,*,40,2-8,0-6,9-12,0-2,2,3,1,2,0,2,13,Colby,Scranton_Colby_12-30-2024
25,Ana Von Rumohr,*,30,2-7,2-4,0-0,3-2,5,2,1,3,0,0,6,Colby,Scranton_Colby_12-30-2024
15,Lili Nagy,*,24,2-5,1-3,0-0,0-2,2,1,0,1,0,0,5,Colby,Scranton_Colby_12-30-2024
17,Amelia Hanscom,*,19,0-5,0-1,2-4,0-4,4,2,2,6,1,0,2,Colby,Scranton_Colby_12-30-2024
12,Talia Thompson,,26,1-4,0-1,2-2,0-4,4,3,1,2,0,1,4,Colby,Scranton_Colby_12-30-2024
10,Defne Pekinbas,,18,1-2,0-0,0-2,1-2,3,0,0,3,0,0,2,Colby,Scranton_Colby_12-30-2024
24,Caroline Hartley,,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Colby,Scranton_Colby_12-30-2024
TM,TMTeam,,0,0-0,0-0,0-0,5-2,7,0,0,0,0,0,0,Colby,Scranton_Colby_12-30-2024
