##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Kranson,Kaci",*,40,6-14,1-3,8-9,1-10,11,2,4,7,0,1,21,Scranton,Scranton_DeSales_12-19-2023
21,"Ryan,Maddy",*,36,6-7,0-0,3-6,0-6,6,3,3,4,2,3,15,Scranton,Scranton_DeSales_12-19-2023
01,"Romanowski,Kaeli",*,30,3-8,1-2,2-4,0-2,2,5,2,2,0,3,9,Scranton,Scranton_DeSales_12-19-2023
13,"Hartnett,Maddie",*,27,1-6,1-3,4-4,1-5,6,4,1,2,0,0,7,Scranton,Scranton_DeSales_12-19-2023
10,"Lynch,Allie",*,30,1-4,0-3,1-2,1-3,4,3,0,5,0,1,3,Scranton,Scranton_DeSales_12-19-2023
20,"Lamanna,Meghan",,30,3-10,3-7,1-4,0-2,2,1,1,1,0,2,10,Scranton,Scranton_DeSales_12-19-2023
33,"Quigley,Kyra",,11,0-1,0-0,3-4,1-3,4,2,1,1,0,0,3,Scranton,Scranton_DeSales_12-19-2023
12,"Sloan,Jenna",,17,0-0,0-0,0-0,0-4,4,1,2,0,0,0,0,Scranton,Scranton_DeSales_12-19-2023
05,"Gorski,Katie",,4,0-0,0-0,0-0,0-2,2,1,0,0,0,0,0,Scranton,Scranton_DeSales_12-19-2023
33,"Donmoyer,Mikaili",*,32,4-8,2-4,5-5,0-5,5,2,3,5,0,1,15,DeSales,Scranton_DeSales_12-19-2023
22,"Bealer,Megan",*,44,5-15,0-4,4-6,0-6,6,4,1,4,0,0,14,DeSales,Scranton_DeSales_12-19-2023
21,"Reese,Mikaela",*,34,5-12,2-5,2-2,0-5,5,5,3,3,4,2,14,DeSales,Scranton_DeSales_12-19-2023
24,"Welsh,Lindsey",*,38,4-11,2-3,0-0,1-5,6,4,2,3,0,2,10,DeSales,Scranton_DeSales_12-19-2023
12,"Scotti,Olivia",*,41,3-11,1-5,0-2,2-3,5,3,2,0,0,1,7,DeSales,Scranton_DeSales_12-19-2023
31,"Finnan,Katie",,13,0-0,0-0,2-2,0-0,0,1,0,1,0,0,2,DeSales,Scranton_DeSales_12-19-2023
14,"Saunders,Amelia",,10,0-5,0-2,1-2,0-2,2,2,1,0,0,0,1,DeSales,Scranton_DeSales_12-19-2023
25,"White,Sammi",,13,0-0,0-0,0-0,0-1,1,1,1,0,0,1,0,DeSales,Scranton_DeSales_12-19-2023
