##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,"Ryan,Maddy",*,29,7-10,0-0,5-8,3-2,5,1,1,0,2,3,19,Scranton,Scranton_Drew_1-18-2023
11,"Kranson,Kaci",*,36,5-12,1-2,2-2,6-6,12,2,0,3,2,1,13,Scranton,Scranton_Drew_1-18-2023
24,"Monaghan,Bridget",*,35,3-12,1-8,2-3,0-5,5,2,3,2,0,1,9,Scranton,Scranton_Drew_1-18-2023
20,"Rajza,Samantha",*,31,3-11,2-9,0-0,0-3,3,3,6,1,0,2,8,Scranton,Scranton_Drew_1-18-2023
00,"Angelini,Hannah",*,26,2-6,1-2,1-2,2-1,3,2,2,3,0,1,6,Scranton,Scranton_Drew_1-18-2023
13,"Hartnett,Maddie",,19,2-6,0-4,0-0,1-3,4,3,4,2,0,1,4,Scranton,Scranton_Drew_1-18-2023
10,"Lynch,Allie",,13,0-2,0-2,2-2,1-1,2,1,0,0,0,0,2,Scranton,Scranton_Drew_1-18-2023
32,"Walsh,Sara",,11,1-1,0-0,0-0,0-4,4,0,0,0,0,0,2,Scranton,Scranton_Drew_1-18-2023
23,"Meyers,Joey",*,38,11-20,4-9,3-5,1-8,9,2,1,1,0,2,29,Drew,Scranton_Drew_1-18-2023
25,"Struble,Jamie",*,30,4-10,0-0,0-0,0-5,5,3,2,3,0,0,8,Drew,Scranton_Drew_1-18-2023
02,"Alberici,Gwen",*,38,1-7,0-3,2-4,1-3,4,2,7,2,0,4,4,Drew,Scranton_Drew_1-18-2023
12,"Morgan,Madelyn",*,26,0-4,0-1,0-2,2-1,3,2,0,1,0,0,0,Drew,Scranton_Drew_1-18-2023
20,"Hezel,Brenna",*,19,0-1,0-0,0-0,2-2,4,0,3,2,0,0,0,Drew,Scranton_Drew_1-18-2023
04,"Wojtowicz,Katrina",,20,2-8,1-5,0-0,0-4,4,0,1,1,1,0,5,Drew,Scranton_Drew_1-18-2023
22,"Hezel,Gracie",,19,2-3,0-0,0-0,0-0,0,4,2,1,0,1,4,Drew,Scranton_Drew_1-18-2023
13,"Mann,Kyra",,5,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Drew,Scranton_Drew_1-18-2023
33,"Beyer,Maddie",,3,0-0,0-0,0-0,0-0,0,0,1,0,0,1,0,Drew,Scranton_Drew_1-18-2023
42,"Pica,Gianna",,2,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0,Drew,Scranton_Drew_1-18-2023
