##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Kranson,Kaci",*,28,6-20,2-6,5-6,4-3,7,3,1,2,0,0,19,Scranton,Scranton_Elizabethtown_1-3-2024
01,"Romanowski,Kaeli",*,35,6-12,1-2,2-2,0-1,1,3,2,3,0,4,15,Scranton,Scranton_Elizabethtown_1-3-2024
21,"Ryan,Maddy",*,27,5-12,0-0,0-0,3-5,8,4,1,3,1,1,10,Scranton,Scranton_Elizabethtown_1-3-2024
13,"Hartnett,Maddie",*,11,1-3,1-1,0-0,0-1,1,1,1,1,0,0,3,Scranton,Scranton_Elizabethtown_1-3-2024
00,"Angelini,Hannah",*,26,0-1,0-1,0-0,0-2,2,2,2,0,1,1,0,Scranton,Scranton_Elizabethtown_1-3-2024
20,"Lamanna,Meghan",,24,2-5,1-1,0-0,0-2,2,1,1,0,0,0,5,Scranton,Scranton_Elizabethtown_1-3-2024
05,"Gorski,Katie",,11,2-4,1-1,0-0,1-1,2,3,0,2,0,1,5,Scranton,Scranton_Elizabethtown_1-3-2024
33,"Quigley,Kyra",,13,2-6,0-0,0-0,2-3,5,4,0,3,0,0,4,Scranton,Scranton_Elizabethtown_1-3-2024
12,"Sloan,Jenna",,8,1-2,0-1,1-1,0-0,0,2,1,1,0,0,3,Scranton,Scranton_Elizabethtown_1-3-2024
10,"Lynch,Allie",,17,0-2,0-2,0-0,0-1,1,1,1,0,1,1,0,Scranton,Scranton_Elizabethtown_1-3-2024
25,"McNulty,Summer",*,37,8-18,2-3,7-8,1-2,3,2,1,3,0,1,25,Elizabethtown,Scranton_Elizabethtown_1-3-2024
04,"Wilson,Cyleigh",*,33,5-13,3-7,2-2,0-1,1,2,1,4,0,0,15,Elizabethtown,Scranton_Elizabethtown_1-3-2024
34,"Renno,DaniRae",*,38,4-8,0-0,2-2,2-11,13,2,1,5,0,0,10,Elizabethtown,Scranton_Elizabethtown_1-3-2024
30,"King,Jessica",*,24,4-6,0-0,1-1,3-5,8,3,0,3,1,0,9,Elizabethtown,Scranton_Elizabethtown_1-3-2024
02,"Mummert,Makenna",*,34,2-7,0-2,1-1,1-6,7,0,4,3,1,1,5,Elizabethtown,Scranton_Elizabethtown_1-3-2024
35,"Peris,Cass",,9,1-1,0-0,0-0,0-1,1,1,0,0,0,0,2,Elizabethtown,Scranton_Elizabethtown_1-3-2024
31,"Kennedy,Allyia",,8,0-1,0-0,1-2,1-1,2,1,1,0,0,0,1,Elizabethtown,Scranton_Elizabethtown_1-3-2024
05,"Gordon,Ella",,10,0-1,0-1,0-0,0-1,1,2,1,1,0,0,0,Elizabethtown,Scranton_Elizabethtown_1-3-2024
03,"Boyd,Lindsay",,6,0-1,0-1,0-0,1-1,2,3,0,2,0,0,0,Elizabethtown,Scranton_Elizabethtown_1-3-2024
24,"Fasick,Ellie",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Scranton_Elizabethtown_1-3-2024
