##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Kranson,Kaci",*,22,10-16,1-3,7-8,4-4,8,2,2,2,1,2,28,Scranton,Scranton_Goucher_12-7-2024
20,"Lamanna,Meghan",*,21,5-9,2-5,0-0,2-2,4,1,2,3,0,1,12,Scranton,Scranton_Goucher_12-7-2024
01,"Romanowski,Kaeli",*,20,3-5,0-2,0-0,2-4,6,1,6,2,0,5,6,Scranton,Scranton_Goucher_12-7-2024
33,"Quigley,Kyra",*,14,3-4,0-0,0-0,4-1,5,0,1,4,0,4,6,Scranton,Scranton_Goucher_12-7-2024
13,"Hartnett,Maddie",*,14,0-2,0-1,0-0,1-4,5,3,1,1,0,0,0,Scranton,Scranton_Goucher_12-7-2024
05,"Gorski,Katie",,18,4-8,2-5,0-0,0-6,6,2,0,1,1,1,10,Scranton,Scranton_Goucher_12-7-2024
10,"Lynch,Allie",,7,4-5,0-1,0-0,1-1,2,0,1,1,0,1,8,Scranton,Scranton_Goucher_12-7-2024
15,"Bennett,Elizabeth",,18,3-8,0-1,1-1,2-2,4,0,3,2,0,0,7,Scranton,Scranton_Goucher_12-7-2024
22,"Halligan,Lizzie",,6,2-5,1-3,0-0,1-1,2,0,1,1,1,1,5,Scranton,Scranton_Goucher_12-7-2024
02,"Bender,Ashlyn",,8,2-5,0-1,0-0,3-3,6,1,2,1,0,1,4,Scranton,Scranton_Goucher_12-7-2024
00,"Cieszko,Selena",,6,2-2,0-0,0-0,2-0,2,0,0,1,0,2,4,Scranton,Scranton_Goucher_12-7-2024
30,"Kraker,Sabrina",,6,1-1,0-0,2-2,0-0,0,0,0,0,0,0,4,Scranton,Scranton_Goucher_12-7-2024
14,"Stoupakis,Natalie",,10,1-5,0-3,0-2,1-2,3,1,2,2,0,1,2,Scranton,Scranton_Goucher_12-7-2024
03,"Brewer,Morgan",,7,1-2,0-0,0-0,1-1,2,1,0,1,0,0,2,Scranton,Scranton_Goucher_12-7-2024
24,"Francione,Marisa",,7,1-3,0-2,0-0,0-0,0,0,0,2,0,0,2,Scranton,Scranton_Goucher_12-7-2024
12,"Sloan,Jenna",,16,0-0,0-0,0-0,1-0,1,0,6,0,0,2,0,Scranton,Scranton_Goucher_12-7-2024
20,"Whitaker,Amira",*,21,3-12,1-4,0-0,4-0,4,1,1,0,0,0,7,Goucher,Scranton_Goucher_12-7-2024
15,"George,Nia",*,18,1-3,0-2,0-2,5-0,5,0,0,1,0,1,2,Goucher,Scranton_Goucher_12-7-2024
03,"Villanueva,Maiya",*,13,1-3,0-1,0-0,0-0,0,1,0,2,0,0,2,Goucher,Scranton_Goucher_12-7-2024
31,"Edens,Nia",*,13,1-7,0-3,0-0,1-1,2,2,0,6,0,4,2,Goucher,Scranton_Goucher_12-7-2024
10,"Townsend,Leila",*,11,0-4,0-0,0-0,0-1,1,1,0,2,0,1,0,Goucher,Scranton_Goucher_12-7-2024
23,"Towns,Lauryn",,11,3-6,0-1,0-2,1-2,3,5,0,4,0,1,6,Goucher,Scranton_Goucher_12-7-2024
21,"Holmes,Savannah",,10,3-4,0-0,0-2,1-1,2,0,0,1,0,3,6,Goucher,Scranton_Goucher_12-7-2024
08,"Washington,Kayley",,7,2-4,2-4,0-0,0-0,0,0,0,1,0,0,6,Goucher,Scranton_Goucher_12-7-2024
12,"Haggins,Briyah",,14,2-6,0-3,0-0,0-1,1,0,0,0,0,0,4,Goucher,Scranton_Goucher_12-7-2024
22,"Turner,Merci",,14,1-4,1-2,0-0,0-2,2,1,1,2,0,0,3,Goucher,Scranton_Goucher_12-7-2024
01,"Pace,Zion",,4,1-3,0-0,0-0,0-0,0,0,0,1,0,0,2,Goucher,Scranton_Goucher_12-7-2024
25,"Knox,Sanai",,15,0-1,0-0,1-2,1-0,1,1,0,0,0,1,1,Goucher,Scranton_Goucher_12-7-2024
06,"Vaselaros,Kiara",,16,0-1,0-1,0-0,1-0,1,1,0,5,0,2,0,Goucher,Scranton_Goucher_12-7-2024
04,"Igwe,Chi",,11,0-4,0-0,0-0,0-1,1,0,1,0,1,1,0,Goucher,Scranton_Goucher_12-7-2024
34,"Sherman,Darby",,9,0-2,0-1,0-0,2-1,3,0,0,2,0,0,0,Goucher,Scranton_Goucher_12-7-2024
05,"Johnson,Brianna",,8,0-2,0-0,0-0,0-0,0,0,0,0,0,0,0,Goucher,Scranton_Goucher_12-7-2024
30,"Cox,Ava",,5,0-2,0-0,0-0,0-1,1,0,0,0,0,0,0,Goucher,Scranton_Goucher_12-7-2024
