##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,Maddy Ryan,*,39,8-16,0-0,4-6,8-6,14,2,1,1,1,1,20,Scranton,Scranton_Gwynedd Mercy_11-12-2022
24,Bridget Monaghan,*,30,7-14,1-4,0-0,2-4,6,2,2,1,0,0,15,Scranton,Scranton_Gwynedd Mercy_11-12-2022
20,Sam Rajza,*,35,4-14,2-8,1-2,3-6,9,0,4,1,1,1,11,Scranton,Scranton_Gwynedd Mercy_11-12-2022
0,Hannah Angelini,*,24,2-6,0-0,0-0,1-2,3,2,3,1,0,2,4,Scranton,Scranton_Gwynedd Mercy_11-12-2022
11,Kaci Kranson,*,10,1-9,0-2,0-0,4-1,5,0,0,0,1,1,2,Scranton,Scranton_Gwynedd Mercy_11-12-2022
13,Maddie Hartnett,,30,3-10,1-4,7-8,1-4,5,2,0,3,1,0,14,Scranton,Scranton_Gwynedd Mercy_11-12-2022
10,Allie Lynch,,19,1-3,0-1,0-0,1-6,7,4,3,3,0,2,2,Scranton,Scranton_Gwynedd Mercy_11-12-2022
32,Sara Walsh,,13,1-2,0-0,0-0,3-1,4,0,1,0,1,0,2,Scranton,Scranton_Gwynedd Mercy_11-12-2022
TM,TMTeam,,0,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Scranton,Scranton_Gwynedd Mercy_11-12-2022
02,Elise Sylvester,*,38,4-11,3-5,11-13,0-1,1,1,5,4,0,1,22,Gwynedd Mercy,Scranton_Gwynedd Mercy_11-12-2022
15,Haley Crossley,*,31,6-16,3-7,2-4,1-7,8,5,2,2,1,1,17,Gwynedd Mercy,Scranton_Gwynedd Mercy_11-12-2022
11,Lynzie Eggers,*,25,3-13,1-6,0-0,2-1,3,5,2,3,0,0,7,Gwynedd Mercy,Scranton_Gwynedd Mercy_11-12-2022
34,Kelly Owens,*,24,1-5,1-2,0-0,2-1,3,2,1,1,0,1,3,Gwynedd Mercy,Scranton_Gwynedd Mercy_11-12-2022
20,Natalie O'Neill,*,29,0-2,0-2,0-0,3-8,11,1,2,0,0,0,0,Gwynedd Mercy,Scranton_Gwynedd Mercy_11-12-2022
23,Ava Casale,,9,1-3,1-2,1-3,0-0,0,2,0,1,0,1,4,Gwynedd Mercy,Scranton_Gwynedd Mercy_11-12-2022
33,Alexis Eagan,,13,1-5,1-2,0-0,0-1,1,0,1,0,0,1,3,Gwynedd Mercy,Scranton_Gwynedd Mercy_11-12-2022
32,Erin Eisenhart,,16,0-2,0-0,0-0,1-3,4,1,0,3,0,0,0,Gwynedd Mercy,Scranton_Gwynedd Mercy_11-12-2022
22,Gabby Marinacci,,7,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Gwynedd Mercy,Scranton_Gwynedd Mercy_11-12-2022
05,Kristen Newsome,,4,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Gwynedd Mercy,Scranton_Gwynedd Mercy_11-12-2022
24,Kayla Kaufman,,4,0-0,0-0,0-0,0-1,1,1,0,1,0,0,0,Gwynedd Mercy,Scranton_Gwynedd Mercy_11-12-2022
TM,TMTeam,,0,0-0,0-0,0-0,4-2,6,0,0,0,0,0,0,Gwynedd Mercy,Scranton_Gwynedd Mercy_11-12-2022
