##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
24,"Monaghan,Bridget",*,37,4-10,1-2,6-7,2-1,3,1,1,3,0,2,15,Scranton,Scranton_Ithaca_11-17-2021
01,"Anderson,Abby",*,20,4-10,2-3,4-8,2-2,4,1,3,1,0,2,14,Scranton,Scranton_Ithaca_11-17-2021
20,"Shurina,Emily",*,29,4-10,0-4,2-2,0-2,2,1,1,3,0,1,10,Scranton,Scranton_Ithaca_11-17-2021
00,"Angelini,Hannah",*,22,0-3,0-0,2-2,0-3,3,1,0,1,0,0,2,Scranton,Scranton_Ithaca_11-17-2021
40,"McCurdy,Danielle",*,19,0-1,0-0,0-0,0-0,0,0,1,1,0,1,0,Scranton,Scranton_Ithaca_11-17-2021
13,"Hartnett,Maddie",,24,0-5,0-1,4-4,0-0,0,4,1,1,0,0,4,Scranton,Scranton_Ithaca_11-17-2021
21,"Ryan,Maddy",,9,1-2,0-0,2-2,0-1,1,2,0,0,0,0,4,Scranton,Scranton_Ithaca_11-17-2021
33,"Quigley,Kyra",,18,1-2,0-1,0-0,1-3,4,3,0,2,1,1,2,Scranton,Scranton_Ithaca_11-17-2021
23,"Larrabee,Jenna",,3,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Scranton,Scranton_Ithaca_11-17-2021
10,"Lynch,Allie",,9,0-2,0-2,0-0,0-1,1,2,0,3,0,0,0,Scranton,Scranton_Ithaca_11-17-2021
32,"Walsh,Sara",,8,0-0,0-0,0-0,0-0,0,0,1,1,1,0,0,Scranton,Scranton_Ithaca_11-17-2021
11,"Farney,Kayla",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Scranton_Ithaca_11-17-2021
22,"Nolan,Leah",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Scranton_Ithaca_11-17-2021
04,"Cannon,Grace",*,28,8-12,0-0,0-2,2-4,6,4,4,6,0,2,16,Ithaca,Scranton_Ithaca_11-17-2021
22,"Coffey,Camryn",*,33,4-7,3-4,3-4,0-3,3,2,1,2,1,1,14,Ithaca,Scranton_Ithaca_11-17-2021
24,"Albertelli,Lindsey",*,28,5-8,0-0,0-0,3-6,9,4,0,1,1,1,10,Ithaca,Scranton_Ithaca_11-17-2021
33,"Volpe,Cara",*,28,4-7,0-1,2-4,0-2,2,3,1,5,0,1,10,Ithaca,Scranton_Ithaca_11-17-2021
32,"Yawman,Megan",*,28,2-4,1-2,0-0,0-1,1,4,2,1,0,1,5,Ithaca,Scranton_Ithaca_11-17-2021
10,"Smith,Natalie",,19,3-7,2-3,0-2,0-2,2,4,1,2,1,0,8,Ithaca,Scranton_Ithaca_11-17-2021
15,"Buxton,Melissa",,9,2-3,1-2,2-2,2-0,2,2,0,0,0,0,7,Ithaca,Scranton_Ithaca_11-17-2021
12,"Heuwetter,Alex",,8,1-3,1-3,0-0,1-0,1,0,0,0,0,0,3,Ithaca,Scranton_Ithaca_11-17-2021
20,"Polce,Hannah",,7,1-2,0-0,0-0,0-0,0,1,0,0,0,0,2,Ithaca,Scranton_Ithaca_11-17-2021
30,"Watkins,Anya",,9,0-0,0-0,0-0,1-1,2,1,1,1,0,0,0,Ithaca,Scranton_Ithaca_11-17-2021
31,"Spady,Alyssa",,3,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Ithaca,Scranton_Ithaca_11-17-2021
13,"Sabino,Shaelyn",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Ithaca,Scranton_Ithaca_11-17-2021
