##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,Kaci Kranson,*,27,10-21,3-6,3-4,3-3,6,1,1,1,0,5,26,Scranton,Scranton_Juniata_1-25-2025
20,Meghan Lamanna,*,31,9-15,6-12,0-0,2-4,6,2,4,1,0,0,24,Scranton,Scranton_Juniata_1-25-2025
33,Kyra Quigley,*,21,2-3,0-0,0-0,3-1,4,3,2,4,2,2,4,Scranton,Scranton_Juniata_1-25-2025
13,Maddie Hartnett,*,19,1-3,0-1,0-0,1-4,5,4,0,1,1,1,2,Scranton,Scranton_Juniata_1-25-2025
1,Kaeli Romanowski,*,23,0-4,0-2,0-0,1-0,1,3,4,0,0,2,0,Scranton,Scranton_Juniata_1-25-2025
15,Elizabeth Bennett,,17,5-15,2-5,0-0,5-2,7,2,1,3,1,3,12,Scranton,Scranton_Juniata_1-25-2025
14,Natalie Stoupakis,,11,3-6,2-5,0-0,1-1,2,0,0,0,0,0,8,Scranton,Scranton_Juniata_1-25-2025
5,Katie Gorski,,17,1-5,0-1,3-4,3-3,6,2,2,1,1,4,5,Scranton,Scranton_Juniata_1-25-2025
12,Jenna Sloan,,17,1-2,0-1,0-0,0-4,4,1,7,0,0,2,2,Scranton,Scranton_Juniata_1-25-2025
24,Marisa Francione,,6,0-1,0-1,2-2,1-1,2,1,0,1,0,0,2,Scranton,Scranton_Juniata_1-25-2025
2,Ashlyn Bender,,4,0-0,0-0,0-0,0-0,0,0,0,0,0,1,0,Scranton,Scranton_Juniata_1-25-2025
3,Morgan Brewer,,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Scranton_Juniata_1-25-2025
10,Allie Lynch,,3,0-0,0-0,0-0,0-0,0,1,1,1,0,1,0,Scranton,Scranton_Juniata_1-25-2025
0,Selena Cieszko,,1,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Scranton,Scranton_Juniata_1-25-2025
TM,TMTeam,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Scranton_Juniata_1-25-2025
4,Steph Emert,*,27,4-13,1-6,2-2,1-3,4,3,2,7,0,3,11,Juniata,Scranton_Juniata_1-25-2025
31,Laney Gerdich,*,24,3-4,0-0,2-2,2-4,6,0,1,0,0,0,8,Juniata,Scranton_Juniata_1-25-2025
11,Olivia Berg,*,22,2-7,2-3,0-0,0-1,1,1,1,3,0,0,6,Juniata,Scranton_Juniata_1-25-2025
13,Haily Sherman,*,22,2-7,0-1,2-2,1-3,4,1,0,2,1,0,6,Juniata,Scranton_Juniata_1-25-2025
21,Bri Bodtorf,*,22,2-4,1-2,1-2,1-2,3,2,5,6,1,4,6,Juniata,Scranton_Juniata_1-25-2025
24,Emma Coolidge,,15,2-6,0-0,1-2,0-3,3,0,0,0,0,0,5,Juniata,Scranton_Juniata_1-25-2025
23,Deja Gillo,,16,1-1,0-0,2-2,0-5,5,0,0,4,0,0,4,Juniata,Scranton_Juniata_1-25-2025
35,Sarah Betts,,11,1-1,0-0,2-2,0-1,1,1,0,0,0,0,4,Juniata,Scranton_Juniata_1-25-2025
43,Emily McCann,,15,0-4,0-4,3-4,1-1,2,0,0,1,0,0,3,Juniata,Scranton_Juniata_1-25-2025
40,Emelie Nonemaker,,6,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Juniata,Scranton_Juniata_1-25-2025
12,Gemma Navickas,,3,1-2,0-0,0-0,1-0,1,1,0,0,0,0,2,Juniata,Scranton_Juniata_1-25-2025
33,Cate Clarke,,3,0-0,0-0,1-2,0-1,1,0,1,1,0,0,1,Juniata,Scranton_Juniata_1-25-2025
3,Michaela Owens,,8,0-0,0-0,0-0,0-0,0,0,0,0,0,1,0,Juniata,Scranton_Juniata_1-25-2025
2,McKenna Kelley,,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,Scranton_Juniata_1-25-2025
34,Dani Scipioni,,3,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Juniata,Scranton_Juniata_1-25-2025
TM,TMTeam,,0,0-0,0-0,0-0,3-1,4,0,0,0,0,0,0,Juniata,Scranton_Juniata_1-25-2025
