##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Kranson,Kaci",*,21,5-9,0-0,9-9,2-1,3,1,0,3,0,4,19,Scranton,Scranton_King's (PA)_11-19-2022
24,"Monaghan,Bridget",*,28,2-11,0-3,6-6,1-2,3,1,1,2,0,4,10,Scranton,Scranton_King's (PA)_11-19-2022
00,"Angelini,Hannah",*,23,4-5,0-0,2-2,2-5,7,1,2,0,1,2,10,Scranton,Scranton_King's (PA)_11-19-2022
20,"Rajza,Samantha",*,30,3-9,2-6,0-0,0-5,5,2,6,1,0,5,8,Scranton,Scranton_King's (PA)_11-19-2022
21,"Ryan,Maddy",*,23,3-11,0-0,0-0,3-2,5,2,0,0,1,2,6,Scranton,Scranton_King's (PA)_11-19-2022
10,"Lynch,Allie",,15,6-8,0-1,0-0,1-1,2,1,0,0,0,1,12,Scranton,Scranton_King's (PA)_11-19-2022
13,"Hartnett,Maddie",,15,3-8,0-1,0-0,1-2,3,1,2,2,0,2,6,Scranton,Scranton_King's (PA)_11-19-2022
02,"Bender,Ashlyn",,10,1-3,1-3,0-0,0-2,2,0,2,0,1,0,3,Scranton,Scranton_King's (PA)_11-19-2022
03,"Brewer,Morgan",,6,1-2,1-1,0-0,0-1,1,0,0,0,0,1,3,Scranton,Scranton_King's (PA)_11-19-2022
22,"Nolan,Leah",,6,1-2,1-2,0-0,0-0,0,0,0,1,0,0,3,Scranton,Scranton_King's (PA)_11-19-2022
30,"Steele,Mackenzie",,17,0-0,0-0,0-0,0-1,1,0,0,0,2,0,0,Scranton,Scranton_King's (PA)_11-19-2022
25,"Duerr,Emma",,6,0-0,0-0,0-0,1-1,2,1,0,1,0,0,0,Scranton,Scranton_King's (PA)_11-19-2022
04,"Shepherd,Kathy",*,27,2-5,2-5,2-2,1-4,5,1,0,3,0,0,8,King's (PA),Scranton_King's (PA)_11-19-2022
05,"Krouse,Kiersten",*,14,2-6,1-3,1-2,1-1,2,0,0,3,0,0,6,King's (PA),Scranton_King's (PA)_11-19-2022
42,"Casey,Lauren",*,13,3-4,0-0,0-0,0-3,3,5,0,4,0,0,6,King's (PA),Scranton_King's (PA)_11-19-2022
11,"Costello,Brenna",*,19,1-3,0-0,0-0,1-4,5,3,1,3,0,1,2,King's (PA),Scranton_King's (PA)_11-19-2022
24,"Costello,Caileigh",*,22,0-4,0-1,1-2,0-5,5,0,0,2,0,0,1,King's (PA),Scranton_King's (PA)_11-19-2022
22,"Dickson,Gianna",,22,5-11,1-1,0-0,0-2,2,1,1,0,0,2,11,King's (PA),Scranton_King's (PA)_11-19-2022
03,"Hines,Juleesah",,21,2-4,0-0,0-0,0-2,2,1,1,2,0,0,4,King's (PA),Scranton_King's (PA)_11-19-2022
00,"Wallace,Deanna",,7,2-2,0-0,0-0,0-1,1,0,0,1,0,1,4,King's (PA),Scranton_King's (PA)_11-19-2022
10,"Bennett,Mackenzie",,23,0-5,0-1,0-0,0-1,1,0,2,5,0,0,0,King's (PA),Scranton_King's (PA)_11-19-2022
21,"Heiskell-Mann,Sarah",,13,0-3,0-0,0-0,2-2,4,0,2,1,0,0,0,King's (PA),Scranton_King's (PA)_11-19-2022
01,"White,Maddy",,10,0-1,0-1,0-0,0-1,1,1,1,2,0,0,0,King's (PA),Scranton_King's (PA)_11-19-2022
02,"Olmstead,Megan",,5,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,King's (PA),Scranton_King's (PA)_11-19-2022
33,"Selner,Melanie",,4,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,King's (PA),Scranton_King's (PA)_11-19-2022
