##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
01,"Romanowski,Kaeli",*,25,4-10,0-2,0-0,2-3,5,2,4,1,0,2,8,Scranton,Scranton_Lycoming_2-14-2024
11,"Kranson,Kaci",*,21,1-5,0-1,4-4,5-3,8,1,0,1,0,2,6,Scranton,Scranton_Lycoming_2-14-2024
21,"Ryan,Maddy",*,20,3-10,0-0,0-0,5-3,8,1,1,1,0,2,6,Scranton,Scranton_Lycoming_2-14-2024
13,"Hartnett,Maddie",*,20,2-13,0-7,0-0,2-2,4,2,2,0,0,1,4,Scranton,Scranton_Lycoming_2-14-2024
00,"Angelini,Hannah",*,19,1-4,1-3,0-0,1-2,3,1,1,3,0,0,3,Scranton,Scranton_Lycoming_2-14-2024
20,"Lamanna,Meghan",,13,5-8,2-5,0-0,0-1,1,0,0,0,0,0,12,Scranton,Scranton_Lycoming_2-14-2024
10,"Lynch,Allie",,14,4-5,3-3,0-0,0-0,0,2,0,0,0,1,11,Scranton,Scranton_Lycoming_2-14-2024
05,"Gorski,Katie",,17,2-5,2-2,2-2,2-4,6,0,0,1,0,1,8,Scranton,Scranton_Lycoming_2-14-2024
12,"Sloan,Jenna",,16,1-1,0-0,0-0,0-1,1,0,3,1,0,5,2,Scranton,Scranton_Lycoming_2-14-2024
33,"Quigley,Kyra",,14,1-3,0-0,0-0,1-3,4,1,4,0,1,0,2,Scranton,Scranton_Lycoming_2-14-2024
02,"Bender,Ashlyn",,4,0-0,0-0,0-0,1-0,1,1,0,1,0,0,0,Scranton,Scranton_Lycoming_2-14-2024
22,"Nolan,Leah",,4,0-2,0-1,0-0,1-0,1,0,0,0,0,2,0,Scranton,Scranton_Lycoming_2-14-2024
23,"Larrabee,Jenna",,4,0-0,0-0,0-0,1-0,1,0,0,0,0,1,0,Scranton,Scranton_Lycoming_2-14-2024
14,"Stoupakis,Natalie",,3,0-3,0-2,0-0,0-0,0,0,0,0,0,0,0,Scranton,Scranton_Lycoming_2-14-2024
15,"Bennett,Elizabeth",,3,0-1,0-0,0-0,1-0,1,0,0,0,0,1,0,Scranton,Scranton_Lycoming_2-14-2024
03,"Brewer,Morgan",,2,0-1,0-1,0-0,0-1,1,0,0,0,0,0,0,Scranton,Scranton_Lycoming_2-14-2024
30,"Steele,Mackenzie",,1,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Scranton_Lycoming_2-14-2024
22,"Lockard,Emily",*,32,4-9,0-2,1-1,1-3,4,0,1,0,0,1,9,Lycoming,Scranton_Lycoming_2-14-2024
10,"Wetzel,Mya",*,26,2-7,2-7,0-0,0-3,3,1,2,4,0,2,6,Lycoming,Scranton_Lycoming_2-14-2024
25,"Goldenziel,Alicia",*,25,3-6,0-0,0-0,1-4,5,0,0,3,3,0,6,Lycoming,Scranton_Lycoming_2-14-2024
12,"Dufner,Meghan",*,31,1-6,0-1,0-0,1-2,3,1,2,3,0,2,2,Lycoming,Scranton_Lycoming_2-14-2024
21,"Yoh,Ashley",*,20,0-3,0-1,0-0,1-2,3,2,0,0,1,0,0,Lycoming,Scranton_Lycoming_2-14-2024
02,"Abdo,Kami",,25,0-6,0-4,3-4,0-3,3,0,1,4,0,0,3,Lycoming,Scranton_Lycoming_2-14-2024
20,"Pumputis,Jillian",,12,0-2,0-1,0-0,1-0,1,0,0,1,0,0,0,Lycoming,Scranton_Lycoming_2-14-2024
11,"Bena,Katie",,6,0-1,0-1,0-0,0-1,1,0,0,1,0,0,0,Lycoming,Scranton_Lycoming_2-14-2024
04,"Orich,Maddie",,5,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Lycoming,Scranton_Lycoming_2-14-2024
13,"Rudalavage,Mia",,5,0-1,0-0,0-0,0-0,0,1,0,1,0,0,0,Lycoming,Scranton_Lycoming_2-14-2024
15,"Hartman,Makenna",,5,0-0,0-0,0-0,0-0,0,0,0,2,0,0,0,Lycoming,Scranton_Lycoming_2-14-2024
03,"Lanphear,Sarah",,2,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Scranton_Lycoming_2-14-2024
14,"McMurtrie,Ann-Marie",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,1,0,Lycoming,Scranton_Lycoming_2-14-2024
24,"Fave,Isabella",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Lycoming,Scranton_Lycoming_2-14-2024
32,"Stone,Sydnie",,2,0-0,0-0,0-0,1-1,2,0,0,1,0,0,0,Lycoming,Scranton_Lycoming_2-14-2024
