##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Kranson,Kaci",*,18,5-10,0-2,3-3,4-4,8,1,0,1,0,3,13,Scranton,Scranton_Marywood_11-13-2023
00,"Angelini,Hannah",*,22,4-8,1-2,0-0,2-1,3,1,2,1,0,1,9,Scranton,Scranton_Marywood_11-13-2023
20,"Lamanna,Meghan",*,18,3-7,1-4,0-0,1-1,2,2,1,0,0,0,7,Scranton,Scranton_Marywood_11-13-2023
44,"Toomey,Victoria",*,14,2-4,0-0,0-0,1-3,4,3,2,0,1,0,4,Scranton,Scranton_Marywood_11-13-2023
01,"Romanowski,Kaeli",*,18,0-2,0-2,2-2,1-5,6,1,6,0,0,2,2,Scranton,Scranton_Marywood_11-13-2023
13,"Hartnett,Maddie",,16,4-7,3-5,0-0,1-2,3,2,0,1,0,1,11,Scranton,Scranton_Marywood_11-13-2023
05,"Gorski,Katie",,7,3-6,1-2,0-0,2-1,3,1,1,1,0,0,7,Scranton,Scranton_Marywood_11-13-2023
21,"Ryan,Maddy",,16,3-10,0-0,0-2,5-1,6,1,2,3,1,1,6,Scranton,Scranton_Marywood_11-13-2023
15,"Bennett,Elizabeth",,7,3-4,0-1,0-1,1-0,1,0,1,0,0,0,6,Scranton,Scranton_Marywood_11-13-2023
10,"Lynch,Allie",,17,2-6,1-4,0-0,1-2,3,1,1,0,0,1,5,Scranton,Scranton_Marywood_11-13-2023
33,"Quigley,Kyra",,10,2-5,0-0,0-0,3-0,3,0,1,0,0,0,4,Scranton,Scranton_Marywood_11-13-2023
22,"Nolan,Leah",,5,1-3,0-1,0-0,0-0,0,0,1,0,0,0,2,Scranton,Scranton_Marywood_11-13-2023
12,"Sloan,Jenna",,12,0-3,0-2,0-0,0-1,1,1,2,0,0,2,0,Scranton,Scranton_Marywood_11-13-2023
02,"Bender,Ashlyn",,5,0-2,0-1,0-0,0-2,2,0,0,0,0,0,0,Scranton,Scranton_Marywood_11-13-2023
03,"Brewer,Morgan",,5,0-1,0-1,0-0,0-1,1,1,0,0,0,1,0,Scranton,Scranton_Marywood_11-13-2023
14,"Stoupakis,Natalie",,5,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Scranton,Scranton_Marywood_11-13-2023
30,"Steele,Mackenzie",,5,0-0,0-0,0-0,0-1,1,1,0,0,0,0,0,Scranton,Scranton_Marywood_11-13-2023
14,"McDonald,Rachel",*,35,5-12,2-5,0-0,0-5,5,0,2,5,0,1,12,Marywood,Scranton_Marywood_11-13-2023
21,"Griscavage,Alli",*,16,1-4,0-0,3-6,1-5,6,3,0,2,0,0,5,Marywood,Scranton_Marywood_11-13-2023
23,"White,Colby",*,18,0-3,0-2,1-2,0-0,0,1,0,2,0,0,1,Marywood,Scranton_Marywood_11-13-2023
25,"Klemick,Stephanie",*,21,0-3,0-1,0-0,2-1,3,1,0,4,0,1,0,Marywood,Scranton_Marywood_11-13-2023
24,"Kendricks,Faith",*,16,0-1,0-0,0-0,0-1,1,0,1,2,0,0,0,Marywood,Scranton_Marywood_11-13-2023
15,"Blume,Mia",,26,2-5,1-3,0-0,0-3,3,1,1,4,0,0,5,Marywood,Scranton_Marywood_11-13-2023
35,"Sherman,Lily",,9,1-3,1-2,2-2,0-1,1,1,1,0,1,0,5,Marywood,Scranton_Marywood_11-13-2023
20,"Ardo-Boyko,Shelby",,10,1-1,0-0,1-2,0-1,1,1,0,1,0,0,3,Marywood,Scranton_Marywood_11-13-2023
11,"Card,Kendel",,22,1-5,0-0,0-0,0-2,2,0,0,0,0,0,2,Marywood,Scranton_Marywood_11-13-2023
30,"Neiderer,Maddie",,19,1-2,0-0,0-0,0-2,2,1,1,1,0,0,2,Marywood,Scranton_Marywood_11-13-2023
43,"Carter,Gabby",,8,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0,Marywood,Scranton_Marywood_11-13-2023
