##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
24,"Monaghan,Bridget",*,36,8-15,6-11,3-4,1-2,3,1,2,3,1,5,25,Scranton,Scranton_Misericordia_11-29-2021
20,"Shurina,Emily",*,33,6-14,4-8,0-0,2-6,8,1,1,4,1,1,16,Scranton,Scranton_Misericordia_11-29-2021
01,"Anderson,Abby",*,31,3-9,2-6,0-0,1-6,7,2,2,1,1,0,8,Scranton,Scranton_Misericordia_11-29-2021
33,"Quigley,Kyra",*,29,4-7,0-0,0-0,2-4,6,5,2,3,4,2,8,Scranton,Scranton_Misericordia_11-29-2021
13,"Hartnett,Maddie",*,22,0-4,0-2,2-2,3-2,5,3,5,5,1,0,2,Scranton,Scranton_Misericordia_11-29-2021
21,"Ryan,Maddy",,14,2-2,0-0,1-2,2-0,2,2,3,0,0,0,5,Scranton,Scranton_Misericordia_11-29-2021
00,"Angelini,Hannah",,22,1-4,1-2,1-2,0-2,2,0,3,1,0,1,4,Scranton,Scranton_Misericordia_11-29-2021
32,"Walsh,Sara",,10,1-3,0-0,0-0,0-2,2,1,0,0,1,0,2,Scranton,Scranton_Misericordia_11-29-2021
10,"Lynch,Allie",,2,0-0,0-0,0-0,0-0,0,2,0,1,0,0,0,Scranton,Scranton_Misericordia_11-29-2021
05,"Heineman,Carly",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Scranton_Misericordia_11-29-2021
45,"Bondi,Alyssa",*,26,4-12,4-7,2-4,1-2,3,0,1,2,0,1,14,Misericordia,Scranton_Misericordia_11-29-2021
33,"McCaffrey,Meaghan",*,21,2-10,0-0,2-4,3-3,6,1,1,2,0,1,6,Misericordia,Scranton_Misericordia_11-29-2021
10,"Haefele,Morgan",*,23,1-5,0-2,2-2,0-2,2,1,3,3,0,1,4,Misericordia,Scranton_Misericordia_11-29-2021
22,"Delfino,Gianna",*,22,1-7,1-4,1-2,2-2,4,3,2,1,1,3,4,Misericordia,Scranton_Misericordia_11-29-2021
25,"Bianchi,Skylar",*,18,2-4,0-0,0-0,5-1,6,2,0,1,0,1,4,Misericordia,Scranton_Misericordia_11-29-2021
12,"Santacroce,Melina",,20,2-4,0-1,1-4,3-3,6,3,0,1,0,1,5,Misericordia,Scranton_Misericordia_11-29-2021
15,"Postiglione,Jordan",,16,2-5,0-0,0-0,1-0,1,1,0,3,0,1,4,Misericordia,Scranton_Misericordia_11-29-2021
13,"Hardy,Samantha",,6,1-2,0-0,1-3,0-0,0,1,0,0,0,0,3,Misericordia,Scranton_Misericordia_11-29-2021
02,"Fasti,Elizabeth",,16,1-6,0-2,0-0,0-1,1,1,1,2,0,0,2,Misericordia,Scranton_Misericordia_11-29-2021
03,"Dowling,Skylar",,9,1-2,0-1,0-2,0-1,1,1,0,0,0,0,2,Misericordia,Scranton_Misericordia_11-29-2021
32,"Tracey,Nora",,10,0-4,0-1,0-0,0-3,3,0,1,1,0,0,0,Misericordia,Scranton_Misericordia_11-29-2021
14,"McDonald,Rachel",,9,0-0,0-0,0-0,0-1,1,1,0,0,0,1,0,Misericordia,Scranton_Misericordia_11-29-2021
23,"Grosch,Jocelyn",,3,0-1,0-0,0-0,1-0,1,1,0,0,0,0,0,Misericordia,Scranton_Misericordia_11-29-2021
43,"Captoni,Chloe",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Misericordia,Scranton_Misericordia_11-29-2021
