##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
01,"Romanowski,Kaeli",*,28,6-10,1-2,3-3,0-3,3,2,4,2,0,3,16,Scranton,Scranton_Moravian_1-10-2024
13,"Hartnett,Maddie",*,20,4-7,1-4,0-0,2-4,6,2,0,2,1,1,9,Scranton,Scranton_Moravian_1-10-2024
11,"Kranson,Kaci",*,24,3-14,0-3,1-2,3-4,7,0,2,3,0,0,7,Scranton,Scranton_Moravian_1-10-2024
21,"Ryan,Maddy",*,21,2-3,0-0,0-0,1-3,4,1,2,3,1,1,4,Scranton,Scranton_Moravian_1-10-2024
10,"Lynch,Allie",*,14,2-6,0-2,0-0,1-2,3,1,1,0,0,1,4,Scranton,Scranton_Moravian_1-10-2024
20,"Lamanna,Meghan",,20,3-5,3-4,0-0,1-0,1,0,0,1,0,4,9,Scranton,Scranton_Moravian_1-10-2024
33,"Quigley,Kyra",,12,4-7,0-0,0-0,2-1,3,3,0,0,1,1,8,Scranton,Scranton_Moravian_1-10-2024
12,"Sloan,Jenna",,20,2-7,0-3,1-2,0-3,3,0,1,1,0,4,5,Scranton,Scranton_Moravian_1-10-2024
05,"Gorski,Katie",,11,1-1,0-0,0-0,0-1,1,1,0,2,0,0,2,Scranton,Scranton_Moravian_1-10-2024
03,"Brewer,Morgan",,7,0-2,0-1,0-0,0-2,2,1,0,2,1,0,0,Scranton,Scranton_Moravian_1-10-2024
14,"Stoupakis,Natalie",,5,0-0,0-0,0-0,0-1,1,1,0,0,0,0,0,Scranton,Scranton_Moravian_1-10-2024
02,"Bender,Ashlyn",,4,0-0,0-0,0-0,1-1,2,1,0,0,0,0,0,Scranton,Scranton_Moravian_1-10-2024
15,"Bennett,Elizabeth",,4,0-2,0-1,0-0,0-2,2,0,0,1,1,0,0,Scranton,Scranton_Moravian_1-10-2024
23,"Larrabee,Jenna",,4,0-0,0-0,0-0,1-0,1,0,0,0,0,0,0,Scranton,Scranton_Moravian_1-10-2024
22,"Nolan,Leah",,3,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0,Scranton,Scranton_Moravian_1-10-2024
30,"Steele,Mackenzie",,3,0-1,0-0,0-0,0-1,1,0,0,0,0,0,0,Scranton,Scranton_Moravian_1-10-2024
24,"Lustig,Lizzie",*,31,3-6,2-3,2-2,1-1,2,1,1,2,1,1,10,Moravian,Scranton_Moravian_1-10-2024
10,"Guarente,Brielle",*,26,4-9,0-0,0-0,0-0,0,0,0,5,2,1,8,Moravian,Scranton_Moravian_1-10-2024
21,"Steffen,Grace",*,20,1-5,1-1,4-6,4-3,7,1,0,4,0,1,7,Moravian,Scranton_Moravian_1-10-2024
01,"Osorio,Sam",*,27,1-5,0-0,0-0,1-5,6,1,1,3,2,1,2,Moravian,Scranton_Moravian_1-10-2024
14,"Flannery,Reganne",*,16,0-3,0-2,0-0,1-1,2,1,1,0,0,0,0,Moravian,Scranton_Moravian_1-10-2024
22,"Vassallo,Juliana",,22,2-7,2-5,1-2,0-2,2,0,2,3,0,1,7,Moravian,Scranton_Moravian_1-10-2024
04,"Cartagena,Jayda",,16,1-10,0-3,2-2,1-0,1,1,0,2,0,1,4,Moravian,Scranton_Moravian_1-10-2024
00,"Altmire,Emma",,6,1-2,1-1,0-0,0-0,0,2,0,1,0,0,3,Moravian,Scranton_Moravian_1-10-2024
11,"Fernandez,Yarian",,8,0-2,0-0,1-2,1-0,1,0,1,1,0,0,1,Moravian,Scranton_Moravian_1-10-2024
12,"Anderson,Mikayla",,21,0-1,0-1,0-0,1-3,4,1,1,1,2,3,0,Moravian,Scranton_Moravian_1-10-2024
15,"Francis,N'Dera",,4,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian,Scranton_Moravian_1-10-2024
25,"Lew,Bellisima",,3,0-0,0-0,0-0,0-2,2,0,0,0,0,1,0,Moravian,Scranton_Moravian_1-10-2024
