##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,"Ryan,Maddy",*,19,9-17,0-0,1-2,2-2,4,2,0,0,0,2,19,Scranton,Scranton_Mt. St. Mary (NY)_12-22-2023
11,"Kranson,Kaci",*,16,3-11,0-2,2-2,0-5,5,0,0,0,1,2,8,Scranton,Scranton_Mt. St. Mary (NY)_12-22-2023
01,"Romanowski,Kaeli",*,16,1-2,0-0,0-0,1-4,5,2,5,0,1,3,2,Scranton,Scranton_Mt. St. Mary (NY)_12-22-2023
00,"Angelini,Hannah",*,14,1-1,0-0,0-0,0-3,3,1,4,2,0,0,2,Scranton,Scranton_Mt. St. Mary (NY)_12-22-2023
13,"Hartnett,Maddie",*,14,1-3,0-2,0-0,0-0,0,3,0,1,0,0,2,Scranton,Scranton_Mt. St. Mary (NY)_12-22-2023
15,"Bennett,Elizabeth",,16,4-5,3-3,0-0,1-2,3,0,1,0,1,1,11,Scranton,Scranton_Mt. St. Mary (NY)_12-22-2023
20,"Lamanna,Meghan",,14,3-5,3-4,0-0,1-0,1,0,1,0,0,0,9,Scranton,Scranton_Mt. St. Mary (NY)_12-22-2023
03,"Brewer,Morgan",,8,3-5,3-5,0-0,1-1,2,0,0,0,0,0,9,Scranton,Scranton_Mt. St. Mary (NY)_12-22-2023
02,"Bender,Ashlyn",,8,2-2,1-1,0-0,0-3,3,0,0,2,1,0,5,Scranton,Scranton_Mt. St. Mary (NY)_12-22-2023
14,"Stoupakis,Natalie",,8,2-4,0-2,0-0,0-1,1,0,1,1,0,0,4,Scranton,Scranton_Mt. St. Mary (NY)_12-22-2023
05,"Gorski,Katie",,10,1-2,0-0,1-2,0-3,3,2,0,0,0,2,3,Scranton,Scranton_Mt. St. Mary (NY)_12-22-2023
12,"Sloan,Jenna",,12,1-2,0-0,0-0,0-1,1,0,1,0,0,1,2,Scranton,Scranton_Mt. St. Mary (NY)_12-22-2023
23,"Larrabee,Jenna",,7,1-1,0-0,0-0,1-0,1,0,1,0,1,0,2,Scranton,Scranton_Mt. St. Mary (NY)_12-22-2023
10,"Lynch,Allie",,12,0-1,0-1,0-0,0-3,3,0,0,0,0,0,0,Scranton,Scranton_Mt. St. Mary (NY)_12-22-2023
33,"Quigley,Kyra",,12,0-0,0-0,0-0,1-3,4,3,2,0,0,0,0,Scranton,Scranton_Mt. St. Mary (NY)_12-22-2023
22,"Nolan,Leah",,9,0-1,0-0,0-0,0-2,2,2,1,0,1,1,0,Scranton,Scranton_Mt. St. Mary (NY)_12-22-2023
30,"Steele,Mackenzie",,5,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Scranton_Mt. St. Mary (NY)_12-22-2023
23,"Guglielmo,Brianna",*,32,3-13,0-2,6-7,3-4,7,0,0,5,0,0,12,Mt. St. Mary (NY),Scranton_Mt. St. Mary (NY)_12-22-2023
33,"Quinn ,Ciarra",*,26,3-8,3-7,0-0,0-4,4,0,0,3,0,1,9,Mt. St. Mary (NY),Scranton_Mt. St. Mary (NY)_12-22-2023
13,"Twohig ,Charlotte",*,29,2-9,0-3,0-0,2-2,4,0,0,1,0,2,4,Mt. St. Mary (NY),Scranton_Mt. St. Mary (NY)_12-22-2023
10,"Petrie,Lauren",*,25,1-5,1-3,0-0,0-3,3,2,0,2,0,0,3,Mt. St. Mary (NY),Scranton_Mt. St. Mary (NY)_12-22-2023
05,"Love ,Casey",*,22,0-5,0-3,0-0,3-3,6,0,1,2,0,0,0,Mt. St. Mary (NY),Scranton_Mt. St. Mary (NY)_12-22-2023
12,"Cashin,Sara",,24,1-9,0-3,3-4,0-1,1,2,0,2,0,0,5,Mt. St. Mary (NY),Scranton_Mt. St. Mary (NY)_12-22-2023
02,"Sadowski,Ashley",,9,1-2,0-1,0-0,0-0,0,0,0,0,0,0,2,Mt. St. Mary (NY),Scranton_Mt. St. Mary (NY)_12-22-2023
30,"Donato,Angelina",,21,0-5,0-0,0-4,1-1,2,1,3,2,0,0,0,Mt. St. Mary (NY),Scranton_Mt. St. Mary (NY)_12-22-2023
11,"Ndoci,Ana",,7,0-0,0-0,0-0,0-0,0,1,1,0,0,0,0,Mt. St. Mary (NY),Scranton_Mt. St. Mary (NY)_12-22-2023
15,"DiScala ,Ava",,5,0-0,0-0,0-0,0-3,3,0,0,0,0,0,0,Mt. St. Mary (NY),Scranton_Mt. St. Mary (NY)_12-22-2023
