##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
00,"Angelini,Hannah",*,35,6-8,2-2,2-2,0-1,1,2,0,5,1,1,16,Scranton,Scranton_NYU_3-11-2022
24,"Monaghan,Bridget",*,36,7-18,0-3,0-0,0-4,4,0,3,7,0,1,14,Scranton,Scranton_NYU_3-11-2022
01,"Anderson,Abby",*,38,3-10,2-5,2-2,0-6,6,1,2,2,0,1,10,Scranton,Scranton_NYU_3-11-2022
33,"Quigley,Kyra",*,21,2-4,0-0,1-2,3-1,4,5,1,3,3,2,5,Scranton,Scranton_NYU_3-11-2022
20,"Shurina,Emily",*,29,0-5,0-4,1-2,0-4,4,2,0,2,0,1,1,Scranton,Scranton_NYU_3-11-2022
13,"Hartnett,Maddie",,17,2-5,2-3,0-0,0-1,1,3,0,0,0,1,6,Scranton,Scranton_NYU_3-11-2022
25,"Duerr,Emma",,10,0-1,0-0,2-4,1-2,3,2,0,1,0,1,2,Scranton,Scranton_NYU_3-11-2022
40,"McCurdy,Danielle",,10,0-0,0-0,0-0,0-2,2,0,0,1,0,1,0,Scranton,Scranton_NYU_3-11-2022
05,"Heineman,Carly",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Scranton_NYU_3-11-2022
10,"Lynch,Allie",,2,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Scranton,Scranton_NYU_3-11-2022
20,"Miller,Erica",*,31,7-17,6-16,0-0,0-1,1,0,2,2,0,1,20,NYU,Scranton_NYU_3-11-2022
35,"Bruns,Natalie",*,33,4-8,1-2,5-6,1-6,7,2,1,3,2,3,14,NYU,Scranton_NYU_3-11-2022
23,"Walker,Jenny",*,28,5-10,0-0,2-2,1-8,9,3,1,2,2,0,12,NYU,Scranton_NYU_3-11-2022
10,"Janowski,Jordan",*,38,2-6,2-3,2-2,0-3,3,1,6,2,0,1,8,NYU,Scranton_NYU_3-11-2022
04,"Pellecchia,Belle",*,32,0-1,0-0,2-2,0-5,5,1,3,5,0,3,2,NYU,Scranton_NYU_3-11-2022
03,"Shelton,Brooklyn",,25,7-11,2-3,1-1,0-0,0,2,2,3,0,3,17,NYU,Scranton_NYU_3-11-2022
33,"Fahey,Mary Kate",,5,0-2,0-2,0-0,0-1,1,0,1,0,0,0,0,NYU,Scranton_NYU_3-11-2022
02,"Culpepper,Honor",,2,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,NYU,Scranton_NYU_3-11-2022
05,"Notarainni,Bianca",,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,NYU,Scranton_NYU_3-11-2022
21,"McLaughlin,Meghan",,2,0-1,0-0,0-0,0-1,1,0,0,0,0,0,0,NYU,Scranton_NYU_3-11-2022
22,"Carlile,Annie",,2,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,NYU,Scranton_NYU_3-11-2022
