##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
24,"Monaghan,Bridget",*,35,8-12,5-5,3-3,2-3,5,2,8,0,0,1,24,Scranton,Scranton_Rhodes_12-20-2022
11,"Kranson,Kaci",*,23,4-10,3-3,4-5,4-4,8,2,1,1,0,1,15,Scranton,Scranton_Rhodes_12-20-2022
20,"Rajza,Samantha",*,32,6-18,2-9,0-0,1-5,6,0,1,0,0,3,14,Scranton,Scranton_Rhodes_12-20-2022
00,"Angelini,Hannah",*,26,3-8,0-0,0-0,0-2,2,3,5,0,1,0,6,Scranton,Scranton_Rhodes_12-20-2022
21,"Ryan,Maddy",*,22,2-8,0-0,2-2,4-2,6,1,0,2,1,1,6,Scranton,Scranton_Rhodes_12-20-2022
13,"Hartnett,Maddie",,23,1-7,1-3,2-3,3-4,7,3,3,1,0,0,5,Scranton,Scranton_Rhodes_12-20-2022
32,"Walsh,Sara",,13,1-5,0-0,0-0,0-3,3,0,0,1,1,1,2,Scranton,Scranton_Rhodes_12-20-2022
25,"Duerr,Emma",,2,1-1,0-0,0-0,0-0,0,0,0,1,0,0,2,Scranton,Scranton_Rhodes_12-20-2022
30,"Steele,Mackenzie",,2,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Scranton,Scranton_Rhodes_12-20-2022
10,"Lynch,Allie",,8,0-3,0-1,0-0,1-0,1,1,0,0,0,0,0,Scranton,Scranton_Rhodes_12-20-2022
02,"Bender,Ashlyn",,4,0-0,0-0,0-0,0-2,2,0,0,1,0,0,0,Scranton,Scranton_Rhodes_12-20-2022
12,"Sloan,Jenna",,3,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Scranton,Scranton_Rhodes_12-20-2022
22,"Nolan,Leah",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,1,0,Scranton,Scranton_Rhodes_12-20-2022
03,"Brewer,Morgan",,2,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Scranton,Scranton_Rhodes_12-20-2022
23,"Larrabee,Jenna",,2,0-1,0-0,0-0,0-1,1,0,0,0,0,0,0,Scranton,Scranton_Rhodes_12-20-2022
10,"Marsh,Avery",*,35,6-11,1-3,3-7,0-2,2,2,3,2,1,1,16,Rhodes,Scranton_Rhodes_12-20-2022
12,"Mathangani,Alexys",*,34,5-11,1-2,4-5,3-2,5,3,3,1,1,0,15,Rhodes,Scranton_Rhodes_12-20-2022
30,"Lee,Taya",*,18,3-7,0-0,0-0,2-6,8,0,0,0,2,0,6,Rhodes,Scranton_Rhodes_12-20-2022
11,"Long,Libby",*,19,1-6,1-6,0-0,0-1,1,4,0,2,0,0,3,Rhodes,Scranton_Rhodes_12-20-2022
01,"Seay,Kearstyn",*,20,0-3,0-0,0-0,0-5,5,2,0,3,0,0,0,Rhodes,Scranton_Rhodes_12-20-2022
31,"Althoff,Catherine",,12,2-5,0-0,1-2,2-1,3,0,1,1,0,0,5,Rhodes,Scranton_Rhodes_12-20-2022
15,"McKown,Mackenzie",,19,1-7,1-7,0-0,0-1,1,1,0,2,0,2,3,Rhodes,Scranton_Rhodes_12-20-2022
04,"Dupree,Taylor",,14,1-3,0-0,0-0,0-1,1,2,1,0,3,0,2,Rhodes,Scranton_Rhodes_12-20-2022
34,"Vlahakos,Giana",,24,0-0,0-0,1-2,0-7,7,2,1,2,2,0,1,Rhodes,Scranton_Rhodes_12-20-2022
21,"Donaldson,Saylor",,3,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Rhodes,Scranton_Rhodes_12-20-2022
03,"Schiff,Hallie",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Rhodes,Scranton_Rhodes_12-20-2022
