##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Kranson,Kaci",*,34,7-18,0-0,3-3,3-7,10,2,1,4,1,0,17,Scranton,Scranton_Rowan_11-8-2023
00,"Angelini,Hannah",*,31,5-7,1-1,1-2,0-3,3,3,1,0,0,4,12,Scranton,Scranton_Rowan_11-8-2023
44,"Toomey,Victoria",*,24,4-8,0-0,2-2,3-4,7,3,2,2,0,0,10,Scranton,Scranton_Rowan_11-8-2023
01,"Romanowski,Kaeli",*,33,2-9,0-1,5-5,2-2,4,4,1,2,2,5,9,Scranton,Scranton_Rowan_11-8-2023
20,"Lamanna,Meghan",*,27,1-7,0-4,0-0,0-2,2,1,2,2,2,3,2,Scranton,Scranton_Rowan_11-8-2023
21,"Ryan,Maddy",,16,5-14,0-0,1-1,2-0,2,0,0,2,0,2,11,Scranton,Scranton_Rowan_11-8-2023
13,"Hartnett,Maddie",,19,1-5,1-3,0-0,3-2,5,3,3,2,0,1,3,Scranton,Scranton_Rowan_11-8-2023
12,"Sloan,Jenna",,8,1-1,0-0,0-0,0-1,1,0,0,0,0,2,2,Scranton,Scranton_Rowan_11-8-2023
10,"Lynch,Allie",,8,0-1,0-0,0-0,0-1,1,0,0,2,0,0,0,Scranton,Scranton_Rowan_11-8-2023
05,"Mallard,Nicole",*,34,8-14,3-6,6-9,1-3,4,3,1,4,0,3,25,Rowan,Scranton_Rowan_11-8-2023
20,"Herlihy,Kate",*,35,2-14,1-6,5-6,3-4,7,1,2,9,0,3,10,Rowan,Scranton_Rowan_11-8-2023
13,"Johnson,Kristina",*,24,1-3,1-3,2-2,0-3,3,2,0,3,0,0,5,Rowan,Scranton_Rowan_11-8-2023
44,"Santana,Eliana",*,23,0-1,0-0,4-6,1-7,8,4,1,2,2,2,4,Rowan,Scranton_Rowan_11-8-2023
33,"McLaughlin,Jess",*,29,0-5,0-0,0-0,0-2,2,1,0,3,0,0,0,Rowan,Scranton_Rowan_11-8-2023
04,"Araujo,Sabrina",,17,2-6,2-3,0-0,0-3,3,1,1,3,2,1,6,Rowan,Scranton_Rowan_11-8-2023
15,"Carlies,Charlotte",,17,1-1,0-0,0-0,1-4,5,0,0,0,2,2,2,Rowan,Scranton_Rowan_11-8-2023
22,"Crooker,Victoria",,14,0-1,0-0,0-0,0-2,2,0,1,0,1,0,0,Rowan,Scranton_Rowan_11-8-2023
34,"Johnson,Shayla",,3,0-0,0-0,0-0,0-0,0,1,1,1,1,0,0,Rowan,Scranton_Rowan_11-8-2023
24,"Kuenzel,Kelli",,2,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,Rowan,Scranton_Rowan_11-8-2023
42,"Mastriano,Jes",,2,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,Rowan,Scranton_Rowan_11-8-2023
