##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Kranson,Kaci",*,20,6-18,0-4,2-2,3-5,8,0,0,0,0,3,14,Scranton,Scranton_Stevens_12-2-2024
20,"Lamanna,Meghan",*,28,5-9,2-5,0-0,0-3,3,0,0,0,0,2,12,Scranton,Scranton_Stevens_12-2-2024
01,"Romanowski,Kaeli",*,22,4-5,1-1,0-0,0-1,1,1,4,1,1,4,9,Scranton,Scranton_Stevens_12-2-2024
13,"Hartnett,Maddie",*,18,3-5,0-1,0-0,1-1,2,2,4,1,0,0,6,Scranton,Scranton_Stevens_12-2-2024
33,"Quigley,Kyra",*,18,2-4,0-0,0-2,1-3,4,1,2,3,1,1,4,Scranton,Scranton_Stevens_12-2-2024
12,"Sloan,Jenna",,20,3-7,2-2,0-0,0-2,2,0,2,1,0,0,8,Scranton,Scranton_Stevens_12-2-2024
15,"Bennett,Elizabeth",,15,4-7,0-1,0-0,2-1,3,1,2,1,0,1,8,Scranton,Scranton_Stevens_12-2-2024
14,"Stoupakis,Natalie",,11,1-1,1-1,1-2,1-1,2,0,3,1,0,2,4,Scranton,Scranton_Stevens_12-2-2024
10,"Lynch,Allie",,8,2-2,0-0,0-0,0-2,2,0,1,0,0,1,4,Scranton,Scranton_Stevens_12-2-2024
05,"Gorski,Katie",,18,1-3,0-1,0-0,1-4,5,2,1,3,3,2,2,Scranton,Scranton_Stevens_12-2-2024
03,"Brewer,Morgan",,3,0-0,0-0,2-2,1-0,1,0,0,1,0,1,2,Scranton,Scranton_Stevens_12-2-2024
02,"Bender,Ashlyn",,5,0-1,0-1,0-0,0-0,0,1,0,0,0,0,0,Scranton,Scranton_Stevens_12-2-2024
24,"Francione,Marisa",,5,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Scranton_Stevens_12-2-2024
23,"Montgomery,Elyse",,3,0-0,0-0,0-0,1-0,1,0,0,0,0,1,0,Scranton,Scranton_Stevens_12-2-2024
00,"Cieszko,Selena",,2,0-0,0-0,0-2,0-1,1,0,0,1,0,0,0,Scranton,Scranton_Stevens_12-2-2024
22,"Halligan,Lizzie",,2,0-0,0-0,0-2,0-1,1,1,0,0,0,0,0,Scranton,Scranton_Stevens_12-2-2024
30,"Kraker,Sabrina",,2,0-1,0-1,0-0,0-0,0,0,0,0,0,0,0,Scranton,Scranton_Stevens_12-2-2024
15,"Decker,Kay",*,29,3-8,0-0,2-4,2-2,4,3,1,5,0,1,8,Stevens,Scranton_Stevens_12-2-2024
13,"Loffredo,Dorothy",*,29,3-8,0-1,0-0,0-4,4,2,1,3,1,1,6,Stevens,Scranton_Stevens_12-2-2024
03,"Castro,Leyla",*,26,2-11,1-7,0-2,1-4,5,1,2,6,0,0,5,Stevens,Scranton_Stevens_12-2-2024
02,"Schubiger,Olivia",*,34,2-5,0-0,0-0,1-0,1,0,0,1,1,1,4,Stevens,Scranton_Stevens_12-2-2024
34,"Kehoe,Audrey",*,14,0-2,0-0,0-0,1-2,3,4,0,3,0,0,0,Stevens,Scranton_Stevens_12-2-2024
44,"Alberici,Lucy",,26,2-6,1-2,0-0,2-5,7,1,0,4,0,0,5,Stevens,Scranton_Stevens_12-2-2024
04,"Bogutsky,Katherine",,10,0-1,0-1,2-2,0-2,2,0,0,2,0,0,2,Stevens,Scranton_Stevens_12-2-2024
11,"Duval,Isabella",,20,0-6,0-4,0-0,1-0,1,2,0,1,0,0,0,Stevens,Scranton_Stevens_12-2-2024
40,"Kashner,Zoe",,12,0-3,0-0,0-0,0-2,2,1,1,1,0,0,0,Stevens,Scranton_Stevens_12-2-2024
