##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
11,"Kranson,Kaci",*,36,5-14,1-2,5-7,5-6,11,1,1,1,0,3,16,Scranton,Scranton_Susquehanna_2-1-2023
24,"Monaghan,Bridget",*,38,3-18,0-3,7-8,0-3,3,1,4,2,0,2,13,Scranton,Scranton_Susquehanna_2-1-2023
21,"Ryan,Maddy",*,35,5-12,0-0,3-6,5-7,12,1,0,3,0,4,13,Scranton,Scranton_Susquehanna_2-1-2023
20,"Rajza,Samantha",*,34,3-12,1-7,0-0,0-6,6,0,2,1,0,3,7,Scranton,Scranton_Susquehanna_2-1-2023
00,"Angelini,Hannah",*,30,1-6,0-1,1-2,2-4,6,3,1,1,0,2,3,Scranton,Scranton_Susquehanna_2-1-2023
32,"Walsh,Sara",,5,2-2,0-0,0-0,0-0,0,0,0,0,0,0,4,Scranton,Scranton_Susquehanna_2-1-2023
13,"Hartnett,Maddie",,12,0-2,0-1,0-0,0-1,1,4,0,0,0,0,0,Scranton,Scranton_Susquehanna_2-1-2023
10,"Lynch,Allie",,10,0-1,0-0,0-0,0-0,0,1,1,0,0,0,0,Scranton,Scranton_Susquehanna_2-1-2023
30,"Lynch,Kaitlyn",*,39,4-11,2-5,5-5,1-2,3,2,1,6,1,0,15,Susquehanna,Scranton_Susquehanna_2-1-2023
44,"Brandt,Olivia",*,34,4-9,0-0,0-0,0-11,11,1,2,2,0,1,8,Susquehanna,Scranton_Susquehanna_2-1-2023
00,"Pinckert,Julia",*,26,2-7,2-5,0-0,0-6,6,3,1,6,0,0,6,Susquehanna,Scranton_Susquehanna_2-1-2023
03,"Selvaggi,Kenzie",*,34,0-6,0-2,0-0,0-0,0,2,1,3,0,1,0,Susquehanna,Scranton_Susquehanna_2-1-2023
21,"Roth,Julia",*,20,0-3,0-0,0-2,0-4,4,5,1,2,0,1,0,Susquehanna,Scranton_Susquehanna_2-1-2023
14,"Schwabe,Isabella",,25,2-6,0-0,3-3,1-5,6,3,2,4,1,0,7,Susquehanna,Scranton_Susquehanna_2-1-2023
05,"Klein,Lauren",,22,0-2,0-1,0-0,0-3,3,2,1,0,0,0,0,Susquehanna,Scranton_Susquehanna_2-1-2023
