##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
20,"Lamanna,Meghan",*,31,6-12,2-4,2-2,2-1,3,1,0,1,0,0,16,Scranton,Scranton_Tufts_11-26-2024
11,"Kranson,Kaci",*,31,5-14,1-3,0-1,3-3,6,1,1,3,0,1,11,Scranton,Scranton_Tufts_11-26-2024
33,"Quigley,Kyra",*,26,4-7,0-0,1-1,2-2,4,3,3,0,2,1,9,Scranton,Scranton_Tufts_11-26-2024
01,"Romanowski,Kaeli",*,26,2-4,1-2,0-0,2-1,3,2,2,1,0,1,5,Scranton,Scranton_Tufts_11-26-2024
13,"Hartnett,Maddie",*,30,1-9,1-5,0-0,1-1,2,2,0,2,2,3,3,Scranton,Scranton_Tufts_11-26-2024
14,"Stoupakis,Natalie",,10,4-5,3-4,0-0,2-0,2,1,0,0,0,0,11,Scranton,Scranton_Tufts_11-26-2024
15,"Bennett,Elizabeth",,14,1-4,0-2,0-0,1-1,2,1,3,0,0,1,2,Scranton,Scranton_Tufts_11-26-2024
12,"Sloan,Jenna",,9,1-3,0-0,0-0,0-4,4,1,0,1,1,0,2,Scranton,Scranton_Tufts_11-26-2024
05,"Gorski,Katie",,14,0-3,0-2,1-2,1-4,5,2,0,3,0,0,1,Scranton,Scranton_Tufts_11-26-2024
10,"Lynch,Allie",,9,0-1,0-1,0-0,0-1,1,0,2,1,0,1,0,Scranton,Scranton_Tufts_11-26-2024
11,"Gonzalez,Sofia",*,32,5-16,1-4,4-5,1-6,7,2,1,4,1,2,15,Tufts,Scranton_Tufts_11-26-2024
12,"Aspesi,Annie",*,24,3-7,0-2,0-0,2-3,5,1,1,3,0,1,6,Tufts,Scranton_Tufts_11-26-2024
15,"Witherspoon,Monet",*,16,2-4,0-0,2-2,0-2,2,1,0,1,0,1,6,Tufts,Scranton_Tufts_11-26-2024
25,"Decker,Annika",*,38,1-7,0-2,0-0,1-1,2,0,3,0,0,1,2,Tufts,Scranton_Tufts_11-26-2024
30,"Crossett,Sarah",*,5,0-1,0-0,0-0,0-1,1,5,0,0,0,0,0,Tufts,Scranton_Tufts_11-26-2024
22,"Kelly,Hannah",,18,4-5,3-4,0-0,0-0,0,0,0,0,0,0,11,Tufts,Scranton_Tufts_11-26-2024
05,"O'Brien,Callie",,20,2-7,0-1,3-4,2-1,3,0,0,1,0,1,7,Tufts,Scranton_Tufts_11-26-2024
24,"O'Boyle,Caitlyn",,30,1-4,0-0,2-2,3-7,10,3,0,4,1,1,4,Tufts,Scranton_Tufts_11-26-2024
55,"Paquette,Mikayla",,5,2-2,0-0,0-0,1-0,1,1,0,0,0,1,4,Tufts,Scranton_Tufts_11-26-2024
03,"Galanes,Stella",,5,0-1,0-0,2-2,0-0,0,0,0,0,0,0,2,Tufts,Scranton_Tufts_11-26-2024
04,"Ryan,Annie",,3,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Tufts,Scranton_Tufts_11-26-2024
21,"Davis,Sophia",,3,0-0,0-0,0-0,0-1,1,1,1,0,0,0,0,Tufts,Scranton_Tufts_11-26-2024
10,"Nardone,Hope",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Tufts,Scranton_Tufts_11-26-2024
