##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
20,"Rajza,Samantha",*,30,5-9,3-5,3-3,2-3,5,2,1,3,0,1,16,Scranton,Scranton_Wartburg_12-19-2022
24,"Monaghan,Bridget",*,35,4-19,0-5,0-0,2-2,4,1,1,6,0,3,8,Scranton,Scranton_Wartburg_12-19-2022
11,"Kranson,Kaci",*,22,3-8,0-0,0-0,3-2,5,2,1,1,0,0,6,Scranton,Scranton_Wartburg_12-19-2022
21,"Ryan,Maddy",*,22,1-8,0-0,3-4,4-2,6,3,0,0,0,2,5,Scranton,Scranton_Wartburg_12-19-2022
00,"Angelini,Hannah",*,26,1-5,1-2,0-0,2-7,9,3,0,5,1,3,3,Scranton,Scranton_Wartburg_12-19-2022
13,"Hartnett,Maddie",,29,3-11,0-3,7-7,1-9,10,3,3,2,0,3,13,Scranton,Scranton_Wartburg_12-19-2022
32,"Walsh,Sara",,17,3-4,0-0,0-0,1-2,3,0,0,0,1,1,6,Scranton,Scranton_Wartburg_12-19-2022
23,"Larrabee,Jenna",,1,1-2,0-0,0-0,1-0,1,0,0,0,0,0,2,Scranton,Scranton_Wartburg_12-19-2022
10,"Lynch,Allie",,13,0-3,0-0,0-0,0-2,2,1,1,1,0,1,0,Scranton,Scranton_Wartburg_12-19-2022
02,"Bender,Ashlyn",,2,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0,Scranton,Scranton_Wartburg_12-19-2022
03,"Brewer,Morgan",,1,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Scranton,Scranton_Wartburg_12-19-2022
22,"Nolan,Leah",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Scranton_Wartburg_12-19-2022
25,"Duerr,Emma",,1,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Scranton,Scranton_Wartburg_12-19-2022
33,"Murphy,Jaedon",*,31,6-11,0-3,1-3,1-4,5,0,2,3,0,0,13,Wartburg,Scranton_Wartburg_12-19-2022
03,"Faber,Sara",*,30,4-13,1-6,0-0,0-4,4,2,0,2,1,0,9,Wartburg,Scranton_Wartburg_12-19-2022
10,"Harris,Macy",*,30,1-7,0-3,2-2,2-5,7,0,0,6,0,1,4,Wartburg,Scranton_Wartburg_12-19-2022
04,"Baxter,Olivia",*,15,2-6,0-0,0-0,2-5,7,3,0,3,2,0,4,Wartburg,Scranton_Wartburg_12-19-2022
15,"Young,Britney",*,30,0-5,0-4,1-2,0-2,2,4,1,5,1,2,1,Wartburg,Scranton_Wartburg_12-19-2022
02,"Donlea,Lauren",,19,1-6,0-4,2-6,0-0,0,1,0,0,0,3,4,Wartburg,Scranton_Wartburg_12-19-2022
32,"Runchey,Taylor",,15,0-3,0-1,2-2,1-2,3,0,0,1,0,1,2,Wartburg,Scranton_Wartburg_12-19-2022
12,"Bearbower,Natalie",,14,0-1,0-0,0-0,0-1,1,0,0,1,0,1,0,Wartburg,Scranton_Wartburg_12-19-2022
34,"Woeste,Lauren",,12,0-1,0-0,0-0,2-3,5,2,0,4,0,0,0,Wartburg,Scranton_Wartburg_12-19-2022
24,"Saunders,Cora",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Wartburg,Scranton_Wartburg_12-19-2022
30,"Trettin,Ava",,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Wartburg,Scranton_Wartburg_12-19-2022
