##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
00,"Angelini,Hannah",*,22,7-8,0-0,0-2,2-3,5,1,3,1,0,1,14,Scranton,Scranton_Wilkes_11-20-2022
24,"Monaghan,Bridget",*,26,4-11,3-8,0-0,2-4,6,1,2,2,0,1,11,Scranton,Scranton_Wilkes_11-20-2022
21,"Ryan,Maddy",*,21,3-5,0-0,4-4,1-6,7,1,2,0,0,1,10,Scranton,Scranton_Wilkes_11-20-2022
20,"Rajza,Samantha",*,20,2-8,2-8,2-2,1-2,3,3,2,0,0,2,8,Scranton,Scranton_Wilkes_11-20-2022
11,"Kranson,Kaci",*,17,0-10,0-0,0-0,2-2,4,1,2,0,0,1,0,Scranton,Scranton_Wilkes_11-20-2022
13,"Hartnett,Maddie",,21,5-5,3-3,0-0,2-4,6,2,4,1,2,1,13,Scranton,Scranton_Wilkes_11-20-2022
25,"Duerr,Emma",,9,2-3,0-0,0-0,1-1,2,4,0,0,0,0,4,Scranton,Scranton_Wilkes_11-20-2022
02,"Bender,Ashlyn",,16,1-3,0-1,0-0,0-3,3,1,1,1,1,0,2,Scranton,Scranton_Wilkes_11-20-2022
22,"Nolan,Leah",,11,1-5,0-3,0-2,0-3,3,0,3,0,0,0,2,Scranton,Scranton_Wilkes_11-20-2022
03,"Brewer,Morgan",,10,1-1,0-0,0-0,0-0,0,0,1,1,0,1,2,Scranton,Scranton_Wilkes_11-20-2022
30,"Steele,Mackenzie",,9,1-1,0-0,0-0,0-1,1,1,0,0,1,0,2,Scranton,Scranton_Wilkes_11-20-2022
32,"Walsh,Sara",,5,1-1,0-0,0-0,0-1,1,0,0,0,2,1,2,Scranton,Scranton_Wilkes_11-20-2022
10,"Lynch,Allie",,13,0-3,0-3,0-0,1-2,3,3,1,1,0,0,0,Scranton,Scranton_Wilkes_11-20-2022
10,"Horton,Brianna",*,23,2-5,1-2,0-0,0-2,2,1,1,0,0,0,5,Wilkes,Scranton_Wilkes_11-20-2022
21,"Shober,Erin",*,19,2-8,0-0,0-0,1-5,6,2,1,2,1,0,4,Wilkes,Scranton_Wilkes_11-20-2022
02,"Marino,Julia",*,18,1-3,0-0,1-2,1-2,3,2,0,3,0,1,3,Wilkes,Scranton_Wilkes_11-20-2022
25,"Reed,Ariel",*,16,0-2,0-0,0-0,0-3,3,1,0,1,0,0,0,Wilkes,Scranton_Wilkes_11-20-2022
05,"Babcock,Brenna",*,13,0-4,0-0,0-0,1-0,1,0,1,1,0,1,0,Wilkes,Scranton_Wilkes_11-20-2022
04,"Robel,Madison",,12,3-5,0-0,0-2,1-1,2,1,0,2,0,0,6,Wilkes,Scranton_Wilkes_11-20-2022
11,"Matos,Yamirelis",,27,2-9,0-1,1-2,1-2,3,0,0,3,0,0,5,Wilkes,Scranton_Wilkes_11-20-2022
23,"Crooker,Victoria",,19,2-6,1-3,0-0,0-0,0,0,0,0,1,0,5,Wilkes,Scranton_Wilkes_11-20-2022
12,"Evanosky,Nadia",,15,1-2,1-1,0-0,0-2,2,2,0,1,0,0,3,Wilkes,Scranton_Wilkes_11-20-2022
22,"Stout,Emma",,9,0-3,0-1,1-2,1-0,1,1,0,0,0,1,1,Wilkes,Scranton_Wilkes_11-20-2022
00,"Askins,Julianna",,12,0-4,0-2,0-0,1-1,2,2,1,1,0,1,0,Wilkes,Scranton_Wilkes_11-20-2022
14,"Holden,Reagan",,6,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Wilkes,Scranton_Wilkes_11-20-2022
15,"Edwards,Tess",,6,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Wilkes,Scranton_Wilkes_11-20-2022
13,"Jennings,Jordyn",,4,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Wilkes,Scranton_Wilkes_11-20-2022
24,"Smith,Kendra",,1,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0,Wilkes,Scranton_Wilkes_11-20-2022
