##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
03,"Greene,Terese",*,34,8-21,2-6,7-9,0-3,3,3,1,5,0,1,25,Shenandoah,Shenandoah_Catholic_11-9-2024
50,"Campbell,Shawnise",*,15,3-5,0-0,2-3,0-8,8,4,0,2,0,0,8,Shenandoah,Shenandoah_Catholic_11-9-2024
02,"Kimble,Maddie",*,34,2-11,1-6,2-2,1-3,4,2,4,4,0,1,7,Shenandoah,Shenandoah_Catholic_11-9-2024
22,"Krystofiak,Gabby",*,30,2-5,1-2,0-0,1-2,3,1,1,0,0,0,5,Shenandoah,Shenandoah_Catholic_11-9-2024
01,"Williams,Emily",*,30,0-4,0-1,3-4,4-6,10,4,2,2,0,0,3,Shenandoah,Shenandoah_Catholic_11-9-2024
12,"Banks,Addisyn",,18,3-9,2-2,2-4,1-7,8,1,0,2,0,0,10,Shenandoah,Shenandoah_Catholic_11-9-2024
23,"Shepos,Sydney",,15,1-2,0-0,1-2,0-4,4,2,1,0,0,0,3,Shenandoah,Shenandoah_Catholic_11-9-2024
24,"Littlejohn,Jessica",,10,0-0,0-0,0-0,0-1,1,0,1,2,0,0,0,Shenandoah,Shenandoah_Catholic_11-9-2024
11,"Bayless,Skai",,6,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0,Shenandoah,Shenandoah_Catholic_11-9-2024
04,"Marmo,Danni",,3,0-0,0-0,0-0,1-2,3,0,0,1,0,0,0,Shenandoah,Shenandoah_Catholic_11-9-2024
44,"Martin,Mya",,3,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Shenandoah,Shenandoah_Catholic_11-9-2024
40,"Smith,Reagan",,2,0-0,0-0,0-0,0-0,0,0,0,2,0,0,0,Shenandoah,Shenandoah_Catholic_11-9-2024
33,"Douglas,Keegan",*,36,8-14,4-6,4-6,1-3,4,2,0,3,0,5,24,Catholic,Shenandoah_Catholic_11-9-2024
10,"Flaherty,Kerry",*,35,5-14,5-10,0-0,0-2,2,2,2,0,0,3,15,Catholic,Shenandoah_Catholic_11-9-2024
22,"Mulvaney,Carly",*,39,2-7,1-3,4-7,5-8,13,0,5,2,1,1,9,Catholic,Shenandoah_Catholic_11-9-2024
13,"Scoblick,Anna",*,32,2-12,0-0,4-10,2-8,10,4,1,2,1,0,8,Catholic,Shenandoah_Catholic_11-9-2024
24,"Kenah,Alexa",*,25,2-12,1-7,0-0,3-5,8,4,2,0,0,0,5,Catholic,Shenandoah_Catholic_11-9-2024
41,"Blumenthal,Sam",,11,2-3,0-0,0-0,0-3,3,4,0,2,1,0,4,Catholic,Shenandoah_Catholic_11-9-2024
11,"Kennedy,Amelia",,9,1-2,0-0,0-0,0-1,1,3,1,1,0,2,2,Catholic,Shenandoah_Catholic_11-9-2024
25,"Kraft,Lauren",,11,0-4,0-3,0-0,0-0,0,2,1,0,1,1,0,Catholic,Shenandoah_Catholic_11-9-2024
04,"McLaughlin,Molly",,2,0-0,0-0,0-0,0-0,0,0,1,1,0,0,0,Catholic,Shenandoah_Catholic_11-9-2024
