##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
03,"Greene,Terese",*,15,8-10,0-2,3-4,1-4,5,1,1,1,0,4,19,Shenandoah,Shenandoah_Goucher_11-8-2022
01,"Williams,Emily",*,27,6-10,4-4,0-0,3-5,8,3,3,1,0,0,16,Shenandoah,Shenandoah_Goucher_11-8-2022
02,"Kimble,Madisen",*,23,3-7,1-3,2-4,2-2,4,0,6,2,0,5,9,Shenandoah,Shenandoah_Goucher_11-8-2022
50,"Campbell,Shawnise",*,14,3-4,0-0,2-4,2-4,6,2,1,0,1,0,8,Shenandoah,Shenandoah_Goucher_11-8-2022
22,"Krystofiak,Gabby",*,21,3-8,0-2,0-0,2-0,2,0,1,2,1,2,6,Shenandoah,Shenandoah_Goucher_11-8-2022
24,"Littlejohn,Jessica",,13,3-3,0-0,0-0,1-2,3,3,0,1,0,1,6,Shenandoah,Shenandoah_Goucher_11-8-2022
21,"Zepp,Ashleigh",,10,3-5,0-0,0-0,1-3,4,1,1,4,0,0,6,Shenandoah,Shenandoah_Goucher_11-8-2022
11,"Star,Zoe",,14,2-4,0-1,0-0,0-3,3,2,1,0,1,2,4,Shenandoah,Shenandoah_Goucher_11-8-2022
10,"Rooklin,Maggie",,10,1-2,1-1,0-0,0-1,1,1,2,1,0,0,3,Shenandoah,Shenandoah_Goucher_11-8-2022
23,"Shepos,Sydney",,23,1-5,0-1,0-0,1-3,4,1,2,0,0,1,2,Shenandoah,Shenandoah_Goucher_11-8-2022
32,"Upshaw,Hailey",,7,0-2,0-0,1-2,0-1,1,1,0,1,0,0,1,Shenandoah,Shenandoah_Goucher_11-8-2022
13,"Maxson,Kayla",,11,0-1,0-0,0-0,0-0,0,1,0,0,0,0,0,Shenandoah,Shenandoah_Goucher_11-8-2022
30,"Hostetter,Kiersten",,8,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Shenandoah,Shenandoah_Goucher_11-8-2022
25,"Lloyd,Meredith",,4,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Shenandoah,Shenandoah_Goucher_11-8-2022
12,"Haggins,Briyah",*,32,4-15,1-4,2-4,0-4,4,2,0,7,0,0,11,Goucher,Shenandoah_Goucher_11-8-2022
23,"Quarles,Kyani",*,32,1-5,0-0,4-6,6-3,9,1,2,3,0,2,6,Goucher,Shenandoah_Goucher_11-8-2022
34,"Sherman,Darby",*,28,1-10,1-6,1-2,0-1,1,0,3,4,0,0,4,Goucher,Shenandoah_Goucher_11-8-2022
22,"Nwuli,Sydney",*,26,1-5,0-0,0-4,4-2,6,2,0,2,0,3,2,Goucher,Shenandoah_Goucher_11-8-2022
04,"Cavoli,Julia",*,35,0-6,0-5,0-0,1-1,2,3,1,3,0,1,0,Goucher,Shenandoah_Goucher_11-8-2022
00,"Taylor,Kya",,8,1-4,0-0,1-2,1-2,3,0,0,0,0,0,3,Goucher,Shenandoah_Goucher_11-8-2022
03,"Pace,GVahn",,14,0-2,0-1,0-0,0-0,0,2,1,1,0,1,0,Goucher,Shenandoah_Goucher_11-8-2022
30,"Cox,Ava",,13,0-2,0-0,0-0,1-0,1,0,0,0,0,0,0,Goucher,Shenandoah_Goucher_11-8-2022
21,"Flynn,Claire",,10,0-2,0-1,0-0,0-1,1,1,0,2,0,0,0,Goucher,Shenandoah_Goucher_11-8-2022
25,"Bailey,Lydia",,2,0-0,0-0,0-0,0-1,1,0,0,0,0,0,0,Goucher,Shenandoah_Goucher_11-8-2022
