##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
22,Taylor Verboven,*,31,5-13,1-3,2-2,4-1,5,3,4,0,0,0,13,St. Joseph (Conn.),St. Joseph (Conn.)_Moravian University_12-31-2022
33,Jordan Ouellette,*,36,6-22,0-0,0-0,5-3,8,2,2,2,2,0,12,St. Joseph (Conn.),St. Joseph (Conn.)_Moravian University_12-31-2022
3,Maya Slisz,*,27,2-8,0-2,2-6,2-2,4,4,2,2,0,2,6,St. Joseph (Conn.),St. Joseph (Conn.)_Moravian University_12-31-2022
4,Olivia Heslin,*,19,1-6,0-0,1-1,2-3,5,0,2,1,0,0,3,St. Joseph (Conn.),St. Joseph (Conn.)_Moravian University_12-31-2022
21,Amanda Fudge,*,26,1-9,0-4,0-0,1-2,3,2,1,7,0,0,2,St. Joseph (Conn.),St. Joseph (Conn.)_Moravian University_12-31-2022
2,Jordan Farrell,,21,4-9,1-2,3-4,1-4,5,1,0,2,0,1,12,St. Joseph (Conn.),St. Joseph (Conn.)_Moravian University_12-31-2022
1,Emiah Soto,,7,0-0,0-0,1-2,0-0,0,1,1,0,1,0,1,St. Joseph (Conn.),St. Joseph (Conn.)_Moravian University_12-31-2022
24,Emma Carpenter,,2,0-0,0-0,1-2,1-0,1,0,0,0,0,0,1,St. Joseph (Conn.),St. Joseph (Conn.)_Moravian University_12-31-2022
12,Janai Oliver,,10,0-1,0-0,0-0,0-1,1,3,0,1,0,0,0,St. Joseph (Conn.),St. Joseph (Conn.)_Moravian University_12-31-2022
31,Khalise Harris,,9,0-2,0-0,0-0,1-1,2,1,0,3,0,0,0,St. Joseph (Conn.),St. Joseph (Conn.)_Moravian University_12-31-2022
11,Jelly Frigo,,6,0-1,0-1,0-0,0-3,3,0,0,2,0,1,0,St. Joseph (Conn.),St. Joseph (Conn.)_Moravian University_12-31-2022
5,Shannon Burns,,2,0-0,0-0,0-0,0-1,1,1,0,0,0,0,0,St. Joseph (Conn.),St. Joseph (Conn.)_Moravian University_12-31-2022
13,Adalyse Gonzalez,,2,0-1,0-0,0-0,0-1,1,0,0,0,0,0,0,St. Joseph (Conn.),St. Joseph (Conn.)_Moravian University_12-31-2022
23,Julia Olson,,2,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0,St. Joseph (Conn.),St. Joseph (Conn.)_Moravian University_12-31-2022
2,Kayla Yoegel,*,24,10-15,1-2,1-4,1-5,6,2,1,3,0,0,22,Moravian University,St. Joseph (Conn.)_Moravian University_12-31-2022
20,Tessa Zamolyi,*,20,5-10,0-1,5-6,8-6,14,3,3,2,1,3,15,Moravian University,St. Joseph (Conn.)_Moravian University_12-31-2022
5,Emily Markowski,*,26,3-5,0-0,5-10,1-2,3,2,1,1,2,2,11,Moravian University,St. Joseph (Conn.)_Moravian University_12-31-2022
1,Sam Osorio,*,23,3-12,0-0,2-2,2-7,9,1,0,1,1,1,8,Moravian University,St. Joseph (Conn.)_Moravian University_12-31-2022
24,Morgan Amy,*,26,0-6,0-2,1-2,1-0,1,0,5,4,0,2,1,Moravian University,St. Joseph (Conn.)_Moravian University_12-31-2022
10,Brielle Guarente,,27,3-11,0-0,0-1,1-7,8,3,4,3,0,3,6,Moravian University,St. Joseph (Conn.)_Moravian University_12-31-2022
25,Ashley Robinson,,13,2-4,0-1,0-0,0-2,2,2,1,2,0,0,4,Moravian University,St. Joseph (Conn.)_Moravian University_12-31-2022
4,Jayda Cartagena,,17,1-3,0-0,0-0,2-3,5,3,1,2,0,1,2,Moravian University,St. Joseph (Conn.)_Moravian University_12-31-2022
15,Sarah Miniter,,6,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,Moravian University,St. Joseph (Conn.)_Moravian University_12-31-2022
12,Mikayla Anderson,,16,0-1,0-0,0-0,0-3,3,1,0,0,0,4,0,Moravian University,St. Joseph (Conn.)_Moravian University_12-31-2022
13,Nicole Rendina,,2,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Moravian University,St. Joseph (Conn.)_Moravian University_12-31-2022
