##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
40,"Kiley,Emma",*,26,6-7,1-1,2-3,3-3,6,2,4,0,4,0,15,St. Joseph's (Brkln),St. Joseph's (Brkln)_Drew_11-27-2022
23,"Hurt,Destiny",*,34,4-11,1-5,0-0,1-5,6,2,0,2,1,2,9,St. Joseph's (Brkln),St. Joseph's (Brkln)_Drew_11-27-2022
22,"Telford,Aaniya",*,22,3-9,3-5,0-0,1-2,3,2,1,6,1,2,9,St. Joseph's (Brkln),St. Joseph's (Brkln)_Drew_11-27-2022
02,"Breen,Alexis",*,34,2-7,2-7,0-0,0-2,2,1,5,8,1,0,6,St. Joseph's (Brkln),St. Joseph's (Brkln)_Drew_11-27-2022
33,"Donovan,Kristen",*,29,2-8,2-7,0-0,1-2,3,1,1,4,0,0,6,St. Joseph's (Brkln),St. Joseph's (Brkln)_Drew_11-27-2022
12,"Adeoye,Ayomide",,17,4-7,0-0,0-0,2-4,6,0,1,2,0,1,8,St. Joseph's (Brkln),St. Joseph's (Brkln)_Drew_11-27-2022
05,"Carter,Jessica",,9,1-3,0-1,0-0,2-0,2,0,1,1,0,0,2,St. Joseph's (Brkln),St. Joseph's (Brkln)_Drew_11-27-2022
15,"Kennedy,Grace",,26,0-8,0-5,0-0,0-2,2,2,5,3,0,2,0,St. Joseph's (Brkln),St. Joseph's (Brkln)_Drew_11-27-2022
21,"Castaneda,Mia",,3,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0,St. Joseph's (Brkln),St. Joseph's (Brkln)_Drew_11-27-2022
23,"Meyers,Joey",*,18,4-8,4-5,0-0,1-2,3,0,4,1,0,2,12,Drew,St. Joseph's (Brkln)_Drew_11-27-2022
12,"Morgan,Madelyn",*,17,3-7,2-6,4-4,0-4,4,2,4,3,0,1,12,Drew,St. Joseph's (Brkln)_Drew_11-27-2022
02,"Alberici,Gwen",*,19,4-7,2-3,0-0,0-3,3,0,3,0,0,2,10,Drew,St. Joseph's (Brkln)_Drew_11-27-2022
25,"Struble,Jamie",*,14,3-4,0-0,0-0,1-0,1,1,0,2,0,5,6,Drew,St. Joseph's (Brkln)_Drew_11-27-2022
22,"Hezel,Gracie",*,13,2-3,0-0,0-0,2-1,3,1,4,2,1,1,4,Drew,St. Joseph's (Brkln)_Drew_11-27-2022
05,"Wood,Ryane",,12,4-6,3-4,0-0,0-0,0,1,0,0,0,0,11,Drew,St. Joseph's (Brkln)_Drew_11-27-2022
03,"Lalo,Izzy",,12,2-3,2-3,0-0,1-1,2,0,4,1,0,0,6,Drew,St. Joseph's (Brkln)_Drew_11-27-2022
13,"Mann,Kyra",,12,3-6,0-1,0-0,2-3,5,1,2,1,0,2,6,Drew,St. Joseph's (Brkln)_Drew_11-27-2022
50,"Antin,Sam",,10,3-6,0-0,0-0,1-2,3,1,2,1,0,0,6,Drew,St. Joseph's (Brkln)_Drew_11-27-2022
04,"Wojtowicz,Katrina",,12,2-7,1-5,0-0,0-3,3,0,0,0,2,1,5,Drew,St. Joseph's (Brkln)_Drew_11-27-2022
11,"Dobrich,Beth",,12,1-6,0-0,2-2,3-1,4,0,2,0,0,1,4,Drew,St. Joseph's (Brkln)_Drew_11-27-2022
20,"Hezel,Brenna",,7,0-0,0-0,4-4,1-1,2,0,1,0,0,0,4,Drew,St. Joseph's (Brkln)_Drew_11-27-2022
33,"Beyer,Maddie",,18,1-3,1-2,0-0,1-2,3,1,2,2,0,1,3,Drew,St. Joseph's (Brkln)_Drew_11-27-2022
10,"Graff,Carlye",,12,1-4,0-2,0-0,0-0,0,1,1,2,0,1,2,Drew,St. Joseph's (Brkln)_Drew_11-27-2022
42,"Pica,Gianna",,12,1-3,0-0,0-0,1-2,3,1,0,0,0,0,2,Drew,St. Joseph's (Brkln)_Drew_11-27-2022
