##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
14,"Talon,Hannah",*,36,5-12,2-4,6-8,1-4,5,1,1,3,0,0,18,St. Joseph's (ME),St. Joseph's (ME)_Scranton_3-3-2023
11,"Howe,Nina",*,34,2-5,1-2,3-4,0-3,3,4,2,3,0,0,8,St. Joseph's (ME),St. Joseph's (ME)_Scranton_3-3-2023
23,"Stapelfeld,Elisabeth",*,34,4-9,0-1,0-0,1-4,5,1,1,3,0,1,8,St. Joseph's (ME),St. Joseph's (ME)_Scranton_3-3-2023
20,"Hurley,Angelica",*,31,1-7,1-4,2-2,0-9,9,3,1,3,0,0,5,St. Joseph's (ME),St. Joseph's (ME)_Scranton_3-3-2023
30,"Howe,Jayne",*,35,2-8,0-3,0-0,0-3,3,3,1,0,0,1,4,St. Joseph's (ME),St. Joseph's (ME)_Scranton_3-3-2023
32,"Fiorillo,Lindsay",,0+,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2,St. Joseph's (ME),St. Joseph's (ME)_Scranton_3-3-2023
15,"Brown,Logan",,10,0-1,0-0,0-0,0-2,2,1,1,0,0,0,0,St. Joseph's (ME),St. Joseph's (ME)_Scranton_3-3-2023
05,"Anderson,Hailey",,9,0-3,0-0,0-0,1-1,2,1,0,0,0,0,0,St. Joseph's (ME),St. Joseph's (ME)_Scranton_3-3-2023
10,"Whitmore,Katie",,8,0-0,0-0,0-0,0-0,0,1,1,0,0,0,0,St. Joseph's (ME),St. Joseph's (ME)_Scranton_3-3-2023
22,"Van Zandt,Mikayla",,3,0-1,0-0,0-0,0-0,0,1,0,2,0,0,0,St. Joseph's (ME),St. Joseph's (ME)_Scranton_3-3-2023
24,"Lebel,Maddie",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,St. Joseph's (ME),St. Joseph's (ME)_Scranton_3-3-2023
25,"Webster,Hanna",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,St. Joseph's (ME),St. Joseph's (ME)_Scranton_3-3-2023
33,"Maccoux,Anelise",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,St. Joseph's (ME),St. Joseph's (ME)_Scranton_3-3-2023
34,"Currie,Mackenzie",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,St. Joseph's (ME),St. Joseph's (ME)_Scranton_3-3-2023
24,"Monaghan,Bridget",*,38,7-15,0-3,5-5,2-4,6,0,1,1,1,1,19,Scranton,St. Joseph's (ME)_Scranton_3-3-2023
11,"Kranson,Kaci",*,30,6-17,1-5,0-0,4-3,7,4,0,3,1,1,13,Scranton,St. Joseph's (ME)_Scranton_3-3-2023
00,"Angelini,Hannah",*,31,3-8,1-2,0-0,0-6,6,1,1,0,1,2,7,Scranton,St. Joseph's (ME)_Scranton_3-3-2023
20,"Rajza,Samantha",*,27,3-10,0-4,0-2,0-3,3,0,2,0,1,1,6,Scranton,St. Joseph's (ME)_Scranton_3-3-2023
32,"Walsh,Sara",*,18,1-5,0-0,1-2,5-4,9,2,0,0,1,0,3,Scranton,St. Joseph's (ME)_Scranton_3-3-2023
13,"Hartnett,Maddie",,25,4-6,2-3,0-0,0-2,2,4,5,0,0,1,10,Scranton,St. Joseph's (ME)_Scranton_3-3-2023
23,"Larrabee,Jenna",,16,1-4,0-0,0-0,0-4,4,2,0,0,0,1,2,Scranton,St. Joseph's (ME)_Scranton_3-3-2023
10,"Lynch,Allie",,10,1-2,0-1,0-0,0-1,1,0,0,0,0,0,2,Scranton,St. Joseph's (ME)_Scranton_3-3-2023
02,"Bender,Ashlyn",,1,0-0,0-0,1-2,0-0,0,0,0,0,0,0,1,Scranton,St. Joseph's (ME)_Scranton_3-3-2023
03,"Brewer,Morgan",,1,0-0,0-0,1-2,0-0,0,0,0,0,0,0,1,Scranton,St. Joseph's (ME)_Scranton_3-3-2023
22,"Nolan,Leah",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,St. Joseph's (ME)_Scranton_3-3-2023
25,"Duerr,Emma",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,St. Joseph's (ME)_Scranton_3-3-2023
30,"Steele,Mackenzie",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,St. Joseph's (ME)_Scranton_3-3-2023
12,"Sloan,Jenna",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,St. Joseph's (ME)_Scranton_3-3-2023
