##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
42,Amira Whitaker,*,29,4-8,1-4,3-4,0-2,2,1,0,6,0,0,12,St. Mary's (MD),St. Mary's (MD)_Catholic_11-23-2021
04,Karon Williams,*,37,5-18,0-3,0-0,3-4,7,2,4,9,0,2,10,St. Mary's (MD),St. Mary's (MD)_Catholic_11-23-2021
21,Cassidy Kupshinskas,*,31,5-10,0-2,0-2,0-1,1,4,3,1,0,0,10,St. Mary's (MD),St. Mary's (MD)_Catholic_11-23-2021
14,Stephanie Howell,*,34,4-9,0-0,0-0,3-10,13,3,0,5,2,2,8,St. Mary's (MD),St. Mary's (MD)_Catholic_11-23-2021
05,Rachel Manning,*,20,1-4,0-0,0-0,0-1,1,2,0,1,0,1,2,St. Mary's (MD),St. Mary's (MD)_Catholic_11-23-2021
11,Kendra Stamper,,25,3-5,0-1,0-0,1-1,2,4,1,4,0,3,6,St. Mary's (MD),St. Mary's (MD)_Catholic_11-23-2021
32,Madalyn Jones,,8,0-0,0-0,0-0,0-2,2,0,0,0,0,1,0,St. Mary's (MD),St. Mary's (MD)_Catholic_11-23-2021
12,Charlotte Donnellan,,7,0-1,0-0,0-0,0-1,1,1,0,0,0,0,0,St. Mary's (MD),St. Mary's (MD)_Catholic_11-23-2021
23,Cameron Mangold,,4,0-1,0-0,0-0,0-0,0,0,0,1,0,0,0,St. Mary's (MD),St. Mary's (MD)_Catholic_11-23-2021
35,Kierra Johnson,,3,0-0,0-0,0-0,1-0,1,0,0,2,0,0,0,St. Mary's (MD),St. Mary's (MD)_Catholic_11-23-2021
30,Kylie Wells,,2,0-1,0-0,0-0,0-1,1,1,0,0,0,0,0,St. Mary's (MD),St. Mary's (MD)_Catholic_11-23-2021
23,Amanda Johnson,*,21,2-7,1-3,6-6,0-3,3,2,2,2,0,3,11,Catholic,St. Mary's (MD)_Catholic_11-23-2021
01,Rachel Bussanich,*,16,1-5,0-0,4-4,3-4,7,0,0,2,0,0,6,Catholic,St. Mary's (MD)_Catholic_11-23-2021
15,Molly Aromando,*,14,2-7,0-4,1-2,2-1,3,2,0,1,0,3,5,Catholic,St. Mary's (MD)_Catholic_11-23-2021
22,Carly Mulvaney,*,13,2-4,1-3,0-0,3-2,5,0,1,2,0,0,5,Catholic,St. Mary's (MD)_Catholic_11-23-2021
10,Amelia Baldo,*,17,0-3,0-1,0-0,0-0,0,0,0,1,0,2,0,Catholic,St. Mary's (MD)_Catholic_11-23-2021
12,Sammie McCarter,,20,7-14,4-7,1-2,4-4,8,0,1,1,0,4,19,Catholic,St. Mary's (MD)_Catholic_11-23-2021
25,Erin Doherty,,20,3-10,0-3,1-2,3-4,7,2,2,1,0,3,7,Catholic,St. Mary's (MD)_Catholic_11-23-2021
35,Luca Mamula,,17,2-6,0-1,3-4,6-2,8,0,1,3,0,2,7,Catholic,St. Mary's (MD)_Catholic_11-23-2021
40,Kathryn Greenhut,,6,3-5,0-0,0-0,4-2,6,1,0,1,0,0,6,Catholic,St. Mary's (MD)_Catholic_11-23-2021
04,Erin Thompson,,16,2-6,0-0,0-0,0-0,0,0,2,2,0,0,4,Catholic,St. Mary's (MD)_Catholic_11-23-2021
02,Ella Torp,,3,1-2,0-0,0-0,0-0,0,0,0,0,0,0,2,Catholic,St. Mary's (MD)_Catholic_11-23-2021
14,Julia Samar,,8,0-1,0-0,1-2,0-0,0,0,0,1,0,0,1,Catholic,St. Mary's (MD)_Catholic_11-23-2021
05,Sarah White,,9,0-6,0-3,0-0,0-0,0,2,2,1,0,3,0,Catholic,St. Mary's (MD)_Catholic_11-23-2021
20,Kaleigh Beirne,,8,0-1,0-0,0-0,1-1,2,0,0,1,0,0,0,Catholic,St. Mary's (MD)_Catholic_11-23-2021
21,Julia Tomlinson,,4,0-1,0-0,0-0,1-1,2,1,0,0,0,0,0,Catholic,St. Mary's (MD)_Catholic_11-23-2021
34,Maggie Bednarek,,4,0-0,0-0,0-0,0-1,1,1,0,2,0,1,0,Catholic,St. Mary's (MD)_Catholic_11-23-2021
32,Anna Melchionni,,2,0-0,0-0,0-0,1-0,1,0,0,0,0,0,0,Catholic,St. Mary's (MD)_Catholic_11-23-2021
33,Nicole Huyer,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Catholic,St. Mary's (MD)_Catholic_11-23-2021
