##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
12,Taylor Geer,*,32,9-21,0-2,4-4,4-3,7,3,2,8,0,1,22,St. Vincent,St. Vincent_Juniata_11-9-2021
10,Emily Cavacini,*,28,4-10,1-5,7-10,1-4,5,1,2,1,0,3,16,St. Vincent,St. Vincent_Juniata_11-9-2021
40,Ella Marconi,*,29,5-10,0-0,4-8,4-10,14,3,0,2,2,1,14,St. Vincent,St. Vincent_Juniata_11-9-2021
32,Lizzie Bender,*,27,4-10,0-3,2-2,0-1,1,2,0,0,1,0,10,St. Vincent,St. Vincent_Juniata_11-9-2021
23,Alana Winkler,*,21,1-5,0-0,0-2,1-2,3,4,3,2,1,1,2,St. Vincent,St. Vincent_Juniata_11-9-2021
03,Lauren Gamble,,23,2-3,0-0,2-2,3-2,5,3,2,1,0,1,6,St. Vincent,St. Vincent_Juniata_11-9-2021
14,Autumn Fennell,,16,0-2,0-1,4-8,0-2,2,0,3,3,0,2,4,St. Vincent,St. Vincent_Juniata_11-9-2021
15,Kassidy Smith,,16,0-4,0-0,1-2,0-3,3,2,2,0,0,0,1,St. Vincent,St. Vincent_Juniata_11-9-2021
04,Anna Betz,,8,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,St. Vincent,St. Vincent_Juniata_11-9-2021
01,Diana Mosten,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,St. Vincent,St. Vincent_Juniata_11-9-2021
13,Haily Sherman,*,33,8-18,1-6,1-1,6-7,13,2,2,3,0,1,18,Juniata,St. Vincent_Juniata_11-9-2021
11,Grace Long,*,21,4-11,2-7,3-4,2-2,4,4,1,2,0,2,13,Juniata,St. Vincent_Juniata_11-9-2021
03,Kynnedy Miller,*,32,3-7,2-4,0-0,0-2,2,5,3,5,0,2,8,Juniata,St. Vincent_Juniata_11-9-2021
30,Averie Hess,*,23,2-8,0-3,3-4,2-0,2,3,1,3,0,1,7,Juniata,St. Vincent_Juniata_11-9-2021
23,Cassie Mock,*,32,1-8,0-2,0-0,1-4,5,4,5,4,1,0,2,Juniata,St. Vincent_Juniata_11-9-2021
40,Emelie Nonemaker,,16,2-5,2-2,0-0,3-2,5,3,0,3,1,0,6,Juniata,St. Vincent_Juniata_11-9-2021
05,Steph Emert,,13,2-6,0-0,0-0,1-1,2,1,0,1,0,2,4,Juniata,St. Vincent_Juniata_11-9-2021
34,Dani Scipioni,,11,1-2,1-1,0-0,1-3,4,5,1,2,0,0,3,Juniata,St. Vincent_Juniata_11-9-2021
42,Taylor Vrabel,,8,1-4,0-0,0-0,1-0,1,3,0,0,1,0,2,Juniata,St. Vincent_Juniata_11-9-2021
35,Sarah Betts,,9,0-4,0-2,0-0,1-1,2,0,2,0,1,0,0,Juniata,St. Vincent_Juniata_11-9-2021
25,Sarah Smith,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,St. Vincent_Juniata_11-9-2021
33,Halle Rittenhouse,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Juniata,St. Vincent_Juniata_11-9-2021
