##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
5,"NUNEZ, Emily",*,29,10-15,9-14,1-1,1-0,1,2,0,1,0,1,30,Stevens,Stevens_Drew_3-11-2021
11,"LI, Christina",*,22,5-11,0-2,1-2,3-1,4,2,4,1,0,2,11,Stevens,Stevens_Drew_3-11-2021
34,"PANAYIDES, Annetta",*,16,2-3,0-0,0-0,0-2,2,0,1,1,0,0,4,Stevens,Stevens_Drew_3-11-2021
44,"TAEUBER, Lily",*,17,1-5,0-1,0-2,3-2,5,2,1,0,0,1,2,Stevens,Stevens_Drew_3-11-2021
33,"WIND, Sydney",*,5,0-1,0-0,0-0,1-1,2,0,0,0,0,0,0,Stevens,Stevens_Drew_3-11-2021
25,"BROAD, Jess",,26,8-12,1-2,0-0,2-4,6,1,2,3,1,2,17,Stevens,Stevens_Drew_3-11-2021
3,"MOSS, Allie",,27,2-9,0-2,4-4,1-1,2,2,5,3,0,5,8,Stevens,Stevens_Drew_3-11-2021
14,"PORRETT, Amber",,17,0-3,0-0,4-6,6-7,13,0,1,3,1,0,4,Stevens,Stevens_Drew_3-11-2021
32,"CORNETTA, Danielle",,19,0-5,0-0,3-4,3-2,5,1,3,2,0,0,3,Stevens,Stevens_Drew_3-11-2021
24,"BARRY, Caitlin",,9,1-4,0-1,1-2,1-0,1,0,1,0,0,0,3,Stevens,Stevens_Drew_3-11-2021
2,"ELLIOTT, Vanessa",,4,1-3,0-1,0-0,1-0,1,2,0,0,0,0,2,Stevens,Stevens_Drew_3-11-2021
43,"DOUGLAS, Meghan",,9,0-2,0-0,0-0,0-1,1,2,2,0,1,1,0,Stevens,Stevens_Drew_3-11-2021
10,"NSENKYIRE, Elissa",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Stevens,Stevens_Drew_3-11-2021
12,Julia Ramos,*,38,7-12,3-6,7-10,1-2,3,2,4,2,0,2,24,Drew,Stevens_Drew_3-11-2021
23,Joey Meyers,*,34,7-15,0-2,2-3,3-7,10,0,2,2,1,3,16,Drew,Stevens_Drew_3-11-2021
33,Sekya Campbell,*,26,6-10,0-0,4-4,5-5,10,5,0,5,0,1,16,Drew,Stevens_Drew_3-11-2021
20,Erin Frederick,*,28,6-16,0-0,0-0,1-3,4,3,1,3,0,2,12,Drew,Stevens_Drew_3-11-2021
02,Gwen Alberici,*,14,1-3,0-0,0-0,0-2,2,4,5,1,0,1,2,Drew,Stevens_Drew_3-11-2021
13,Kyra Mann,,15,2-3,0-0,0-0,0-0,0,2,1,2,0,1,4,Drew,Stevens_Drew_3-11-2021
04,Katrina Wojtowicz,,21,1-5,1-4,0-0,0-0,0,2,0,0,2,0,3,Drew,Stevens_Drew_3-11-2021
25,Jamie Struble,,11,1-2,0-0,0-0,1-1,2,1,0,1,0,0,2,Drew,Stevens_Drew_3-11-2021
44,Kaitlin McGrotty,,10,0-0,0-0,0-0,0-1,1,1,0,0,0,0,0,Drew,Stevens_Drew_3-11-2021
50,Sam Antin,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Stevens_Drew_3-11-2021
03,Caitlin O'Connor,,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Stevens_Drew_3-11-2021
22,Brooke Timinski,,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Drew,Stevens_Drew_3-11-2021
