##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
25,Jess Broad,*,39,11-24,0-1,1-2,2-10,12,3,5,3,0,5,23,Stevens,Stevens_Elizabethtown_3-3-2023
10,Elissa Nsenkyire,*,39,4-10,2-3,9-10,0-1,1,4,1,0,1,1,19,Stevens,Stevens_Elizabethtown_3-3-2023
03,Leyla Castro,*,29,5-13,1-6,3-3,1-1,2,4,3,4,0,4,14,Stevens,Stevens_Elizabethtown_3-3-2023
32,Danielle Cornetta,*,26,3-10,0-1,5-6,2-5,7,4,3,1,0,2,11,Stevens,Stevens_Elizabethtown_3-3-2023
14,Amber Porrett,*,35,0-4,0-1,1-4,5-4,9,2,2,3,2,1,1,Stevens,Stevens_Elizabethtown_3-3-2023
44,Lucy Alberici,,19,0-5,0-3,0-0,0-5,5,2,1,1,0,1,0,Stevens,Stevens_Elizabethtown_3-3-2023
13,Dorothy Loffredo,,12,0-1,0-0,0-0,0-1,1,3,0,2,0,1,0,Stevens,Stevens_Elizabethtown_3-3-2023
02,Olivia Schubiger,,1,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Stevens,Stevens_Elizabethtown_3-3-2023
25,Summer McNulty,*,39,9-22,2-4,4-7,4-5,9,1,0,5,2,2,24,Elizabethtown,Stevens_Elizabethtown_3-3-2023
04,Cyleigh Wilson,*,32,5-11,4-10,1-2,1-2,3,3,3,3,0,1,15,Elizabethtown,Stevens_Elizabethtown_3-3-2023
34,DaniRae Renno,*,36,5-9,0-0,0-0,3-9,12,3,0,2,3,0,10,Elizabethtown,Stevens_Elizabethtown_3-3-2023
30,Jessica King,*,29,4-10,0-0,1-2,1-9,10,3,2,3,1,0,9,Elizabethtown,Stevens_Elizabethtown_3-3-2023
03,Lindsay Boyd,*,21,0-5,0-2,2-2,1-4,5,2,3,3,1,0,2,Elizabethtown,Stevens_Elizabethtown_3-3-2023
14,Kaeli Romanowski,,27,2-3,0-0,6-9,0-3,3,2,7,1,1,6,10,Elizabethtown,Stevens_Elizabethtown_3-3-2023
31,Allyia Kennedy,,9,2-2,0-0,3-4,0-1,1,3,0,0,0,0,7,Elizabethtown,Stevens_Elizabethtown_3-3-2023
13,Taylor Huyck,,5,0-1,0-0,2-2,0-0,0,0,1,0,0,0,2,Elizabethtown,Stevens_Elizabethtown_3-3-2023
35,Cass Peris,,2,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Elizabethtown,Stevens_Elizabethtown_3-3-2023
12,Georgia Panopoulos,,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Elizabethtown,Stevens_Elizabethtown_3-3-2023
33,Clare Marchese,,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,1,0,Elizabethtown,Stevens_Elizabethtown_3-3-2023
