##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
03,"Castro,Leyla",*,24,8-14,2-5,2-2,0-0,0,4,2,2,0,2,20,Stevens,Stevens_Scranton_11-27-2023
44,"Alberici,Lucy",*,31,2-4,1-1,1-2,3-1,4,0,2,5,0,0,6,Stevens,Stevens_Scranton_11-27-2023
13,"Loffredo,Dorothy",*,23,3-9,0-1,0-0,1-1,2,2,1,1,0,0,6,Stevens,Stevens_Scranton_11-27-2023
14,"Gorczyca,Paige",*,16,2-6,0-1,2-2,2-4,6,3,0,2,0,0,6,Stevens,Stevens_Scranton_11-27-2023
02,"Schubiger,Olivia",*,28,1-5,0-1,1-2,0-2,2,2,2,2,1,1,3,Stevens,Stevens_Scranton_11-27-2023
15,"Decker,Kay",,25,3-9,0-1,0-1,1-4,5,2,0,0,1,2,6,Stevens,Stevens_Scranton_11-27-2023
01,"Damera,Anika",,14,2-2,0-0,0-0,1-0,1,0,0,0,0,0,4,Stevens,Stevens_Scranton_11-27-2023
34,"Kehoe,Audrey",,14,1-2,0-0,1-2,0-1,1,3,0,2,0,0,3,Stevens,Stevens_Scranton_11-27-2023
05,"Bica,Sophia",,14,0-3,0-1,0-2,1-0,1,1,1,2,0,0,0,Stevens,Stevens_Scranton_11-27-2023
11,"Duval,Isabella",,11,0-6,0-3,0-0,0-0,0,0,0,1,0,0,0,Stevens,Stevens_Scranton_11-27-2023
11,"Kranson,Kaci",*,18,7-13,2-4,1-1,1-0,1,2,1,1,0,1,17,Scranton,Stevens_Scranton_11-27-2023
10,"Lynch,Allie",*,22,3-5,1-2,2-2,0-1,1,2,2,0,1,2,9,Scranton,Stevens_Scranton_11-27-2023
21,"Ryan,Maddy",*,17,3-8,0-0,2-4,6-1,7,0,0,0,0,0,8,Scranton,Stevens_Scranton_11-27-2023
01,"Romanowski,Kaeli",*,19,2-4,1-2,1-2,1-3,4,2,3,1,0,0,6,Scranton,Stevens_Scranton_11-27-2023
00,"Angelini,Hannah",*,24,0-2,0-0,0-0,1-3,4,0,5,2,0,1,0,Scranton,Stevens_Scranton_11-27-2023
20,"Lamanna,Meghan",,21,7-10,5-6,2-2,0-3,3,1,0,1,0,0,21,Scranton,Stevens_Scranton_11-27-2023
15,"Bennett,Elizabeth",,8,4-6,1-1,0-0,1-0,1,0,0,1,0,0,9,Scranton,Stevens_Scranton_11-27-2023
44,"Toomey,Victoria",,14,3-6,0-0,0-0,0-9,9,0,4,0,2,0,6,Scranton,Stevens_Scranton_11-27-2023
05,"Gorski,Katie",,7,2-2,1-1,0-0,0-1,1,0,0,1,0,0,5,Scranton,Stevens_Scranton_11-27-2023
33,"Quigley,Kyra",,11,2-5,0-0,0-0,2-0,2,1,1,1,1,1,4,Scranton,Stevens_Scranton_11-27-2023
14,"Stoupakis,Natalie",,5,1-3,0-2,0-0,0-3,3,0,1,0,0,0,2,Scranton,Stevens_Scranton_11-27-2023
30,"Steele,Mackenzie",,5,1-2,0-0,0-0,0-1,1,1,0,0,1,0,2,Scranton,Stevens_Scranton_11-27-2023
12,"Sloan,Jenna",,14,0-1,0-0,0-0,0-1,1,2,5,1,0,1,0,Scranton,Stevens_Scranton_11-27-2023
02,"Bender,Ashlyn",,5,0-2,0-1,0-0,0-0,0,0,0,1,0,0,0,Scranton,Stevens_Scranton_11-27-2023
03,"Brewer,Morgan",,5,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Scranton,Stevens_Scranton_11-27-2023
22,"Nolan,Leah",,5,0-0,0-0,0-0,0-0,0,0,1,0,0,0,0,Scranton,Stevens_Scranton_11-27-2023
