##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
25,Jess Broad,*,35,6-19,0-1,0-0,1-5,6,2,3,2,4,3,12,Stevens,Stevens_Susquehanna_11-10-2021
32,Danielle Cornetta,*,36,3-17,1-4,4-6,5-2,7,3,1,4,1,2,11,Stevens,Stevens_Susquehanna_11-10-2021
03,Allie Moss,*,37,4-7,2-5,0-0,0-2,2,2,4,5,0,3,10,Stevens,Stevens_Susquehanna_11-10-2021
43,Meghan Douglas,*,17,4-6,0-0,0-0,4-6,10,4,0,0,3,0,8,Stevens,Stevens_Susquehanna_11-10-2021
02,Vanessa Elliott,*,13,1-4,0-3,2-2,0-1,1,1,1,1,0,1,4,Stevens,Stevens_Susquehanna_11-10-2021
14,Amber Porrett,,23,3-5,0-0,1-2,0-4,4,2,2,1,0,1,7,Stevens,Stevens_Susquehanna_11-10-2021
12,Keeley Coval,,10,2-6,1-5,0-0,0-0,0,0,1,1,0,0,5,Stevens,Stevens_Susquehanna_11-10-2021
44,Lucy Alberici,,14,0-3,0-2,0-0,0-0,0,1,2,1,0,3,0,Stevens,Stevens_Susquehanna_11-10-2021
10,Elissa Nsenkyire,,13,0-2,0-0,0-0,1-2,3,5,0,2,0,0,0,Stevens,Stevens_Susquehanna_11-10-2021
21,Kaitlyn Rothwell,,2,0-1,0-0,0-0,1-0,1,0,0,0,0,0,0,Stevens,Stevens_Susquehanna_11-10-2021
23,Amalia Esposito,*,35,6-10,0-0,3-4,4-3,7,2,3,2,0,5,15,Susquehanna,Stevens_Susquehanna_11-10-2021
10,Erin McQuillen,*,37,3-13,2-8,6-8,5-3,8,2,3,2,0,3,14,Susquehanna,Stevens_Susquehanna_11-10-2021
24,Sadie Comfort,*,27,5-16,3-9,0-0,0-6,6,4,2,5,0,0,13,Susquehanna,Stevens_Susquehanna_11-10-2021
21,Olivia Brandt,*,37,4-11,1-4,1-2,3-11,14,3,2,4,0,1,10,Susquehanna,Stevens_Susquehanna_11-10-2021
30,Kaitlyn Lynch,*,29,3-7,0-3,2-2,0-6,6,4,0,2,0,0,8,Susquehanna,Stevens_Susquehanna_11-10-2021
03,Kenzie Selvaggi,,11,1-1,0-0,0-0,0-0,0,1,1,5,0,1,2,Susquehanna,Stevens_Susquehanna_11-10-2021
22,Olivia Ciullo,,12,0-1,0-0,1-2,1-3,4,1,0,0,0,0,1,Susquehanna,Stevens_Susquehanna_11-10-2021
13,Kate Hildebrandt,,9,0-1,0-0,0-0,0-1,1,1,1,2,1,0,0,Susquehanna,Stevens_Susquehanna_11-10-2021
20,Megan Emlet,,3,0-0,0-0,0-0,0-0,0,0,0,2,0,0,0,Susquehanna,Stevens_Susquehanna_11-10-2021
