##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
31,Olivia Coleman,*,33,6-19,0-0,2-3,0-13,13,2,1,1,8,0,14,Stevenson,Stevenson_Elizabethtown_1-3-2022
01,Morgan Pennick,*,34,3-11,0-0,2-2,1-0,1,0,4,8,0,4,8,Stevenson,Stevenson_Elizabethtown_1-3-2022
20,Kellie Johnson,*,27,2-5,0-1,0-1,4-2,6,2,2,0,0,1,4,Stevenson,Stevenson_Elizabethtown_1-3-2022
12,Morgan DeBeary,*,20,1-3,0-1,0-0,2-1,3,3,0,0,0,1,2,Stevenson,Stevenson_Elizabethtown_1-3-2022
10,Denia Campbell,*,14,0-5,0-2,1-2,0-1,1,0,3,2,0,3,1,Stevenson,Stevenson_Elizabethtown_1-3-2022
02,Trisha Tellian,,27,4-8,1-4,0-2,2-0,2,2,0,2,0,1,9,Stevenson,Stevenson_Elizabethtown_1-3-2022
03,Karleigh Leo,,11,2-6,2-6,0-0,0-0,0,0,1,1,0,0,6,Stevenson,Stevenson_Elizabethtown_1-3-2022
30,Meleah Smith,,19,2-4,0-0,0-0,1-1,2,1,0,1,0,1,4,Stevenson,Stevenson_Elizabethtown_1-3-2022
15,Michelle Mesquita,,5,1-1,0-0,0-0,0-1,1,0,0,0,0,0,2,Stevenson,Stevenson_Elizabethtown_1-3-2022
05,Cassidy Lasaracina,,10,0-0,0-0,0-0,1-1,2,0,0,3,0,0,0,Stevenson,Stevenson_Elizabethtown_1-3-2022
22,Veronica Christ,*,38,7-19,1-3,1-2,3-3,6,0,2,4,1,2,16,Elizabethtown,Stevenson_Elizabethtown_1-3-2022
04,Cyleigh Wilson,*,30,5-9,5-9,0-0,1-1,2,1,2,5,0,0,15,Elizabethtown,Stevenson_Elizabethtown_1-3-2022
34,DaniRae Renno,*,25,6-12,0-0,0-0,5-3,8,1,4,1,0,0,12,Elizabethtown,Stevenson_Elizabethtown_1-3-2022
30,Jessica King,*,32,4-6,0-0,0-3,2-6,8,2,0,1,0,2,8,Elizabethtown,Stevenson_Elizabethtown_1-3-2022
10,Summer McNulty,*,28,3-8,1-2,0-2,1-3,4,0,1,2,1,2,7,Elizabethtown,Stevenson_Elizabethtown_1-3-2022
35,Cassandra Peris,,4,1-2,0-0,1-1,0-1,1,0,0,1,0,0,3,Elizabethtown,Stevenson_Elizabethtown_1-3-2022
21,Emily Prowell,,17,0-1,0-0,2-2,1-1,2,1,1,1,1,1,2,Elizabethtown,Stevenson_Elizabethtown_1-3-2022
13,Taylor Huyck,,10,1-2,0-0,0-0,0-2,2,0,2,0,0,0,2,Elizabethtown,Stevenson_Elizabethtown_1-3-2022
05,Jillian Nagy,,10,0-1,0-0,0-0,1-2,3,0,5,2,0,2,0,Elizabethtown,Stevenson_Elizabethtown_1-3-2022
03,Lindsay Boyd,,6,0-1,0-0,0-0,0-1,1,0,0,2,1,1,0,Elizabethtown,Stevenson_Elizabethtown_1-3-2022
