##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
20,"Johnson,Kellie",*,20,5-8,0-2,1-2,3-3,6,4,0,1,0,2,11,Stevenson,Stevenson_Goucher_11-17-2021
10,"Campbell,Denia",*,27,4-11,0-1,2-4,0-4,4,2,0,4,1,1,10,Stevenson,Stevenson_Goucher_11-17-2021
11,"Ferguson,Aysia",*,16,2-4,0-1,2-4,1-2,3,3,1,5,0,0,6,Stevenson,Stevenson_Goucher_11-17-2021
01,"Pennick,Morgan",*,27,2-7,1-2,0-2,0-1,1,3,3,4,0,1,5,Stevenson,Stevenson_Goucher_11-17-2021
12,"DeBeary,Morgan",*,25,0-4,0-1,0-0,0-2,2,0,3,0,0,1,0,Stevenson,Stevenson_Goucher_11-17-2021
02,"Tellian,Trisha",,24,7-11,5-6,0-0,0-4,4,0,1,0,0,0,19,Stevenson,Stevenson_Goucher_11-17-2021
13,"Johnson,Laci",,17,1-6,1-4,2-2,1-0,1,3,0,1,0,2,5,Stevenson,Stevenson_Goucher_11-17-2021
22,"Jeselski,Emori",,12,1-3,1-2,1-2,0-0,0,3,2,0,0,4,4,Stevenson,Stevenson_Goucher_11-17-2021
30,"Smith,Maleah",,16,0-3,0-0,3-6,0-6,6,2,1,0,0,2,3,Stevenson,Stevenson_Goucher_11-17-2021
03,"Leo,Karleigh",,7,0-3,0-3,0-0,0-0,0,2,1,0,0,1,0,Stevenson,Stevenson_Goucher_11-17-2021
15,"Mesquita,Michelle",,4,0-1,0-0,0-0,1-0,1,2,0,0,0,0,0,Stevenson,Stevenson_Goucher_11-17-2021
21,"Boswell,Ellie",,3,0-1,0-0,0-0,1-0,1,0,0,1,0,0,0,Stevenson,Stevenson_Goucher_11-17-2021
05,"Lasaracina,Cassidy",,2,0-0,0-0,0-0,0-1,1,0,0,2,0,0,0,Stevenson,Stevenson_Goucher_11-17-2021
04,"Williams,Anise",*,30,5-9,1-2,10-16,1-5,6,4,0,9,0,0,21,Goucher,Stevenson_Goucher_11-17-2021
21,"McFadden,Alayna",*,37,5-16,1-7,3-3,2-3,5,3,2,4,0,1,14,Goucher,Stevenson_Goucher_11-17-2021
23,"Quarles,Kyani",*,30,2-6,0-0,0-1,6-4,10,1,0,3,1,2,4,Goucher,Stevenson_Goucher_11-17-2021
32,"Flynn,Claire",*,19,1-7,1-4,0-0,0-4,4,1,2,1,0,0,3,Goucher,Stevenson_Goucher_11-17-2021
34,"Cavoli,Julia",*,18,0-6,0-4,1-2,0-0,0,3,0,0,0,2,1,Goucher,Stevenson_Goucher_11-17-2021
10,"Carini,Belle",,26,2-5,0-0,1-4,1-0,1,2,0,3,0,1,5,Goucher,Stevenson_Goucher_11-17-2021
22,"Nwuli,Sydney",,17,1-5,0-0,1-2,4-3,7,2,0,1,0,0,3,Goucher,Stevenson_Goucher_11-17-2021
15,"Kees,Ta'Niya",,14,0-2,0-0,0-0,1-3,4,2,0,5,0,0,0,Goucher,Stevenson_Goucher_11-17-2021
05,"Gonzales,Serrena",,5,0-0,0-0,0-0,0-1,1,1,0,0,0,0,0,Goucher,Stevenson_Goucher_11-17-2021
03,"Avery,Jorryn",,2,0-0,0-0,0-0,0-0,0,1,0,1,0,0,0,Goucher,Stevenson_Goucher_11-17-2021
12,"Haggins,Briyah",,2,0-0,0-0,0-0,0-2,2,0,0,1,0,0,0,Goucher,Stevenson_Goucher_11-17-2021
