##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,"Hill,Nalya",*,13,5-10,0-0,0-0,2-4,6,2,0,1,0,1,10,Stockton,Stockton_Drew_11-6-2021
13,"Sacco,Grace",*,35,3-15,0-1,3-5,3-4,7,2,4,3,0,5,9,Stockton,Stockton_Drew_11-6-2021
22,"LaRosa,Madison",*,11,3-14,3-9,0-0,1-1,2,2,0,3,0,0,9,Stockton,Stockton_Drew_11-6-2021
02,"Morrone,Emma",*,40,2-7,0-1,0-2,0-5,5,3,3,1,0,5,4,Stockton,Stockton_Drew_11-6-2021
04,"Parks,Sanaa",*,24,1-6,0-2,0-0,2-2,4,1,0,1,0,1,2,Stockton,Stockton_Drew_11-6-2021
32,"Besso,Theresa",,6,2-4,2-2,0-0,0-1,1,1,0,0,0,0,6,Stockton,Stockton_Drew_11-6-2021
25,"Alves,Ionyonia",,16,2-6,0-0,1-6,1-1,2,2,0,0,0,0,5,Stockton,Stockton_Drew_11-6-2021
30,"Palmer,Olivia",,24,1-10,1-7,0-0,1-1,2,3,2,0,0,1,3,Stockton,Stockton_Drew_11-6-2021
03,"Madigan,Jordyn",,20,0-1,0-0,0-2,1-0,1,3,2,2,0,1,0,Stockton,Stockton_Drew_11-6-2021
24,"Underwood,Aiya",,1,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Stockton,Stockton_Drew_11-6-2021
20,"Frederick,Erin",*,30,9-16,0-0,1-1,3-6,9,4,0,1,0,0,19,Drew,Stockton_Drew_11-6-2021
23,"Meyers,Joey",*,28,4-11,0-1,2-4,7-6,13,0,5,2,0,2,10,Drew,Stockton_Drew_11-6-2021
04,"Wojtowicz,Katrina",*,25,3-12,0-7,1-4,0-7,7,1,3,2,0,1,7,Drew,Stockton_Drew_11-6-2021
02,"Alberici,Gwen",*,24,1-2,0-0,2-2,1-4,5,3,6,5,0,1,4,Drew,Stockton_Drew_11-6-2021
13,"Mann,Kyra",*,23,1-4,0-1,0-0,2-1,3,2,3,2,2,0,2,Drew,Stockton_Drew_11-6-2021
25,"Struble,Jamie",,26,3-7,0-0,3-3,2-5,7,0,1,1,1,0,9,Drew,Stockton_Drew_11-6-2021
11,"Cruse,Lauren",,13,2-5,1-1,1-2,0-4,4,0,1,0,1,0,6,Drew,Stockton_Drew_11-6-2021
05,"Genua,Micela",,14,0-1,0-0,4-4,0-1,1,1,1,3,0,1,4,Drew,Stockton_Drew_11-6-2021
22,"Timinski,Brooke",,11,2-5,0-3,0-0,0-1,1,0,1,0,0,0,4,Drew,Stockton_Drew_11-6-2021
50,"Antin,Sam",,3,0-0,0-0,0-0,0-1,1,3,1,1,0,0,0,Drew,Stockton_Drew_11-6-2021
03,"Lalo,Izzy",,2,0-0,0-0,0-0,0-1,1,1,0,2,0,0,0,Drew,Stockton_Drew_11-6-2021
10,"Graff,Carlye",,1,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0,Drew,Stockton_Drew_11-6-2021
