##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,Team,game_id
21,Olivia Brandt,*,37,5-15,1-3,5-5,1-6,7,3,3,5,2,1,16,Susquehanna University,Susquehanna University_Moravian University_1-26-2022
10,Erin McQuillen,*,37,5-12,2-3,0-0,2-4,6,5,2,4,0,4,12,Susquehanna University,Susquehanna University_Moravian University_1-26-2022
30,Kaitlyn Lynch,*,30,5-10,1-4,0-0,2-3,5,1,1,2,1,1,11,Susquehanna University,Susquehanna University_Moravian University_1-26-2022
23,Amalia Esposito,*,18,4-4,0-0,2-4,0-1,1,4,2,3,0,2,10,Susquehanna University,Susquehanna University_Moravian University_1-26-2022
12,Amanda Lemire,*,34,4-11,0-0,1-1,0-0,0,1,6,3,0,2,9,Susquehanna University,Susquehanna University_Moravian University_1-26-2022
14,Isabella Schwabe,,23,1-2,0-0,1-2,2-0,2,2,0,1,0,0,3,Susquehanna University,Susquehanna University_Moravian University_1-26-2022
24,Sadie Comfort,,13,1-3,0-1,0-0,0-0,0,2,0,1,0,0,2,Susquehanna University,Susquehanna University_Moravian University_1-26-2022
20,Megan Emlet,,6,0-1,0-0,0-0,0-0,0,0,1,0,0,0,0,Susquehanna University,Susquehanna University_Moravian University_1-26-2022
25,Alicia Goldenziel,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Susquehanna University,Susquehanna University_Moravian University_1-26-2022
2,Kayla Yoegel,*,37,13-21,3-5,4-5,1-7,8,1,1,3,3,2,33,Moravian University,Susquehanna University_Moravian University_1-26-2022
23,Madison Amy,*,34,3-7,1-3,8-8,1-3,4,2,4,5,2,2,15,Moravian University,Susquehanna University_Moravian University_1-26-2022
1,Sam Osorio,*,30,3-6,0-0,3-4,2-5,7,3,0,3,1,3,9,Moravian University,Susquehanna University_Moravian University_1-26-2022
24,Morgan Amy,*,37,2-8,0-4,0-0,1-2,3,1,6,4,0,3,4,Moravian University,Susquehanna University_Moravian University_1-26-2022
5,Emily Markowski,*,21,1-3,0-2,0-0,1-0,1,1,1,1,0,0,2,Moravian University,Susquehanna University_Moravian University_1-26-2022
4,Jackie Kelly,,18,2-3,1-2,2-2,4-3,7,2,1,2,0,0,7,Moravian University,Susquehanna University_Moravian University_1-26-2022
10,Brielle Guarente,,11,1-3,0-0,0-0,0-2,2,2,1,3,0,0,2,Moravian University,Susquehanna University_Moravian University_1-26-2022
30,Gracie Hezel,,8,1-5,0-0,0-0,2-3,5,2,0,1,0,0,2,Moravian University,Susquehanna University_Moravian University_1-26-2022
12,Mikayla Anderson,,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian University,Susquehanna University_Moravian University_1-26-2022
40,Sara Geary,,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0,Moravian University,Susquehanna University_Moravian University_1-26-2022
